kyber-network,15 Sep 2017,17 Sep 2017,2,259,7,other,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,16343900,-0.15,-0.08,-1.21,-1.06,-0.127,-2.386,0.004,-0.017
theta-token,07 Jan 2018,07 Jan 2018,0,147,12,telecommunications,N/A,20000000,N/A,N/A,0.15,13256,N/A,N/A,0.222,10023000,0.05,0.06,0.99,1.07,-0.116,7.364,0.01,0.026
iexec-rlc,17 Apr 2017,10 May 2017,23,389,12,other,8,12000000,N/A,N/A,0.178,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
salt,01 Aug 2017,15 Aug 2017,14,292,12,other,N/A,N/A,N/A,N/A,N/A,791,N/A,N/A,0,4174650,-0.17,0,0.08,0.16,-0.081,-3.602,0.001,-0.023
deepbrain-chain,15 Dec 2017,15 Dec 2017,0,170,12,other,N/A,N/A,N/A,N/A,N/A,12825,N/A,N/A,0,18387700,0.29,0.09,1.36,1.42,-0.284,1.057,0.008,-0.008
minexcoin,15 May 2017,13 Jun 2017,29,355,12,fintech,N/A,N/A,N/A,N/A,N/A,2984,N/A,N/A,0,17365,0.51,0.32,5.01,5.01,0.076,-1,0.017,0.03
ins-ecosystem,04 Dec 2017,25 Dec 2017,21,160,2,other,11,45253000,N/A,N/A,N/A,17599,N/A,N/A,0,373749,-0.06,-0.1,-1.55,-1.55,-0.259,-4.5,-0.006,0.012
hive-project,3 Jul 2017,14 Aug 2017,42,293,5,fintech,18,8949421,N/A,N/A,0.02,N/A,N/A,3043,0.045,216,0.17,0.12,1.84,1.84,-0.045,-11,0.017,0.012
lala-world,5 Jan 2018,5 Feb 2018,31,118,7,saas,5,20000000,N/A,N/A,0.13,824,N/A,10035,-0.253,28433,-0.44,0,0.04,0.04,0.225,-5.5,0.008,-0.033
ip-exchange,28 Feb 2018,05 Mar 2018,5,90,12,saas,N/A,7904000,N/A,N/A,N/A,6390,N/A,N/A,0,539393,0.11,0.07,1.08,1.08,0.169,-1.5,0.009,0
ink-protocol,01 Feb 2018,28 Feb 2018,27,95,1,blockchain,14,15000000,15000000,1,0.13,10353,N/A,N/A,-0.303,280064,-0.21,-0.04,-0.66,-0.66,-0.141,-0.5,-0.007,0.003
linker-coin,25 Nov 2017,31 Dec 2017,36,154,6,blockchain,20,10133235,10100000,1,0.22,2255,N/A,N/A,-0.588,164191,0.02,0.18,0.36,0.36,-0.098,-11.5,-0.004,-0.005
fintrux-network,07 Feb 2018,28 Feb 2018,21,95,7,other,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,102017,-0.04,-0.35,-0.69,-0.69,0.229,12,-0.024,-0.052
mercury-protocol,23 Oct 2017,23 Nov 2017,31,192,1,saas,16,4749479,20000000,0.24,0.043,737,N/A,5428,-0.07,42740,0.15,0.09,1.47,1.47,-0.046,6,0.019,0.065
signals-network,12 Mar 2018,09 Apr 2018,28,55,12,other,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,233052,0.03,0.05,0.1,0.1,0.349,-6.5,0.003,-0.018
earth-token,15 Dec 2017,15 Mar 2018,90,80,11,saas,11,N/A,N/A,N/A,0.16,13052,N/A,20266,-0.699,509033,-0.36,-2.82,-5.64,-5.64,-0.269,-1,-0.044,-0.032
wild-crypto,05 Sep 2017,11 Sep 2017,6,265,12,other,N/A,N/A,N/A,N/A,N/A,611,N/A,N/A,0,4468,0.03,0.13,2.08,2.08,-0.282,-3,0.02,0.002
libra-credit,01 May 2018,01 Jun 2018,31,2,7,fintech,10,26400000,26400000,1,0.12,97530,N/A,N/A,1.488,4569100,-1.07,-1.86,-3.72,-3.72,1.12,10.5,-0.017,0.023
skrumble-network,05 May 2018,07 May 2018,2,27,12,fintech,31,16472800,16500000,1,0.0515,55048,N/A,1945,0.873,32789700,-0.17,-1.35,-2.69,-2.69,-0.27,5,-0.014,0.032
pundi-x,21 Jan 2018,21 Jan 2018,0,133,12,saas,4,35000000,35000000,1,2.1,22960,N/A,5257,-1,970635,-0.19,0.29,4.53,4.53,0.173,-2,0.041,0.002
crowd-machine,01 Apr 2018,22 May 2019,416,-353,7,saas,13,30795000,100000000,0.30795,N/A,6098,N/A,5078,0,220487,-0.28,-2.2,-4.39,-4.39,0.398,6,-0.01,0.035
spindle,9 May 2018,15 May 2018,6,19,4,blockchain,12,N/A,N/A,N/A,0.23,30540,N/A,23764,-0.905,2379600,0.88,1.52,3.04,3.04,1.794,6.5,0.025,0.04
seele,03 Apr 2018,03 Apr 2018,0,61,12,blockchain,N/A,12133800,12100000,1,0.0324,28776,N/A,N/A,8.3,1750560,-6.51,-11.27,-22.54,-23.73,0.605,5,-0.057,-0.06
exchange-union,05 Aug 2017,29 Aug 2017,24,278,12,other,4,N/A,N/A,N/A,1,N/A,N/A,N/A,1.29,304953,0.19,0.19,3,2.81,0.087,1,0.01,-0.01
phantasma,27 May 2018,28 May 2018,1,6,12,other,13,9650000,9700000,0.99,0.23,21466,N/A,4887,1.476,799685,-1.35,-2.34,-4.67,-5.3,0.951,-6,-0.02,0.02
eximchain,01 Feb 2018,13 Feb 2018,12,110,12,blockchain,16,20000000,20000000,1,0.33,10954,N/A,N/A,1.01,185434,3.37,5.83,11.67,11.13,-0.965,-14,0.056,0.1
naviaddress,1 Mar 2018,31 Mar 2018,30,64,7,saas,6,16900000,20000000,0.84,0.05,100000,N/A,194,-0.518,194240,-0.19,-0.32,-0.65,-1.02,-1.213,-3.333,-0.003,0.023
contractnet,10 Mar 2018,20 Mar 2018,10,75,3,other,10,2661505,N/A,N/A,0.6,N/A,N/A,1210,0.2,294035,0.49,0.86,1.71,1.47,-2.816,-1,0.06,0.02
faceter,15 Feb 2018,30 Mar 2018,43,65,11,other,9,28610352,40800000,0.7,0.0349,2094,N/A,51,-0.43,135291,-0.25,-0.42,-0.85,-1.34,-0.846,-1,-0.003,-0.03
