coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos,11 Jun 2017,26 Jun 2017,15.0,332.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,52919,30,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.087,1.668,0.014,0.016
tron,07 Sep 2017,08 Sep 2017,1.0,258.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0,65122,24,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
iota,24 Nov 2017,20 Dec 2017,26.0,155.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,8,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
neo,8 Aug 2017,7 Sep 2017,30.0,259.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,32,318910,17.62,1349,0.12,0.08,1.33,1.3,0.043,-0.648,0.017,0.006
qtum,12 Mar 2017,17 Mar 2017,5.0,433.0,7,blockchain,18,15000000.0,N/A,1.0,0.3,14112,6,162919,19.63,11221600,0.23,0.06,0.98,0.93,0.075,0.795,0.008,0.005
omisego,23 Jun 2017,23 Jul 2017,30.0,305.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,13,274037,1.53,750698,0.37,0.31,4.86,4.82,-0.055,-0.874,0.016,0.004
icon,22 Sep 2017,22 Sep 2017,0.0,244.0,8,transportation,41,42750000.0,42800000.0,1.0,0.11,20995,30,101265,3.52,71509,0.34,0.32,5.1,5.05,-0.079,-1.554,0.018,0.018
zilliqa,27 Dec 2017,04 Jan 2018,8.0,140.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0,29876,7,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
aeternity,29 May 2017,19 Jun 2017,21.0,339.0,5,saas,15,24426689.0,N/A,N/A,0.3,N/A,3,277,1.32,1518,0.39,0.09,1.42,1.41,0.033,1.124,0.017,0.009
0x,15 Aug 2017,15 Sep 2017,31.0,251.0,1,saas,6,24000000.0,24000000.0,1.0,0.07,N/A,7,43161,2.21,5232600,0.23,0.12,1.97,1.95,-0.253,-0.41,0.016,0.012
bytom,20 Jun 2017,20 Jul 2017,30.0,308.0,3,saas,5,2286000.0,N/A,N/A,N/A,N/A,0,12200,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
populous,24 Jul 2017,24 Jul 2017,0.0,304.0,4,fintech,5,10220400.0,991001144.0,0.01,0.25,N/A,0,22744,12.32,2704070,0.2,0.11,1.69,1.68,-0.051,1.522,0.013,-0.0
wanchain,01 Oct 2017,01 Nov 2017,31.0,204.0,3,blockchain,17,35990000.0,36000000.0,1.0,0.34,47730,0,N/A,11.38,189439000,0.18,1.41,2.83,2.81,-0.517,-0.718,0.004,0.005
augur,17 Aug 2015,1 Oct 2015,45.0,966.0,1,saas,13,5000000.0,N/A,0.8,0.6,N/A,0,425,1.45,728,0.09,0.14,2.18,2.02,0.029,-0.424,0.009,0.007
golem,13 Nov 2016,13 Nov 2016,0.0,557.0,5,saas,15,8000000.0,N/A,1.0,0.01,N/A,0,136817,61.68,68198400,0.07,0.58,1.16,1.04,-0.361,-1.799,-0.005,-0.004
status,20 Jun 2017,20 Jun 2017,0.0,338.0,6,saas,12,10000000.0,N/A,N/A,0.02,N/A,0,100252,1.81,13747700,-0.21,0.04,0.66,0.63,0.163,-1.258,0.008,-0.012
aion,24 Nov 2017,24 Dec 2017,30.0,151.0,12,blockchain,N/A,N/A,N/A,N/A,1.0,11251,0,N/A,-0.37,20958,0.12,0.22,3.46,3.44,-0.128,-4.603,0.019,-0.018
digixdao,29 Mar 2016,30 Mar 2016,1.0,785.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,0,14979,6.54,1900,-0.05,-0.01,-0.14,-0.17,0.033,-2.01,0.006,-0.019
loopring,1 Aug 2017,16 Aug 2017,15.0,281.0,3,saas,3,45000000.0,N/A,1.0,0.06,N/A,0,35064,0.75,200829,-0.05,0.12,1.93,1.9,-0.14,0.612,0.015,-0.013
komodo,15 Oct 2016,16 Nov 2016,32.0,554.0,12,saas,N/A,1983781.0,N/A,N/A,0.09,N/A,0,88195,0.23,22487,0.02,0.12,1.88,1.87,-0.003,-3.139,0.022,-0.01
nebulas,8 Dec 2017,16 Dec 2017,8.0,159.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12009,0,22243,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ark,05 Nov 2016,09 Dec 2016,34.0,531.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,45,0,N/A,-0.66,133793,0.32,0.26,4.19,4.16,-0.166,-3.89,0.018,-0.008
dentacoin,1 Oct 2017,1 Nov 2017,31.0,204.0,5,insurance services,19,1923507.0,28800000.0,0.07,0.0,1442,0,110,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cryptonex,01 Sep 2017,30 Sep 2017,29.0,236.0,12,other,N/A,N/A,N/A,N/A,N/A,2368,0,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bancor,12 Jun 2017,12 Jun 2017,0.0,346.0,12,saas,6,15300000.0,N/A,N/A,3.92,6409,0,808,4.1,16871,-0.16,-0.07,-1.04,-1.08,0.003,-1.833,0.001,-0.002
fusion,1 Feb 2018,10 Feb 2018,9.0,103.0,7,fintech,20,42185216.0,42200000.0,1.0,2.06,10414,0,7434,0.59,1440790,-0.04,0.12,1.87,1.81,-0.17,-3.373,0.012,0.016
elastos,01 Jan 2018,22 Jan 2018,21.0,122.0,3,blockchain,N/A,94073200.0,94100000.0,1.0,18.09,16982,0,N/A,1.26,33745700,0.19,-0.02,-0.34,-0.38,-0.436,1.187,0.003,-0.003
cybermiles,21 Nov 2017,21 Dec 2017,30.0,154.0,1,saas,9,30881582.0,30900000.0,1.0,0.05,72933,0,223998,2.61,12580000,-0.09,0.01,0.22,0.19,0.008,0.507,0.006,0.024
veritaseum,25 Apr 2017,26 May 2017,31.0,363.0,1,blockchain,2,6480882.0,N/A,N/A,12.0,1772,0,23114,3.05,450758,0.22,0.13,2.02,2.02,-282.438,-3.813,198.205,-0.013
substratum,14 Aug 2017,14 Sep 2017,31.0,252.0,1,blockchain,6,13800000.0,45000000.0,0.31,0.07,12623,0,1160,-0.33,41819,0.29,0.28,4.47,4.43,-0.239,-5.225,0.018,-0.014
dragonchain,2 Oct 2017,2 Nov 2017,31.0,203.0,1,saas,8,13700000.0,15807374.622,0.87,0.07,N/A,0,73026,2.85,1142060,0.37,0.26,4.08,4.06,0.118,-4.124,0.013,-0.021
