coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,beta_top10
eos,11 Jun 2017,26 Jun 2017,15.0,342.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,57364,55,N/A,0.62,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.076,1.315
iota,24 Nov 2017,20 Dec 2017,26.0,165.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,7,N/A,0.32,N/A,0.0,25425600,-0.2,0.12,1.83,1.76,0.069,-0.201
tron,07 Sep 2017,08 Sep 2017,1.0,268.0,12,other,1,58098000.0,N/A,N/A,0.002,396,31,N/A,0.62,N/A,-0.006,48512,0.15,0.09,1.5,1.46,-0.072,2.193
neo,8 Aug 2017,7 Sep 2017,30.0,269.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,32,319099,0.76,N/A,17.616,1349,0.12,0.08,1.33,1.3,0.04,-0.67
qtum,12 Mar 2017,17 Mar 2017,5.0,443.0,7,blockchain,18,15000000.0,N/A,1.0,0.3,14088,11,164320,N/A,N/A,19.633,11221600,0.23,0.06,0.98,0.93,0.072,0.616
omisego,23 Jun 2017,23 Jul 2017,30.0,315.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,13,276319,N/A,N/A,1.533,750698,0.37,0.31,4.86,4.82,-0.059,-1.107
icon,22 Sep 2017,22 Sep 2017,0.0,254.0,8,transportation,41,45000000.0,N/A,1.0,0.11,21040,30,102908,0.5,N/A,3.519,71509,0.34,0.32,5.1,5.05,-0.086,-1.847
zilliqa,27 Dec 2017,04 Jan 2018,8.0,150.0,12,other,N/A,2000000.0,N/A,N/A,0.008,30189,13,N/A,0.74,N/A,16.005,4921770,-0.37,-0.14,-2.21,-2.21,-0.356,-0.5
aeternity,29 May 2017,19 Jun 2017,21.0,349.0,5,saas,15,24426689.0,N/A,N/A,0.28,N/A,5,277,N/A,N/A,1.484,1518,0.39,0.09,1.42,1.42,0.027,0.393
0x,15 Aug 2017,15 Sep 2017,31.0,261.0,1,saas,6,24000000.0,N/A,N/A,0.07,N/A,8,44155,N/A,N/A,2.206,5232600,0.23,0.12,1.97,1.97,-0.256,-1.107
bytom,20 Jun 2017,20 Jul 2017,30.0,318.0,3,saas,5,22554000.0,N/A,N/A,0.05,N/A,2,17847,N/A,N/A,1.256,7543670,0.18,0.05,0.77,0.77,-0.084,-1.893
golem,13 Nov 2016,13 Nov 2016,0.0,567.0,5,saas,15,8000000.0,N/A,1.0,0.01,313,0,138560,N/A,N/A,79.101,106960000,-0.55,-4.34,-8.68,-8.68,0.459,1.261
wanchain,01 Oct 2017,01 Nov 2017,31.0,214.0,12,blockchain,6,35658000.0,N/A,N/A,0.34,N/A,0,N/A,0.54,N/A,11.382,189439000,0.18,0.06,0.96,1.08,-0.584,-5.477
populous,24 Jul 2017,24 Jul 2017,0.0,314.0,4,fintech,5,10220400.0,991001144.0,0.01,0.25,N/A,0,22920,0.82,N/A,12.32,2704070,0.2,0.11,1.69,1.75,-0.059,-4.818
augur,17 Aug 2015,1 Oct 2015,45.0,976.0,1,saas,13,5000000.0,N/A,0.8,0.6,N/A,0,434,N/A,N/A,1.45,728,0.09,0.14,2.18,2.34,0.027,-0.625
status,20 Jun 2017,20 Jun 2017,0.0,348.0,6,saas,12,10000000.0,N/A,N/A,0.04,N/A,0,101269,N/A,N/A,0.404,13747700,-0.21,0.04,0.66,0.72,0.158,-0.5
nebulas,8 Dec 2017,16 Dec 2017,8.0,171.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12053,2,22523,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.315
aion,24 Nov 2017,24 Dec 2017,30.0,161.0,12,blockchain,N/A,N/A,N/A,N/A,N/A,11280,0,N/A,N/A,N/A,0.0,20958,0.12,0.22,3.46,3.5,-0.134,-5.023
loopring,1 Aug 2017,16 Aug 2017,15.0,291.0,3,saas,3,45000000.0,N/A,1.0,0.06,N/A,0,30634,0.6,N/A,0.747,200829,-0.05,0.12,1.93,1.99,-0.144,-0.034
digixdao,29 Mar 2016,30 Mar 2016,1.0,795.0,7,saas,N/A,55000004.0,N/A,N/A,4.2,N/A,0,15136,N/A,N/A,6.543,1900,-0.05,-0.01,-0.14,-0.07,0.031,-1.943
komodo,15 Oct 2016,16 Nov 2016,32.0,564.0,12,saas,N/A,1983781.0,N/A,N/A,0.38,N/A,0,88942,N/A,N/A,-0.708,22487,0.02,0.12,1.88,1.89,-0.003,-2.898
ark,05 Nov 2016,09 Dec 2016,34.0,541.0,12,blockchain,N/A,22000000.0,N/A,N/A,0.1,43,0,N/A,N/A,N/A,-0.657,133793,0.32,0.26,4.19,4.25,-0.167,-2.057
cybermiles,21 Nov 2017,21 Dec 2017,30.0,164.0,1,saas,9,30000000.0,36680000.0,0.82,0.052,69079,0,237173,0.62,N/A,2.473,12580000,-0.09,0.01,0.22,0.28,-0.015,-4.886
bancor,12 Jun 2017,12 Jun 2017,0.0,356.0,12,saas,6,15300000.0,N/A,N/A,3.92,6617,0,814,N/A,N/A,4.097,16871,-0.16,-0.07,-1.04,-0.97,-0.003,-1.42
dentacoin,1 Oct 2017,1 Nov 2017,31.0,214.0,5,insurance services,19,2100000.0,N/A,N/A,0.0,N/A,0,110,0.6,N/A,0.0,228296,0.04,0.06,0.94,0.98,-0.189,-1.091
elastos,01 Jan 2018,22 Jan 2018,21.0,132.0,12,blockchain,N/A,57891000.0,N/A,N/A,N/A,17174,0,N/A,0.62,N/A,0.0,33745700,0.19,-0.02,-0.34,-0.24,-0.434,1.807
kyber-network,15 Sep 2017,17 Sep 2017,2.0,259.0,7,other,7,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,16343900,-0.15,-0.08,-1.21,-1.06,-0.127,-2.386
cryptonex,01 Sep 2017,30 Sep 2017,29.0,246.0,12,other,N/A,N/A,N/A,N/A,N/A,2314,0,N/A,N/A,N/A,0.0,79554,-0.03,0.12,1.88,1.95,-0.224,-0.466
veritaseum,25 Apr 2017,26 May 2017,31.0,373.0,1,blockchain,2,6480882.0,N/A,N/A,12.0,1818,0,23266,N/A,N/A,3.047,450758,0.22,0.13,2.02,2.02,-261.85,-1.909
fusion,1 Feb 2018,10 Feb 2018,9.0,113.0,7,fintech,20,108394802.0,N/A,N/A,2.06,10865,0,7719,0.4,N/A,0.592,1440790,-0.04,0.12,1.87,1.98,-0.209,-4.5
