coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos,11 Jun 2017,26 Jun 2017,15,351,1,blockchain,4,185000000,N/A,N/A,0.99,59922,2,N/A,0.02,13613000,0.185,0.085,1.348,1.309,0.073,1.3,0.014,0.015
iota,24 Nov 2017,20 Dec 2017,26,174,12,saas,N/A,N/A,N/A,N/A,N/A,2,3,N/A,0,25425600,-0.204,0.116,1.84,1.766,0.063,0.238,0.007,0.007
tron,07 Sep 2017,08 Sep 2017,1,277,3,blockchain,1,70000000,70000000,1,0.0019,98258,1,N/A,0.046,48512,0.152,0.098,1.553,1.504,-0.068,1.778,0.024,0.023
neo,8 Aug 2017,7 Sep 2017,30,278,3,blockchain,16,28056944,N/A,N/A,0.03,4,2,321507,17.616,1349,0.118,0.083,1.323,1.292,0.039,-0.194,0.016,0.004
qtum,12 Mar 2017,17 Mar 2017,5,452,7,blockchain,18,15000000,15000000,1,0.3,14019,1,166979,19.633,11221600,0.231,0.064,1.017,0.961,0.064,0.801,0.008,0.004
omisego,23 Jun 2017,23 Jul 2017,30,324,7,fintech,5,25000000,25000000,1,0.23,N/A,1,280247,1.533,750698,0.366,0.305,4.848,4.865,-0.064,-1.489,0.015,-0.003
icon,22 Sep 2017,22 Sep 2017,0,263,8,transportation,30,42750000,42750000,1,0.11,21112,1,105777,3.519,71509,0.341,0.319,5.064,5.083,-0.084,-1.012,0.015,-0.001
zilliqa,27 Dec 2017,04 Jan 2018,8,159,12,blockchain,N/A,22000000,22000000,1,0.0038,30496,2,N/A,34.8,4921770,-0.363,-0.136,-2.16,-2.121,-0.363,-2.199,0.001,0.012
aeternity,29 May 2017,19 Jun 2017,21,358,5,saas,15,24426689,N/A,N/A,0.28,N/A,1,274,1.484,1518,0.392,0.092,1.467,1.481,0.027,-1.259,0.016,0.007
0x,15 Aug 2017,15 Sep 2017,31,270,1,saas,6,24000000,24000000,1,0.07,N/A,4,45526,2.206,5232600,0.233,0.128,2.036,2.055,-0.252,-1.115,0.014,0.006
bytom,20 Jun 2017,20 Jul 2017,30,327,3,saas,7,22554000,N/A,N/A,0.05,N/A,1,18061,1.256,7543670,0.182,0.051,0.814,0.833,-0.083,-3.081,0.012,0.005
verge,15 Jun 2016,15 Jul 2016,30,697,12,blockchain,N/A,N/A,N/A,N/A,N/A,36832,0,N/A,0,707,0.072,0.106,1.677,1.689,-0.284,0.11,0.027,0
augur,17 Aug 2015,1 Oct 2015,45,985,1,saas,13,5000000,6250000,0.8,0.6,N/A,1,436,1.45,728,0.107,0.148,2.346,2.399,0.025,-1.715,0.008,0
golem,13 Nov 2016,13 Nov 2016,0,576,5,saas,15,8000000,8000000,1,0.01,748,1,140633,61.499,27557000,0.025,0.196,0.391,0.444,0.116,1.359,-0.012,-0.012
wanchain,01 Oct 2017,01 Nov 2017,31,223,3,other,31,35990000,35990000,1,0.34,46807,1,105673,11.382,189439000,0.181,0.06,0.948,1.052,-0.525,-4.67,-0.002,-0.029
populous,24 Jul 2017,24 Jul 2017,0,323,4,fintech,5,10220400,1022040000,0.01,0.25,N/A,1,23384,12.32,2704070,0.203,0.109,1.733,1.784,-0.054,-5.265,0.011,-0.024
status,20 Jun 2017,20 Jun 2017,0,357,6,saas,12,10000000,N/A,N/A,0.04,N/A,3,102960,0.404,13747700,-0.213,0.044,0.699,0.752,0.152,-1.878,0.007,-0.018
aion,24 Nov 2017,24 Dec 2017,30,170,12,other,8,N/A,N/A,N/A,1,11445,0,70317,-0.374,20958,0.115,0.215,3.413,3.452,-0.122,-2.5,0.016,-0.024
nebulas,8 Dec 2017,16 Dec 2017,8,180,1,saas,14,60000000,60000000,1,2,12168,1,23073,1.17,995797,-0.168,0.167,2.648,2.604,-0.129,-1.016,0.009,0.01
digixdao,29 Mar 2016,30 Mar 2016,1,804,7,saas,N/A,55000004,N/A,N/A,4.2,N/A,1,15491,6.543,1900,-0.043,-0.006,-0.091,-0.026,0.035,1.002,0.006,-0.018
loopring,1 Aug 2017,16 Aug 2017,15,300,3,saas,3,45000000,45000000,1,0.06,N/A,1,42433,0.747,200829,-0.054,0.123,1.952,2.006,-0.146,-3.389,0.013,-0.02
komodo,15 Oct 2016,16 Nov 2016,32,573,12,saas,N/A,1983781,N/A,N/A,0.38,N/A,1,90460,-0.708,22487,0.024,0.119,1.887,1.9,0.001,-1.632,0.021,-0.016
ark,05 Nov 2016,09 Dec 2016,34,550,12,blockchain,N/A,22000000,N/A,N/A,0.1,45,1,N/A,-0.657,133793,0.321,0.267,4.231,4.287,-0.159,-2.578,0.016,-0.025
bancor,12 Jun 2017,12 Jun 2017,0,365,12,saas,12,15300000,N/A,N/A,3.92,6745,10,846,4.097,16871,-0.158,-0.06,-0.946,-0.881,-0.005,-2.709,0.001,-0.013
cryptonex,01 Sep 2017,30 Sep 2017,29,255,12,other,N/A,N/A,N/A,N/A,N/A,2273,0,N/A,0,79554,-0.029,0.119,1.897,1.957,-0.237,-2.54,0.008,-0.016
elastos,01 Jan 2018,22 Jan 2018,21,141,3,other,51,94073200,94073200,1,18.09,17300,2,23153,1.259,33745700,0.185,-0.021,-0.326,-0.242,-0.423,0.297,0.001,-0.013
cybermiles,21 Nov 2017,21 Dec 2017,30,173,1,saas,9,30881582,30881582,1,0.1,67873,5,244405,0.806,12580000,-0.099,0.014,0.228,0.284,-0.036,-4.806,0.004,-0.008
dentacoin,1 Oct 2017,1 Nov 2017,31,223,5,insurance services,19,1923507,27478671,0.07,0,1492,6,110,0,228296,0.042,0.059,0.931,0.975,-0.184,-2.806,0.023,-0.029
veritaseum,25 Apr 2017,26 May 2017,31,382,1,blockchain,3,6480882,N/A,N/A,12,1838,1,23482,3.047,450758,0.224,0.127,2.016,2.016,-236.467,-3.705,187.204,-0.008
fusion,1 Feb 2018,10 Feb 2018,9,122,7,fintech,10,42185216,42185216,1,2.06,2746,4,8119,0.592,1440790,-0.034,0.126,1.994,2.093,-0.196,-3.384,0.008,-0.02
kin,12 Sep 2017,26 Sep 2017,14,259,1,saas,7,48594816,74761255,0.65,0,N/A,1,25027,0,372049,-0.077,-0.011,-0.174,-0.083,-0.139,0.326,0.011,-0.017
theta-token,07 Jan 2018,07 Jan 2018,0,156,12,blockchain,N/A,20000000,20000000,1,0.12,13537,1,N/A,0.527,10023000,0.049,0.064,1.012,1.081,-0.15,5.926,0.007,0.009
dropil,7 Feb 2018,7 Mar 2018,28,97,1,fintech,8,60000000,N/A,N/A,N/A,739,1,6880,0,78904,-0.043,0.063,0.994,1.095,-0.039,-1.32,0.004,-0.001
