coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
eos,11 Jun 2017,26 Jun 2017,15,342,1,blockchain,4,185000000,N/A,N/A,0.99,57364,2,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.076,1.315,0.015
iota,24 Nov 2017,20 Dec 2017,26,165,12,saas,N/A,N/A,N/A,N/A,N/A,2,3,N/A,0,25425600,-0.2,0.12,1.83,1.76,0.069,-0.201,0.008
tron,07 Sep 2017,08 Sep 2017,1,268,12,other,1,58098000,N/A,N/A,0.002,396,1,N/A,-0.006,48512,0.15,0.09,1.5,1.46,-0.072,2.193,0.026
neo,8 Aug 2017,7 Sep 2017,30,269,3,blockchain,16,28056944,N/A,N/A,0.03,4,2,319099,17.616,1349,0.12,0.08,1.33,1.3,0.04,-0.67,0.017
qtum,12 Mar 2017,17 Mar 2017,5,443,7,blockchain,18,15000000,N/A,1,0.3,14088,1,164320,19.633,11221600,0.23,0.06,0.98,0.93,0.072,0.616,0.008
omisego,23 Jun 2017,23 Jul 2017,30,315,7,fintech,5,25000000,25000000,1,0.23,N/A,1,276319,1.533,750698,0.37,0.31,4.86,4.82,-0.059,-1.107,0.016
icon,22 Sep 2017,22 Sep 2017,0,254,8,transportation,41,45000000,N/A,1,0.11,21040,1,102908,3.519,71509,0.34,0.32,5.1,5.05,-0.086,-1.847,0.017
zilliqa,27 Dec 2017,04 Jan 2018,8,150,12,other,N/A,2000000,N/A,N/A,0.008,30189,2,N/A,16.005,4921770,-0.37,-0.14,-2.21,-2.21,-0.356,-0.5,0.003
aeternity,29 May 2017,19 Jun 2017,21,349,5,saas,15,24426689,N/A,N/A,0.28,N/A,1,277,1.484,1518,0.39,0.09,1.42,1.42,0.027,0.393,0.017
0x,15 Aug 2017,15 Sep 2017,31,261,1,saas,6,24000000,N/A,N/A,0.07,N/A,4,44155,2.206,5232600,0.23,0.12,1.97,1.97,-0.256,-1.107,0.016
bytom,20 Jun 2017,20 Jul 2017,30,318,3,saas,5,22554000,N/A,N/A,0.05,N/A,1,17847,1.256,7543670,0.18,0.05,0.77,0.77,-0.084,-1.893,0.013
golem,13 Nov 2016,13 Nov 2016,0,567,5,saas,15,8000000,N/A,1,0.01,313,1,138560,79.101,106960000,-0.55,-4.34,-8.68,-8.68,0.459,1.261,-0.005
wanchain,01 Oct 2017,01 Nov 2017,31,214,12,blockchain,6,35658000,N/A,N/A,0.34,N/A,1,N/A,11.382,189439000,0.18,0.06,0.96,1.08,-0.584,-5.477,0.004
populous,24 Jul 2017,24 Jul 2017,0,314,4,fintech,5,10220400,991001144,0.01,0.25,N/A,1,22920,12.32,2704070,0.2,0.11,1.69,1.75,-0.059,-4.818,0.012
augur,17 Aug 2015,1 Oct 2015,45,976,1,saas,13,5000000,N/A,0.8,0.6,N/A,1,434,1.45,728,0.09,0.14,2.18,2.34,0.027,-0.625,0.009
status,20 Jun 2017,20 Jun 2017,0,348,6,saas,12,10000000,N/A,N/A,0.04,N/A,3,101269,0.404,13747700,-0.21,0.04,0.66,0.72,0.158,-0.5,0.008
