coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
eos,11 Jun 2017,26 Jun 2017,15,346,1,blockchain,4,185000000,N/A,N/A,0.99,58166,2,N/A,0.7,0.02,13613000,0.19,0.09,1.35,1.32,0.074,1.322,0.015
iota,24 Nov 2017,20 Dec 2017,26,169,12,saas,N/A,N/A,N/A,N/A,N/A,2,3,N/A,0.32,0,25425600,-0.2,0.12,1.83,1.76,0.067,-0.192,0.007
tron,07 Sep 2017,08 Sep 2017,1,272,3,blockchain,1,70000000,70000000,1,0.0019,99605,1,N/A,0.62,0.046,48512,0.15,0.09,1.5,1.46,-0.073,2.201,0.026
neo,8 Aug 2017,7 Sep 2017,30,273,3,blockchain,16,28056944,N/A,N/A,0.03,4,2,319275,0.76,17.616,1349,0.12,0.08,1.33,1.3,0.04,-0.665,0.017
qtum,12 Mar 2017,17 Mar 2017,5,447,7,blockchain,18,15000000,15000000,1,0.3,14062,1,164923,N/A,19.633,11221600,0.23,0.06,0.98,0.98,0.071,-0.643,0.008
omisego,23 Jun 2017,23 Jul 2017,30,319,7,fintech,5,25000000,25000000,1,0.23,N/A,1,277200,N/A,1.533,750698,0.37,0.31,4.86,4.86,-0.06,-1.286,0.015
icon,22 Sep 2017,22 Sep 2017,0,258,8,transportation,41,42750000,42750000,1,0.11,21045,1,103674,0.5,3.519,71509,0.34,0.32,5.1,5.1,-0.088,-0.286,0.017
zilliqa,27 Dec 2017,04 Jan 2018,8,154,12,blockchain,N/A,22000000,22000000,1,0.0038,30306,2,N/A,0.74,34.8,4921770,-0.37,-0.14,-2.21,-2.21,-0.356,-0.5,0.003
aeternity,29 May 2017,19 Jun 2017,21,353,5,saas,15,24426689,N/A,N/A,0.28,N/A,1,277,N/A,1.484,1518,0.39,0.09,1.42,1.42,0.026,0.393,0.017
0x,15 Aug 2017,15 Sep 2017,31,265,1,saas,6,24000000,24000000,1,0.07,N/A,4,44578,N/A,2.206,5232600,0.23,0.12,1.97,1.97,-0.255,-1.107,0.016
bytom,20 Jun 2017,20 Jul 2017,30,322,3,saas,5,22554000,N/A,N/A,0.05,N/A,1,17544,N/A,1.256,7543670,0.18,0.05,0.77,0.77,-0.085,-1.893,0.013
golem,13 Nov 2016,13 Nov 2016,0,571,5,saas,15,8000000,8000000,1,0.01,574,1,139029,N/A,73.38,27712500,-0.52,-4.13,-8.26,-8.26,0.675,2.489,-0.003
wanchain,01 Oct 2017,01 Nov 2017,31,218,3,other,42,35990000,35990000,1,0.34,47109,1,103907,0.54,11.382,189439000,0.18,0.06,0.96,1.14,-0.573,-5.681,0.004
augur,17 Aug 2015,1 Oct 2015,45,980,1,saas,13,5000000,6250000,0.8,0.6,N/A,1,433,N/A,1.45,728,0.09,0.14,2.18,2.42,0.026,-0.34,0.009
populous,24 Jul 2017,24 Jul 2017,0,318,4,fintech,5,10220400,1022040000,0.01,0.25,N/A,1,23012,0.82,12.32,2704070,0.2,0.11,1.69,1.78,-0.06,-5.255,0.012
status,20 Jun 2017,20 Jun 2017,0,352,6,saas,12,10000000,N/A,N/A,0.04,N/A,3,101652,N/A,0.404,13747700,-0.21,0.04,0.66,0.75,0.157,-0.936,0.008
aion,24 Nov 2017,24 Dec 2017,30,165,12,other,8,N/A,N/A,N/A,1,11364,0,49304,N/A,-0.374,20958,0.12,0.22,3.46,3.52,-0.133,-5.574,0.018
digixdao,29 Mar 2016,30 Mar 2016,1,799,7,saas,N/A,55000004,N/A,N/A,4.2,N/A,1,15232,N/A,6.543,1900,-0.05,-0.01,-0.14,-0.03,0.033,-1.064,0.006
nebulas,8 Dec 2017,16 Dec 2017,8,173,1,saas,19,60000000,60000000,1,2,12032,1,22920,0.76,1.17,995797,-0.17,0.17,2.64,2.6,-0.138,-2.247,0.011
loopring,1 Aug 2017,16 Aug 2017,15,295,3,saas,3,45000000,45000000,1,0.06,N/A,1,32630,0.6,0.747,200829,-0.05,0.12,1.93,2.02,-0.147,-0.106,0.015
komodo,15 Oct 2016,16 Nov 2016,32,568,12,saas,N/A,1983781,N/A,N/A,0.38,N/A,1,89247,N/A,-0.708,22487,0.02,0.12,1.88,1.9,-0.004,-3.468,0.021
ark,05 Nov 2016,09 Dec 2016,34,545,12,blockchain,N/A,22000000,N/A,N/A,0.1,44,1,N/A,N/A,-0.657,133793,0.32,0.26,4.19,4.29,-0.167,-2.277,0.017
elastos,01 Jan 2018,22 Jan 2018,21,136,3,other,58,94073200,94073200,1,18.09,17230,2,22460,0.62,1.259,33745700,0.19,-0.02,-0.34,-0.19,-0.443,1.766,0.004
cybermiles,21 Nov 2017,21 Dec 2017,30,168,1,saas,9,30881582,30881582,1,0.1,68872,5,241281,0.62,0.806,12580000,-0.09,0.01,0.22,0.31,-0.015,-4.34,0.006
bancor,12 Jun 2017,12 Jun 2017,0,360,12,saas,6,15300000,N/A,N/A,3.92,6665,10,822,N/A,4.097,16871,-0.16,-0.07,-1.04,-0.94,-0.004,-1.809,0.001
cryptonex,01 Sep 2017,30 Sep 2017,29,250,12,other,N/A,N/A,N/A,N/A,N/A,2298,0,N/A,N/A,0,79554,-0.03,0.12,1.88,1.98,-0.222,1.213,0.009
dentacoin,1 Oct 2017,1 Nov 2017,31,218,5,insurance services,19,1923507,27478671,0.07,0,1459,6,110,0.6,0,228296,0.04,0.06,0.94,1.01,-0.19,-0.617,0.024
kyber-network,15 Sep 2017,17 Sep 2017,2,263,7,other,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,16343900,-0.15,-0.08,-1.21,-0.99,-0.128,-2.596,0.004
veritaseum,25 Apr 2017,26 May 2017,31,377,1,blockchain,2,6480882,N/A,N/A,12,1819,1,23284,N/A,3.047,450758,0.22,0.13,2.02,2.02,-260.369,-0.298,190.453
fusion,1 Feb 2018,10 Feb 2018,9,117,7,fintech,20,42185216,42185216,1,2.06,10899,4,7835,0.4,0.592,1440790,-0.04,0.12,1.87,2.03,-0.207,-4.362,0.011
theta-token,07 Jan 2018,07 Jan 2018,0,151,12,blockchain,N/A,20000000,20000000,1,0.12,13415,N/A,N/A,0.6,0.527,10023000,0.05,0.06,0.99,1.11,-0.118,8.957,0.01
substratum,14 Aug 2017,14 Sep 2017,31,266,1,blockchain,6,13800000,44516129,0.31,0.07,12630,2,1158,0.4,-0.333,41819,0.29,0.28,4.47,4.57,-0.246,-5.128,0.017
electroneum,14 Sep 2017,20 Oct 2017,36,230,4,blockchain,15,39934610,39934610,1,0.01,49514,1,124347,0.44,6.736,2464330,-0.13,0.08,1.26,1.34,0.092,-1.638,0.002
dragonchain,2 Oct 2017,2 Nov 2017,31,217,1,saas,8,13700000,16707317,0.82,0.07,N/A,8,74322,0.3,2.853,1142060,0.37,0.26,4.08,4.17,0.107,-3.447,0.012
kin,12 Sep 2017,26 Sep 2017,14,254,1,saas,7,48594816,74761255,0.65,0,N/A,1,24704,0.58,0,372049,-0.08,-0.01,-0.17,-0.02,-0.144,-1.191,0.012
holo,29 Mar 2018,28 Apr 2018,30,40,7,telecommunications,8,20388500,20388500,1,0.0002,8034,4,5064,N/A,2.84,5764530,0.26,2.05,4.1,4.21,0.592,-4.915,0.018
storm,07 Nov 2017,07 Dec 2017,30,182,1,fintech,8,30716420,30716420,1,0.0113,9924,1,26837,N/A,0.43,330757,0.68,0.15,2.39,2.47,-0.239,-2.553,0.017
bnktothefuture,16 Feb 2018,16 Mar 2018,28,83,12,fintech,10,33000000,N/A,N/A,0.1,N/A,4,N/A,0.58,-0.22,40890,0.31,0.2,3.11,3.25,0.01,1.702,0.019
