coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
icon,22 Sep 2017,22 Sep 2017,0,263,8,transportation,30,42750000,42750000,1,0.11,21112,1,105777,0.5,3.519,71509,0.341,0.319,5.064,5.083,-0.084,-1.012,0.015,-0.001
wanchain,01 Oct 2017,01 Nov 2017,31,223,3,other,31,35990000,35990000,1,0.34,46807,1,105673,0.54,11.382,189439000,0.181,0.06,0.948,1.052,-0.525,-4.67,-0.002,-0.029
elastos,01 Jan 2018,22 Jan 2018,21,141,3,other,51,94073200,94073200,1,18.09,17300,2,23153,0.62,1.259,33745700,0.185,-0.021,-0.326,-0.242,-0.423,0.297,0.001,-0.013
cybermiles,21 Nov 2017,21 Dec 2017,30,173,1,saas,9,30881582,30881582,1,0.1,67873,5,244405,0.62,0.806,12580000,-0.099,0.014,0.228,0.284,-0.036,-4.806,0.004,-0.008
dentacoin,1 Oct 2017,1 Nov 2017,31,223,5,insurance services,19,1923507,27478671,0.07,0,1492,6,110,0.6,0,228296,0.042,0.059,0.931,0.975,-0.184,-2.806,0.023,-0.029
fusion,1 Feb 2018,10 Feb 2018,9,122,7,fintech,10,42185216,42185216,1,2.06,2746,4,8119,0.4,0.592,1440790,-0.034,0.126,1.994,2.093,-0.196,-3.384,0.008,-0.02
substratum,14 Aug 2017,14 Sep 2017,31,271,1,blockchain,6,13800000,44516129,0.31,0.07,12662,2,1157,0.4,-0.333,41819,0.285,0.278,4.417,4.482,-0.246,-5.16,0.015,-0.029
electroneum,14 Sep 2017,20 Oct 2017,36,235,4,blockchain,12,39934610,39934610,1,0.01,49382,1,125597,0.44,6.736,2464330,-0.137,0.079,1.255,1.304,0.089,-2.333,0,-0.017
gifto,14 Dec 2017,14 Dec 2017,0,180,3,entertainment,5,10000000,10000000,1,0.1,54846,4,17240,0.48,2.489,44959800,0.325,0.124,1.967,2.017,-0.072,-2.321,0.004,-0.024
monaco,18 May 2017,18 Jun 2017,31,359,6,fintech,4,26700000,267000000,0.1,2.88,7383,4,65305,0.78,-0.142,1549870,-0.095,0.197,3.132,3.162,0.049,-1.428,0.013,-0.023
revain,21 Aug 2017,4 Sep 2017,14,281,2,saas,12,12513346,12513346,1,0.05,2358,1,6483,0.46,0.558,107140,0.26,0.379,6.016,6.089,0.092,0.247,0.012,-0.027
request-network,13 Oct 2017,17 Oct 2017,4,238,5,fintech,7,33600000,33600000,1,0.06,13831,1,772,0.36,0.013,5914220,0.117,0.262,4.163,4.237,-0.183,-3.293,0.008,-0.03
