coin,start1,end1,duration1,age1,start3,end3,duration3,age3,start4,end4,duration4,age4,start5,end5,duration5,age5,country1,country2,country3,country5,industry1,industry2,industry4,team1,team2,team3,team4,team5,raised1,raised2,raised4,raised5,hardcap1,hardcap2,hardcap4,hardcap5,success1,success2,success4,price1,price2,price4,price5,telegram1,telegram2,telegram4,N_google_news,N_twitter,hype4,risk4,ret_day1,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,180.0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,usa,international,N/A,usa,platform,blockchain service,blockchaininfrastructure,19,14,N/A,17,14,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,N/A,N/A,1.0,1.0,N/A,2.0,2.0,N/A,N/A,12168,1929,12168,2,23073,N/A,N/A,4.34,995797,-0.168,0.167,2.648,2.604,-0.129,-1.016,0.009,0.01
iexec-rlc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17 Apr 2017,10 May 2017,23.0,400.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,computing&datastorage,N/A,N/A,N/A,8,N/A,N/A,N/A,12000000.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.178,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.284,151637,0.29,0.168,2.662,2.612,-0.102,-1.359,0.009,0.009
crypto20,16 Oct 2017,30 Nov 2017,45.0,196.0,16 Oct 2017,30 Nov 2017,45.0,196.0,14 Oct 2017,28 Nov 2017,45.0,198.0,16 Oct 2017,30 Nov 2017,45.0,196.0,usa,N/A,caymanislands,usa,investment,cryptofund,investment,21,N/A,7,19,6,38000000.0,37698373.0,37698000.0,38000000.0,94827585.60000001,75000000.0,N/A,N/A,0.4,0.5,N/A,1.1,1.0,N/A,N/A,N/A,N/A,N/A,4,9624,N/A,N/A,3.71,5672340,-0.206,-0.204,-3.238,-3.326,-0.103,-0.463,-0.007,-0.007
ambrosus,22 Sep 2017,22 Oct 2017,30.0,235.0,N/A,N/A,N/A,N/A,17 Sep 2017,20 Oct 2017,33.0,237.0,22Sept2017,22Oct2017,N/A,N/A,switzerland,switzerland,N/A,switzerland,health,blockchain service,drugs&healthcare,20,10,N/A,19,20,30000000.0,32507330.0,36600000.0,30000000.0,28999999.999999996,97800000.0,N/A,N/A,1.03,0.33,N/A,0.29,0.3,0.3,N/A,4240,N/A,4240,6,17208,N/A,N/A,0.16,35697,0.095,0.119,1.895,1.933,0.209,-1.185,0.009,-0.004
decentbet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21 Sep 2017,19 Oct 2017,28.0,238.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gambling&betting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.182,26234,-0.027,0.147,2.341,2.371,-0.381,-3.15,0.009,0.002
medicalchain,1 Feb 2018,1 Feb 2018,0.0,133.0,N/A,N/A,N/A,N/A,31 Jan 2018,28 Feb 2018,28.0,106.0,01 Feb 2018,01 Feb 2018,0.0,133.0,uk,N/A,unitedkingdom,uk,health,healthcare,drugs&healthcare,16,N/A,0,15,10,24000000.0,23991953.0,24000000.0,24000000.0,N/A,24000000.0,N/A,N/A,N/A,1.0,N/A,0.2,0.25,0.25,0.2,26636,26636,26636,10,15843,N/A,N/A,0.318,122744,-0.117,-0.26,-4.129,-4.043,-0.069,0.008,-0.008,-0.008
cofound.it,N/A,N/A,N/A,N/A,07 Jun 2017,31 May 2017,-7.0,379.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sweden,N/A,N/A,crowdfunding,N/A,N/A,N/A,9,N/A,N/A,N/A,14820030.0,N/A,N/A,N/A,12500000.0,N/A,N/A,N/A,1.19,N/A,N/A,0.12,N/A,N/A,N/A,1086,N/A,5,N/A,N/A,N/A,0.322,3663160,-0.201,0.04,0.643,0.652,0.007,-1.689,0.0,-0.003
bloom,30 Nov 2017,1 Jan 2018,32.0,164.0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,30 Nov 2017,30 Dec 2017,30.0,166.0,usa,us,N/A,usa,platform,finance,N/A,11,12,N/A,8,5,40000000.0,41420705.0,43767000.0,N/A,50000000.0,80500000.0,N/A,N/A,0.8,0.51,N/A,0.7,1.16,N/A,N/A,13413,263,N/A,4,445,N/A,N/A,1.9,101651,-0.316,-0.147,-2.332,-2.321,-0.104,-0.975,-0.008,-0.001
matchpool,2 Apr 2017,4 Apr 2017,2.0,436.0,02 Apr 2017,04 Apr 2017,2.0,436.0,31 Mar 2017,02 Apr 2017,2.0,438.0,02 Apr 2017,04 Apr 2017,2.0,436.0,israel,N/A,(datamissing),israel,platform,N/A,socialmedia&communication,7,N/A,13,6,7,5800000.0,N/A,5800000.0,5800000.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,N/A,0.008,N/A,2204,N/A,N/A,13,N/A,N/A,N/A,0.241,610,0.177,0.116,1.842,1.844,0.07,0.45,0.022,-0.0
agrello,16 Jul 2017,17 Aug 2017,32.0,301.0,N/A,N/A,N/A,N/A,14 Jul 2017,14 Aug 2017,31.0,304.0,16July2017,17Aug2017,N/A,N/A,estonia,estonia,N/A,estonia,platform,smart contract,blockchaininfrastructure,13,7,N/A,11,7,35000000.0,30100000.0,35000000.0,35000000.0,5600.000000000001,43200000.0,N/A,N/A,6250.0,0.7,N/A,0.56,0.43,2.86,N/A,N/A,4838,4838,2,14931,N/A,N/A,0.401,82770,-0.054,0.004,0.058,0.067,-0.05,-3.671,0.004,-0.003
