coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
bitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,22,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ethereum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,35,N/A,N/A,164329,-0.01,-0.06,-0.95,-1.01,0.008,0.007,0.008,0.005
ripple,N/A,N/A,N/A,N/A,1,other,7,N/A,N/A,N/A,N/A,4,15,N/A,N/A,0.0,0.06,0.11,1.73,1.67,-0.095,0.068,0.006,0.009
bitcoin cash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eos,11 Jun 2017,26 Jun 2017,15.0,332.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,53046,30,N/A,0.02,13613000,0.19,0.09,1.35,1.31,0.087,1.666,0.014,0.016
litecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stellar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,25,15,N/A,N/A,30316,-0.04,0.02,0.33,0.23,-0.083,-0.661,0.008,0.021
cardano,N/A,N/A,N/A,N/A,6,other,2,N/A,N/A,N/A,N/A,N/A,7,N/A,N/A,50068700,0.17,0.21,3.37,3.32,0.19,0.527,0.018,0.018
tron,07 Sep 2017,08 Sep 2017,1.0,258.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.002,75565,26,N/A,-0.01,48512,0.15,0.09,1.5,1.45,-0.069,2.454,0.028,0.026
iota,24 Nov 2017,20 Dec 2017,26.0,155.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,8,N/A,N/A,25425600,-0.2,0.12,1.83,1.75,0.077,0.12,0.007,0.008
neo,8 Aug 2017,7 Sep 2017,30.0,259.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,32,318851,17.62,1349,0.12,0.08,1.33,1.3,0.043,-0.636,0.017,0.006
monero,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,246540,0.01,0.1,1.54,1.48,0.002,-0.811,0.006,0.006
dash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,15422,0.28,0.14,2.23,2.21,-0.219,-0.569,0.009,0.004
tether,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,6,0.04,0.02,0.37,0.27,0.004,-0.069,0.0,0.0
nem,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,22,4,N/A,N/A,65525,-0.26,-0.08,-1.29,-1.39,0.125,1.248,0.01,0.007
vechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,7478420,-0.34,0.09,1.49,1.44,0.072,-0.2,0.019,0.02
ethereum classic,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
binance coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bytecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
qtum,12 Mar 2017,17 Mar 2017,5.0,433.0,7,blockchain,18,15000000.0,N/A,1.0,0.3,14116,6,162907,19.63,11221600,0.23,0.06,0.98,0.93,0.075,0.792,0.008,0.005
zcash,N/A,N/A,N/A,N/A,1,other,1,N/A,N/A,N/A,N/A,7,1,N/A,N/A,2532790,-0.21,-0.12,-1.89,-1.92,-0.083,-0.384,0.002,0.003
omisego,23 Jun 2017,23 Jul 2017,30.0,305.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,13,274018,1.53,750698,0.37,0.31,4.86,4.81,-0.055,-0.857,0.016,0.004
