coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,170.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12073,0,22510,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
power-ledger,8 Sep 2017,6 Oct 2017,28.0,241.0,9,energy,17,13232290.0,N/A,N/A,0.09,16589,0,917,-0.381,1017460,0.51,0.32,5.09,5.05,0.057,-1.092,0.016,0.017
request-network,13 Oct 2017,17 Oct 2017,4.0,230.0,5,fintech,7,33600000.0,33600000.0,1.0,0.06,13879,0,765,0.013,5914220,0.13,0.27,4.23,4.17,-0.187,-1.126,0.011,0.013
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,193.0,7,saas,10,14360000.0,14400000.0,1.0,0.02,26367,0,14828,0.761,10625600,0.34,0.2,3.17,3.13,-0.147,0.77,0.009,0.009
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,216.0,7,entertainment,8,22959609.0,25000000.0,0.92,0.03,13094,0,N/A,-0.332,742008,0.02,0.28,4.4,4.36,-0.144,-2.006,0.015,0.016
poa-network,17 Nov 2017,17 Nov 2017,0.0,199.0,1,saas,19,12500000.0,12500000.0,1.0,0.0724,10898,0,307,7.763,79376200,-0.34,0.06,0.99,0.94,-0.351,-1.622,-0.001,-0.0
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,154.0,6,blockchain,9,30000000.0,30000000.0,1.0,0.25,2173,0,6399,0.689,10089800,0.06,-0.1,-1.64,-1.62,-0.51,-1.341,0.003,0.001
ambrosus,22 Sep 2017,22 Oct 2017,30.0,225.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4222,0,16850,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
crypto20,16 Oct 2017,30 Nov 2017,45.0,186.0,1,fintech,6,37698373.0,75000000.0,0.5,1.1,N/A,0,9566,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,201.0,2,fintech,10,2836732.0,23000000.0,0.12,1.0,8051,0,19039,1.68,683667,0.39,0.27,4.32,4.33,-0.038,-1.938,0.019,-0.002
red-pulse,8 Oct 2017,8 Oct 2017,0.0,239.0,3,fintech,11,14508923.0,14500000.0,1.0,0.03,6386,0,32658,0.849,5395350,-0.05,0.23,3.57,3.58,-0.243,-0.613,0.011,-0.008
decentbet,21 Sep 2017,19 Oct 2017,28.0,228.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
legolas-exchange,1 Feb 2018,15 Feb 2018,14.0,109.0,5,blockchain,9,18856000.0,N/A,N/A,N/A,N/A,0,11656,0.0,682912,-0.21,-0.02,-0.3,-0.28,-0.223,-0.619,0.003,0.003
bloom,30 Nov 2017,1 Jan 2018,32.0,154.0,1,saas,11,41420705.0,80500000.0,0.51,0.7,13630,0,436,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
medicalchain,1 Feb 2018,1 Feb 2018,0.0,123.0,4,insurance services,10,23991953.0,24000000.0,1.0,0.2,27080,0,15707,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sentinel-chain,1 Mar 2018,10 Mar 2018,9.0,86.0,7,fintech,23,14400000.0,14400000.0,1.0,0.08,9402,0,4030,-0.184,1945280,0.52,0.11,1.74,1.67,-0.104,0.683,0.01,0.01
hive-project,3 Jul 2017,14 Aug 2017,42.0,294.0,5,fintech,18,8949421.0,N/A,N/A,0.02,N/A,0,3043,0.045,216,0.17,0.12,1.84,1.77,-0.045,-4.773,0.017,0.015
cofound.it,31 May 2017,07 Jun 2017,7.0,369.0,5,fintech,9,14820030.0,12500000.0,1.0,0.12,1092,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
matchpool,2 Apr 2017,4 Apr 2017,2.0,426.0,12,saas,7,5800000.0,N/A,N/A,0.1,2226,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
morpheus-network,22 Mar 2018,22 Apr 2018,31.0,43.0,12,other,12,7500000.0,18000000.0,0.42,0.45,11940,0,5638,-0.104,193829,1.14,1.97,3.93,3.84,-0.034,4.604,0.04,0.047
agrello,16 Jul 2017,17 Aug 2017,32.0,291.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4832,0,14805,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
lala-world,5 Jan 2018,5 Feb 2018,31.0,119.0,7,saas,5,20191350.0,20200000.0,1.0,0.13,824,0,10033,-0.253,28433,-0.44,0.0,0.04,0.16,0.228,-5.042,0.008,-0.011
locktrip,29 Oct 2017,30 Nov 2017,32.0,186.0,5,other,20,4000000.0,N/A,N/A,0.55,N/A,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nebula-ai,31 Mar 2018,20 Apr 2018,20.0,45.0,1,other,20,5874054.0,17700000.0,0.33,0.0059,5522,0,1404,1.039,155134,-0.01,-0.07,-0.15,0.01,-0.266,-3.792,-0.003,-0.026
friendz,1 Mar 2018,20 Mar 2018,19.0,76.0,6,fintech,18,13754758.0,50300000.0,0.27,0.067,70254,0,55274,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hubii-network,17 Aug 2017,31 Aug 2017,14.0,277.0,7,telecommunications,15,7130256.0,50000000.0,0.14,0.39,1261,0,4598,-0.493,23209,0.18,0.13,2.06,2.15,0.191,-3.167,0.031,0.047
wetrust,2 Mar 2017,14 Apr 2017,43.0,416.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,0,10,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
insights-network,28 Jan 2018,14 Feb 2018,17.0,110.0,7,blockchain,3,17376260.0,17400000.0,1.0,0.15,20940,0,N/A,-0.051,693393,-0.33,-0.04,-0.71,-0.46,-0.078,1.042,-0.007,-0.039
spectiv,8 Dec 2017,31 Dec 2017,23.0,155.0,1,entertainment,8,7605767.0,10600000.0,0.72,0.5,N/A,0,3274,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
target-coin,15 Jul 2017,31 Aug 2017,47.0,277.0,12,blockchain,4,20711412.0,N/A,0.3,0.05,N/A,0,1624,-0.164,69996,0.03,0.09,1.46,1.55,-0.241,-0.271,0.021,-0.0
fabric-token,15 Feb 2018,1 Apr 2018,45.0,64.0,5,blockchain,11,1035986.0,9000000.0,0.12,0.1125,5388,0,1525,-0.172,83004,1.28,2.22,4.43,4.54,-4.771,-22.818,0.031,0.029
eboost,13 Sep 2016,25 Oct 2016,42.0,587.0,12,other,N/A,N/A,N/A,N/A,0.2,N/A,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
