coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,171.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12053,2,22523,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iexec-rlc,17 Apr 2017,10 May 2017,23.0,391.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ambrosus,22 Sep 2017,22 Oct 2017,30.0,226.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4222,6,16868,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
crypto20,16 Oct 2017,30 Nov 2017,45.0,187.0,1,fintech,6,37698373.0,75000000.0,0.5,1.1,N/A,6,9575,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
decentbet,21 Sep 2017,19 Oct 2017,28.0,229.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,34,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
medicalchain,1 Feb 2018,1 Feb 2018,0.0,124.0,4,insurance services,10,23991953.0,24000000.0,1.0,0.2,26990,11,15703,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bloom,30 Nov 2017,1 Jan 2018,32.0,155.0,1,saas,11,41420705.0,80500000.0,0.51,0.7,13588,4,440,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cofound.it,31 May 2017,07 Jun 2017,7.0,370.0,5,fintech,9,14820030.0,12500000.0,1.0,0.12,1093,6,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
matchpool,2 Apr 2017,4 Apr 2017,2.0,427.0,12,saas,7,5800000.0,N/A,N/A,0.1,2218,12,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agrello,16 Jul 2017,17 Aug 2017,32.0,292.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4819,2,14799,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hubii-network,17 Aug 2017,31 Aug 2017,14.0,278.0,7,telecommunications,15,7130256.0,50000000.0,0.14,0.39,1266,9,4598,-0.493,23209,0.18,0.13,2.06,2.03,0.191,-0.458,0.031,0.032
wetrust,2 Mar 2017,14 Apr 2017,43.0,417.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,5,10,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
spectiv,8 Dec 2017,31 Dec 2017,23.0,156.0,1,entertainment,8,7605767.0,10600000.0,0.72,0.5,N/A,4,3278,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eroscoin,11 Oct 2017,15 Nov 2017,35.0,202.0,12,other,7,N/A,N/A,N/A,0.05,N/A,3,N/A,1.938,8548340,0.08,-0.07,-1.15,-1.22,0.011,-1.759,-0.003,-0.002
eboost,13 Sep 2016,25 Oct 2016,42.0,588.0,12,other,N/A,N/A,N/A,N/A,0.2,N/A,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitjob,12 Sep 2017,13 Oct 2017,31.0,235.0,12,saas,26,2726424.0,12000000.0,0.23,0.39,2181,4,6866,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
peerguess,28 Oct 2017,09 Dec 2017,42.0,178.0,12,saas,13,N/A,N/A,N/A,0.06,1064,0,2036,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
escroco,30 Oct 2017,28 Nov 2017,29.0,189.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
