coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos,11 Jun 2017,26 Jun 2017,15.0,324.0,1,blockchain,4,4658000.0,N/A,N/A,0.99,51728,30,N/A,0.62,0.64,0.02,13613000,0.19,0.09,1.35,1.31,0.082,1.473,0.015,0.017
tron,07 Sep 2017,08 Sep 2017,1.0,250.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0,406,20,N/A,0.62,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
icon,22 Sep 2017,22 Sep 2017,0.0,236.0,8,transportation,41,42750000.0,42800000.0,1.0,0.11,20942,30,101210,0.5,0.44,3.52,71509,0.34,0.32,5.1,5.04,-0.09,-1.905,0.02,0.021
zilliqa,27 Dec 2017,04 Jan 2018,8.0,132.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0,29162,5,N/A,0.74,0.56,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
wanchain,01 Oct 2017,01 Nov 2017,31.0,196.0,3,blockchain,17,35990000.0,36000000.0,1.0,0.34,48257,0,N/A,0.54,0.46,11.38,189439000,0.18,1.41,2.83,2.79,-0.573,-1.582,0.011,0.012
populous,24 Jul 2017,24 Jul 2017,0.0,296.0,4,fintech,5,10220400.0,991001144.0,0.01,0.28,N/A,0,22760,0.82,0.56,10.89,2704070,0.2,0.11,1.69,1.62,-0.051,1.423,0.013,0.004
loopring,1 Aug 2017,16 Aug 2017,15.0,273.0,3,saas,3,120000.0,N/A,N/A,0.11,N/A,0,26901,0.6,0.6,-0.05,200829,-0.05,0.12,1.93,1.78,-0.149,-0.306,0.016,0.004
nebulas,8 Dec 2017,16 Dec 2017,8.0,151.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,11937,0,22343,0.76,0.4,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
dentacoin,1 Oct 2017,1 Nov 2017,31.0,196.0,5,insurance services,19,1923507.0,28800000.0,0.07,0.0,1437,0,110,0.6,0.62,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
fusion,1 Feb 2018,10 Feb 2018,9.0,95.0,7,fintech,19,42185216.0,42200000.0,1.0,2.06,10186,0,7312,0.4,0.64,0.59,1440790,-0.04,0.12,1.87,1.59,-0.197,-3.041,0.016,0.037
substratum,14 Aug 2017,14 Sep 2017,31.0,244.0,1,blockchain,6,13800000.0,45000000.0,0.31,0.08,64,0,1192,0.4,0.64,-0.42,41819,0.29,0.28,4.47,4.29,-0.248,-5.367,0.02,0.009
cybermiles,21 Nov 2017,21 Dec 2017,30.0,146.0,1,saas,9,30881582.0,36680000.0,0.84,0.05,74497,0,218623,0.62,0.62,2.61,12580000,-0.09,0.01,0.22,0.07,-0.005,-1.388,0.007,0.045
dragonchain,2 Oct 2017,2 Nov 2017,31.0,195.0,1,saas,8,13193000.0,15807375.0,0.83,0.07,N/A,0,73373,0.3,0.58,2.85,1142060,0.37,0.26,4.08,3.94,0.11,-4.122,0.015,0.002
kin,12 Sep 2017,26 Sep 2017,14.0,232.0,1,saas,7,48594816.0,75000000.0,0.65,0.0,N/A,0,24400,0.58,0.52,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
gifto,14 Dec 2017,14 Dec 2017,0.0,153.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,58161,0,16398,0.48,0.62,2.49,44959800,0.32,0.12,1.93,1.78,-0.067,-6.367,0.01,0.031
