coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
bitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,23,41,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ethereum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,3,33,N/A,N/A,N/A,0.0,164329,-0.01,-0.06,-0.95,-1.0,0.005,-0.203,0.008,0.005
ripple,N/A,N/A,N/A,N/A,1,other,7,N/A,N/A,N/A,N/A,4,13,N/A,N/A,N/A,0.0,0.0,0.06,0.11,1.73,1.67,-0.096,-0.137,0.006,0.009
bitcoin-cash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,0.0,85013,-0.06,0.04,0.71,0.65,-0.139,-1.243,0.008,0.009
eos,11 Jun 2017,26 Jun 2017,15.0,347.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,58506,55,N/A,0.7,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.073,1.32,0.015,0.017
litecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,4,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stellar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,23,12,N/A,N/A,N/A,0.0,30316,-0.04,0.02,0.33,0.24,-0.085,-0.955,0.008,0.02
cardano,N/A,N/A,N/A,N/A,6,other,2,N/A,N/A,N/A,N/A,N/A,9,N/A,N/A,N/A,0.0,50068700,0.17,0.21,3.37,3.33,0.182,0.326,0.017,0.017
iota,24 Nov 2017,20 Dec 2017,26.0,170.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,7,N/A,0.32,N/A,0.0,25425600,-0.2,0.12,1.83,1.76,0.067,-0.191,0.007,0.008
tron,07 Sep 2017,08 Sep 2017,1.0,273.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0019,99358,30,N/A,0.62,N/A,0.046,48512,0.15,0.09,1.5,1.46,-0.073,2.203,0.025,0.024
neo,8 Aug 2017,7 Sep 2017,30.0,274.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,32,321810,0.76,N/A,17.616,1349,0.12,0.08,1.33,1.3,0.04,-0.665,0.017,0.006
monero,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,0.0,246540,0.01,0.1,1.54,1.49,0.001,-0.81,0.006,0.005
tether,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,6,0.04,0.02,0.37,0.29,0.004,-0.079,0.0,0.0
dash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,0.0,15422,0.28,0.14,2.23,2.21,-0.22,-0.834,0.009,0.003
nem,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,24,5,N/A,N/A,N/A,0.0,65525,-0.26,-0.08,-1.29,-1.38,0.123,1.18,0.01,0.006
vechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,0.0,7478420,-0.34,0.09,1.49,1.44,0.062,-0.348,0.018,0.02
binance-coin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,145269,0.59,0.25,4.01,3.97,0.194,-0.196,0.022,0.014
ethereum-classic,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,0.0,17769300,0.2,0.1,1.6,1.58,0.036,-1.276,0.01,0.005
ontology,N/A,N/A,N/A,N/A,12,saas,43,N/A,N/A,N/A,0.2,30516,2,53693,0.74,N/A,13.2,150428000,0.04,0.22,3.52,3.45,-0.496,-1.929,0.017,0.019
qtum,12 Mar 2017,17 Mar 2017,5.0,448.0,7,blockchain,18,15000000.0,15000000.0,1.0,0.3,14064,8,166554,N/A,N/A,19.633,11221600,0.23,0.06,0.98,0.98,0.071,-0.643,0.008,-0.003
omisego,23 Jun 2017,23 Jul 2017,30.0,320.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,12,279748,N/A,N/A,1.533,750698,0.37,0.31,4.86,4.86,-0.06,-1.286,0.015,-0.0
bytecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
icon,22 Sep 2017,22 Sep 2017,0.0,259.0,8,transportation,41,42750000.0,42750000.0,1.0,0.11,21041,30,105421,0.5,N/A,3.519,71509,0.34,0.32,5.1,5.1,-0.088,-0.286,0.016,0.002
zcash,N/A,N/A,N/A,N/A,1,other,1,N/A,N/A,N/A,N/A,6,1,N/A,N/A,N/A,0.0,2532790,-0.21,-0.12,-1.89,-1.89,-0.083,-0.714,0.002,-0.002
zilliqa,27 Dec 2017,04 Jan 2018,8.0,155.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0038,30346,5,N/A,0.74,N/A,34.8,4921770,-0.37,-0.14,-2.21,-2.21,-0.356,-0.5,0.003,0.016
lisk,N/A,N/A,N/A,N/A,5,other,5,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,0.0,222502,0.1,0.15,2.34,2.34,-0.077,-1.214,0.013,-0.004
aeternity,29 May 2017,19 Jun 2017,21.0,354.0,5,saas,15,24426689.0,N/A,N/A,0.28,N/A,4,277,N/A,N/A,1.484,1518,0.39,0.09,1.42,1.42,0.026,0.393,0.017,0.01
bitcoin-gold,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,0.0,7652060,0.08,0.08,1.24,1.24,-0.095,-0.107,-0.0,-0.006
decred,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,N/A,0.0,127149,0.27,0.13,2.11,2.11,-0.153,-0.179,0.01,0.007
