coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,171.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12052,2,22523,N/A,N/A,1.17,995797,-0.17,0.17,2.64,2.6,-0.137,-2.248,0.012,0.012
iexec-rlc,17 Apr 2017,10 May 2017,23.0,391.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,32,N/A,N/A,N/A,0.593,151637,0.29,0.17,2.63,2.57,-0.111,-1.911,0.011,0.012
ambrosus,22 Sep 2017,22 Oct 2017,30.0,226.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4222,6,16866,N/A,N/A,-0.45,35697,0.1,0.12,1.92,1.88,0.212,0.884,0.011,0.011
crypto20,16 Oct 2017,30 Nov 2017,45.0,187.0,1,fintech,6,37698373.0,75000000.0,0.5,1.1,N/A,6,9575,N/A,N/A,2.373,5672340,-0.21,-0.19,-3.06,-3.15,-0.093,-0.866,-0.006,-0.006
decentbet,21 Sep 2017,19 Oct 2017,28.0,229.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,34,N/A,N/A,N/A,0.815,26234,-0.02,0.15,2.36,2.39,-0.385,-3.837,0.012,0.005
bloom,30 Nov 2017,1 Jan 2018,32.0,155.0,1,saas,11,41420705.0,80500000.0,0.51,0.7,13588,4,440,N/A,N/A,1.714,101651,-0.32,-0.15,-2.35,-2.31,-0.127,-0.745,-0.005,-0.001
medicalchain,1 Feb 2018,1 Feb 2018,0.0,124.0,4,insurance services,10,23991953.0,24000000.0,1.0,0.2,26990,11,15703,N/A,N/A,0.588,122744,-0.12,-0.25,-4.03,-3.96,-0.068,0.383,-0.005,-0.005
cofound.it,31 May 2017,07 Jun 2017,7.0,370.0,5,fintech,9,14820030.0,12500000.0,1.0,0.12,1093,6,N/A,N/A,N/A,1.682,3663160,-0.2,0.04,0.66,0.67,0.005,-1.513,0.001,-0.001
matchpool,2 Apr 2017,4 Apr 2017,2.0,427.0,12,saas,7,5800000.0,N/A,N/A,0.1,2218,12,N/A,N/A,N/A,1.41,610,0.18,0.12,1.84,1.84,0.057,-0.364,0.024,0.003
agrello,16 Jul 2017,17 Aug 2017,32.0,292.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4818,2,14800,N/A,N/A,-0.284,82770,-0.06,-0.0,-0.03,-0.02,-0.057,-3.347,0.005,0.001
locktrip,29 Oct 2017,30 Nov 2017,32.0,187.0,5,other,20,4000000.0,N/A,N/A,0.55,N/A,6,N/A,N/A,N/A,0.62,169077,0.44,0.14,2.19,2.2,0.065,-2.064,0.01,0.003
friendz,1 Mar 2018,20 Mar 2018,19.0,77.0,6,fintech,18,13754758.0,50300000.0,0.27,0.067,69956,11,55233,N/A,N/A,-0.704,250482,0.16,1.26,2.53,2.54,-0.356,-2.217,0.005,0.007
wetrust,2 Mar 2017,14 Apr 2017,43.0,417.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,5,10,N/A,N/A,0.305,165713,0.24,0.2,3.11,3.03,-0.031,-0.652,0.008,-0.007
spectiv,8 Dec 2017,31 Dec 2017,23.0,156.0,1,entertainment,8,7605767.0,10600000.0,0.72,0.5,N/A,4,3278,N/A,N/A,-0.966,118105,0.05,0.08,1.3,1.15,-0.144,0.187,0.013,0.013
eboost,13 Sep 2016,25 Oct 2016,42.0,588.0,12,other,N/A,N/A,N/A,N/A,0.2,N/A,0,N/A,N/A,N/A,-0.126,300469,0.24,0.13,2.11,2.06,0.085,2.863,0.015,0.011
bitjob,12 Sep 2017,13 Oct 2017,31.0,235.0,12,saas,26,2726424.0,12000000.0,0.23,0.39,2181,4,6866,N/A,N/A,-0.733,67138,-0.15,0.14,2.26,2.22,-0.183,0.252,0.014,0.004
escroco,30 Oct 2017,28 Nov 2017,29.0,189.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,31,N/A,N/A,N/A,30.9,515908,0.18,0.03,0.49,0.44,-0.125,6.359,0.017,0.018
peerguess,28 Oct 2017,09 Dec 2017,42.0,178.0,12,saas,13,N/A,N/A,N/A,0.06,1064,0,2036,N/A,N/A,1.448,42120,-0.24,-0.06,-1.02,-1.08,-0.26,18.885,0.024,0.035
