coin,N_google_news
eos,2
iota,3
tron,1
neo,2
qtum,1
omisego,1
icon,1
zilliqa,2
aeternity,1
0x,4
bytom,1
verge,N/A
augur,1
golem,1
wanchain,1
populous,1
status,3
aion,0
nebulas,1
digixdao,1
loopring,1
komodo,1
ark,1
bancor,10
cryptonex,0
elastos,2
cybermiles,5
dentacoin,6
veritaseum,1
fusion,4
kin,1
theta-token,N/A
dropil,1
substratum,2
electroneum,1
bnktothefuture,4
decentraland,1
power-ledger,3
storm,1
dragonchain,8
deepbrain-chain,N/A
holo,4
iexec-rlc,N/A
gifto,4
storj,1
monaco,4
salt,N/A
neblio,1
civic,6
singularitynet,2
tenx,3
iconomi,2
nexo,1
revain,1
time-new-bank,0
quantstamp,1
dent,1
lympo,3
request-network,1
enjin-coin,1
aragon,1
storiqa,1
bottos,1
arcblock,5
gnosis,2
cindicator,5
bluzelle,4
ignis,2
thekey,2
crypterium,10
smartmesh,1
metal,0
poa-network,1
particl,1
credits,6
pillar,1
docademic,1
crypto20,1
boscoin,5
sonm,9
sophiatx,2
tokenomy,1
blockv,1
ambrosus,5
genesis-vision,8
cube,0
tokenpay,1
eximchain,N/A
origintrail,5
bread,2
jibrel-network,5
odem,1
apex,1
ethlend,4
telcoin,2
apis,0
wagerr,1
red-pulse,2
edgeless,1
eidoo,3
adex,2
paypie,1
tokencard,1
zebi,2
babb,2
airswap,3
havven,8
bitrent,1
legolas-exchange,2
minexcoin,N/A
wings,1
medibloc,2
loyalcoin,N/A
singulardtv,1
district0x,1
atn,N/A
datx,1
presearch,2
wepower,4
appcoins,3
zeepin,1
utrust,9
ins-ecosystem,N/A
universa,8
crowd-machine,N/A
mobilego,2
naga,10
wabi,2
tierion,1
odyssey,1
modum,1
taas,4
cashaa,1
decent,7
melon,1
decentbet,1
yoyow,1
datawallet,1
etherparty,6
lunyr,1
qlink,1
karma,1
banca,1
envion,5
cobinhood,7
viberate,7
datum,4
humaniq,10
propy,3
mothership,1
hive-project,N/A
polybius,5
firstblood,1
maecenas,2
bankex,4
medicalchain,3
coss,2
