coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos,11 Jun 2017,26 Jun 2017,15,332,1,blockchain,4,185000000,N/A,N/A,0.99,52919,2,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.087,1.668,0.014,0.016
tron,07 Sep 2017,08 Sep 2017,1,258,3,blockchain,1,70000000,70000000,1,0,65122,1,N/A,1,48512,0.15,0.09,1.5,1.46,-0.069,2.534,0.028,0.026
iota,24 Nov 2017,20 Dec 2017,26,155,12,saas,N/A,N/A,N/A,N/A,N/A,2,3,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100,-100
neo,8 Aug 2017,7 Sep 2017,30,259,3,blockchain,16,28056944,N/A,N/A,0.03,4,2,318910,17.62,1349,0.12,0.08,1.33,1.3,0.043,-0.648,0.017,0.006
qtum,12 Mar 2017,17 Mar 2017,5,433,7,blockchain,18,15000000,N/A,1,0.3,14112,1,162919,19.63,11221600,0.23,0.06,0.98,0.93,0.075,0.795,0.008,0.005
omisego,23 Jun 2017,23 Jul 2017,30,305,7,fintech,5,25000000,25000000,1,0.23,N/A,1,274037,1.53,750698,0.37,0.31,4.86,4.82,-0.055,-0.874,0.016,0.004
icon,22 Sep 2017,22 Sep 2017,0,244,8,transportation,41,42750000,42800000,1,0.11,20995,1,101265,3.52,71509,0.34,0.32,5.1,5.05,-0.079,-1.554,0.018,0.018
zilliqa,27 Dec 2017,04 Jan 2018,8,140,12,blockchain,N/A,22000000,22000000,1,0,29876,2,N/A,-1,0,-100,-100,-100,-100,-100,-100,-100,-100
aeternity,29 May 2017,19 Jun 2017,21,339,5,saas,15,24426689,N/A,N/A,0.3,N/A,1,277,1.32,1518,0.39,0.09,1.42,1.41,0.033,1.124,0.017,0.009
0x,15 Aug 2017,15 Sep 2017,31,251,1,saas,6,24000000,24000000,1,0.07,N/A,4,43161,2.21,5232600,0.23,0.12,1.97,1.95,-0.253,-0.41,0.016,0.012
bytom,20 Jun 2017,20 Jul 2017,30,308,3,saas,5,2286000,N/A,N/A,N/A,N/A,1,12200,-1,0,-100,-100,-100,-100,-100,-100,-100,-100
populous,24 Jul 2017,24 Jul 2017,0,304,4,fintech,5,10220400,991001144,0.01,0.25,N/A,1,22744,12.32,2704070,0.2,0.11,1.69,1.68,-0.051,1.522,0.013,0
