coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N/A,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc
eos,11 Jun 2017,26 Jun 2017,15.0,346.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,58166,2,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.074,1.322,0.015
iota,24 Nov 2017,20 Dec 2017,26.0,169.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,3,N/A,0.0,25425600,-0.2,0.12,1.83,1.76,0.067,-0.192,0.007
tron,07 Sep 2017,08 Sep 2017,1.0,272.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0019,99605,1,N/A,0.046,48512,0.15,0.09,1.5,1.46,-0.073,2.201,0.026
neo,8 Aug 2017,7 Sep 2017,30.0,273.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,2,319275,17.616,1349,0.12,0.08,1.33,1.3,0.04,-0.665,0.017
qtum,12 Mar 2017,17 Mar 2017,5.0,447.0,7,blockchain,18,15000000.0,15000000.0,1.0,0.3,14062,1,164923,19.633,11221600,0.23,0.06,0.98,0.98,0.071,-0.643,0.008
omisego,23 Jun 2017,23 Jul 2017,30.0,319.0,7,fintech,5,25000000.0,25000000.0,1.0,0.23,N/A,1,277200,1.533,750698,0.37,0.31,4.86,4.86,-0.06,-1.286,0.015
icon,22 Sep 2017,22 Sep 2017,0.0,258.0,8,transportation,41,42750000.0,42750000.0,1.0,0.11,21045,1,103674,3.519,71509,0.34,0.32,5.1,5.1,-0.088,-0.286,0.017
zilliqa,27 Dec 2017,04 Jan 2018,8.0,154.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0038,30306,2,N/A,34.8,4921770,-0.37,-0.14,-2.21,-2.21,-0.356,-0.5,0.003
aeternity,29 May 2017,19 Jun 2017,21.0,353.0,5,saas,15,24426689.0,N/A,N/A,0.28,N/A,1,277,1.484,1518,0.39,0.09,1.42,1.42,0.026,0.393,0.017
0x,15 Aug 2017,15 Sep 2017,31.0,265.0,1,saas,6,24000000.0,24000000.0,1.0,0.07,N/A,4,44578,2.206,5232600,0.23,0.12,1.97,1.97,-0.255,-1.107,0.016
