icon,22 Sep 2017,22 Sep 2017,0.0,258.0,8,transportation,41,42750000.0,42750000.0,1.0,0.11,21045,1,103674,0.5,3.519,71509,0.34,0.32,5.1,5.1,-0.088,-0.286,0.017
wanchain,01 Oct 2017,01 Nov 2017,31.0,218.0,3,other,42,35990000.0,35990000.0,1.0,0.34,47109,1,103907,0.54,11.382,189439000,0.18,0.06,0.96,1.14,-0.573,-5.681,0.004
nebulas,8 Dec 2017,16 Dec 2017,8.0,173.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12032,1,22920,0.76,1.17,995797,-0.17,0.17,2.64,2.6,-0.138,-2.247,0.011
elastos,01 Jan 2018,22 Jan 2018,21.0,136.0,3,other,58,94073200.0,94073200.0,1.0,18.09,17230,2,22460,0.62,1.259,33745700,0.19,-0.02,-0.34,-0.19,-0.443,1.766,0.004
cybermiles,21 Nov 2017,21 Dec 2017,30.0,168.0,1,saas,9,30881582.0,30881582.0,1.0,0.1,68872,5,241281,0.62,0.806,12580000,-0.09,0.01,0.22,0.31,-0.015,-4.34,0.006
dentacoin,1 Oct 2017,1 Nov 2017,31.0,218.0,5,insurance services,19,1923507.0,27478671.0,0.07,0.0,1459,6,110,0.6,0.0,228296,0.04,0.06,0.94,1.01,-0.19,-0.617,0.024
fusion,1 Feb 2018,10 Feb 2018,9.0,117.0,7,fintech,20,42185216.0,42185216.0,1.0,2.06,10899,4,7835,0.4,0.592,1440790,-0.04,0.12,1.87,2.03,-0.207,-4.362,0.011
substratum,14 Aug 2017,14 Sep 2017,31.0,266.0,1,blockchain,6,13800000.0,44516129.0,0.31,0.07,12630,2,1158,0.4,-0.333,41819,0.29,0.28,4.47,4.57,-0.246,-5.128,0.017
electroneum,14 Sep 2017,20 Oct 2017,36.0,230.0,4,blockchain,15,39934610.0,39934610.0,1.0,0.01,49514,1,124347,0.44,6.736,2464330,-0.13,0.08,1.26,1.34,0.092,-1.638,0.002
gifto,14 Dec 2017,14 Dec 2017,0.0,175.0,3,entertainment,13,10000000.0,10000000.0,1.0,0.1,55527,4,16702,0.48,2.489,44959800,0.32,0.12,1.93,2.01,-0.073,-2.745,0.007
monaco,18 May 2017,18 Jun 2017,31.0,354.0,6,fintech,4,26700000.0,267000000.0,0.1,2.88,7410,4,64713,0.78,-0.142,1549870,-0.1,0.2,3.1,3.15,0.047,-1.681,0.014
request-network,13 Oct 2017,17 Oct 2017,4.0,233.0,5,fintech,7,33600000.0,33600000.0,1.0,0.06,13863,1,766,0.36,0.013,5914220,0.13,0.27,4.23,4.35,-0.19,-2.936,0.01
arcblock,3 Feb 2018,3 Feb 2018,0.0,124.0,1,blockchain,4,45000000.0,45000000.0,1.0,0.5,38181,5,33320,0.72,1.54,94865600,-0.38,0.07,1.09,1.29,-0.076,-1.447,0.0
cindicator,12 Sep 2017,12 Oct 2017,30.0,238.0,2,blockchain,12,15000000.0,15000000.0,1.0,0.01,7928,5,38945,0.68,1.258,971989,-0.44,0.06,0.89,1.02,-0.143,-2.319,0.014
revain,21 Aug 2017,4 Sep 2017,14.0,276.0,2,saas,11,12513346.0,12513346.0,1.0,0.05,2356,1,6414,0.46,0.558,107140,0.26,0.38,6.0,6.12,0.089,0.234,0.014
bluzelle,18 Jan 2018,2 Feb 2018,15.0,125.0,7,saas,10,19500000.0,19500000.0,1.0,0.12,23139,4,32661,0.96,4.648,41214300,0.11,-0.0,-0.02,0.12,-0.643,-5.106,0.005
thekey,15 Jan 2018,15 Jan 2018,0.0,143.0,3,other,15,22000000.0,22000000.0,1.0,0.0352,74065,2,29578,0.7,-0.186,9008350,0.0,-0.07,-1.09,-0.91,-0.282,-2.745,-0.0
storiqa,28 Nov 2017,29 Jan 2018,62.0,129.0,3,saas,11,25000000.0,25000000.0,1.0,0.0,34966,1,12677,0.2,0.0,271889,-0.09,0.11,1.8,1.96,-0.029,15.17,0.02
sophiatx,7 Dec 2017,17 Dec 2017,10.0,172.0,6,saas,21,23470356.0,80932262.0,0.29,0.46,5476,2,15676,0.72,-0.01,2148170,0.35,0.08,1.19,1.3,-0.123,-1.064,0.004
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,204.0,2,fintech,10,2836732.0,23639433.0,0.12,1.0,8082,8,19138,0.5,1.68,683667,0.39,0.27,4.32,4.32,-0.042,-6.5,0.019
credits,15 Feb 2018,28 Feb 2018,13.0,99.0,7,saas,9,22570394.0,22570394.0,1.0,0.17,27428,6,18914,0.88,1.4,3014620,0.28,0.17,2.64,2.64,0.029,-4.0,0.011
blockv,19 Oct 2017,25 Oct 2017,6.0,225.0,1,saas,18,21599100.0,39998333.0,0.54,0.42,3731,1,6433,0.6,-0.948,492028,0.34,0.23,3.6,3.6,-0.021,-7.0,0.01
crypterium,31 Oct 2017,14 Jan 2018,75.0,144.0,5,fintech,15,51656963.0,51656963.0,1.0,1.5,33935,10,16339,0.82,0.54,183715,-0.38,-0.05,-0.75,-0.75,-0.298,-11.0,-0.003
ambrosus,22 Sep 2017,22 Oct 2017,30.0,228.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4226,5,17117,0.82,-0.45,35697,0.1,0.12,1.92,1.88,0.213,0.883,0.011
origintrail,15 Jan 2018,17 Jan 2018,2.0,141.0,5,saas,11,21513600.0,21513600.0,1.0,0.1,10070,5,550,0.42,1.364,3901170,0.19,0.06,0.93,0.93,-0.189,-3.5,0.009
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,157.0,6,blockchain,9,30000000.0,30000000.0,1.0,0.25,2166,5,6419,0.68,0.689,10089800,0.06,-0.1,-1.64,-1.64,-0.509,-4.5,0.002
bread,16 Dec 2017,24 Dec 2017,8.0,165.0,6,blockchain,6,20021300.0,20021300.0,1.0,0.78,46071,2,53848,0.6,1.423,56455400,0.23,-0.03,-0.47,-0.47,-0.066,-5.5,-0.002
ethlend,25 Nov 2017,30 Nov 2017,5.0,189.0,5,blockchain,25,17860000.0,17860000.0,1.0,0.02,18980,4,46030,0.5,-0.069,728686,0.43,0.26,4.09,4.09,-0.299,-7.5,0.015
telcoin,11 Dec 2017,30 Dec 2017,19.0,159.0,8,blockchain,19,25000000.0,25000000.0,1.0,0.001,20965,2,25124,0.4,5.031,842193,0.04,-0.05,-0.81,-0.81,-0.291,-8.0,-0.002
babb,6 Feb 2018,6 Mar 2018,28.0,93.0,4,fintech,13,20000000.0,20000000.0,1.0,0.0,14280,2,10376,0.66,0.0,286765,-0.01,0.23,3.64,3.64,-0.377,-3.5,0.023
medibloc,27 Nov 2017,15 Dec 2017,18.0,174.0,7,saas,17,21271251.0,29959508.0,0.71,0.02,5610,2,10817,0.6,-0.006,645796,0.53,0.13,1.99,1.99,-0.389,-5.5,0.007
zebi,05 Mar 2018,31 Mar 2018,26.0,68.0,7,fintech,17,8561100.0,8561100.0,1.0,0.0333,15147,2,16436,0.46,2.483,5412550,0.14,1.11,2.22,2.22,-0.499,-7.5,-0.005
wepower,1 Feb 2018,2 Feb 2018,1.0,125.0,7,saas,20,40000000.0,40000000.0,1.0,0.13,51434,4,35807,0.84,0.35,782690,-0.0,-0.04,-0.7,-0.7,-0.042,-1.0,-0.005
odyssey,21 Jan 2018,22 Jan 2018,1.0,136.0,7,blockchain,21,50000000.0,50000000.0,1.0,0.0119,47909,1,859,0.54,1.093,12284200,0.09,0.01,0.2,0.2,-0.169,-17.0,0.007
wabi,28 Nov 2017,1 Dec 2017,3.0,188.0,2,ecommerce,10,11500000.0,11500000.0,1.0,0.25,8384,2,34849,0.42,4.56,26744800,0.21,0.1,1.56,1.56,-0.183,-8.0,0.004
utrust,2 Nov 2017,20 Nov 2017,18.0,199.0,6,saas,26,21000000.0,21000000.0,1.0,0.07,13068,9,28206,0.92,1.993,3956620,0.34,0.08,1.25,1.25,-0.547,-5.5,0.001
havven,28 Feb 2018,7 Mar 2018,7.0,92.0,9,blockchain,27,30000000.0,30000000.0,1.0,0.5,64841,8,10846,0.26,-0.039,1203240,-0.09,0.12,1.92,1.92,-0.123,-9.0,0.007
