coin,start1,end1,duration1,age1,start3,end3,duration3,age3,start4,end4,duration4,age4,start5,end5,duration5,age5,country1,country2,country3,country5,industry1,industry2,industry4,team1,team2,team3,team4,team5,raised1,raised2,raised4,raised5,hardcap1,hardcap2,hardcap4,hardcap5,success1,success2,success4,price1,price2,price4,price5,telegram1,telegram2,telegram4,N_google_news,N_twitter,hype4,risk4,ret_day1,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,169.0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,usa,international,N/A,usa,platform,blockchain service,blockchaininfrastructure,19,14,N/A,17,14,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,60000000.0,N/A,N/A,1.0,1.0,N/A,2.0,2.0,N/A,2.0,12064,12064,12064,2,22491,N/A,N/A,4.34,995797,-0.17,0.17,2.64,2.6,-0.136,-2.25,0.012,0.013
ambrosus,22 Sep 2017,22 Oct 2017,30.0,224.0,N/A,N/A,N/A,N/A,17 Sep 2017,20 Oct 2017,33.0,226.0,22Sept2017,22Oct2017,N/A,N/A,switzerland,switzerland,N/A,switzerland,health,blockchain service,drugs&healthcare,20,10,N/A,19,20,30000000.0,32507330.0,36600000.0,30000000.0,28999999.999999996,97800000.0,N/A,22300000.0,1.03,0.33,N/A,0.29,0.3,0.3,0.223,4225,N/A,4225,6,16838,N/A,N/A,0.16,35697,0.1,0.12,1.92,1.88,0.213,0.88,0.011,0.011
crypto20,16 Oct 2017,30 Nov 2017,45.0,185.0,16 Oct 2017,30 Nov 2017,45.0,185.0,14 Oct 2017,28 Nov 2017,45.0,187.0,16 Oct 2017,30 Nov 2017,45.0,185.0,usa,N/A,caymanislands,usa,investment,cryptofund,investment,21,N/A,7,19,6,38000000.0,37698373.0,37698000.0,38000000.0,94827585.60000001,75000000.0,N/A,8620689620.0,0.4,0.5,N/A,1.1,1.0,N/A,1.0,N/A,N/A,N/A,6,9568,N/A,N/A,3.71,5672340,-0.21,-0.19,-3.06,-3.15,-0.092,-0.865,-0.006,-0.006
decentbet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21 Sep 2017,19 Oct 2017,28.0,227.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gambling&betting,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.18,26234,-0.02,0.15,2.36,2.39,-0.386,-3.839,0.012,0.005
bloom,30 Nov 2017,1 Jan 2018,32.0,153.0,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,30 Nov 2017,30 Dec 2017,30.0,155.0,usa,us,N/A,usa,platform,finance,N/A,11,12,N/A,8,5,40000000.0,41420705.0,43767000.0,N/A,50000000.0,80500000.0,N/A,N/A,0.8,0.51,N/A,0.7,1.16,N/A,1.16,13642,13642,N/A,4,436,N/A,N/A,1.9,101651,-0.32,-0.15,-2.35,-2.31,-0.127,-0.745,-0.005,-0.001
medicalchain,1 Feb 2018,1 Feb 2018,0.0,122.0,N/A,N/A,N/A,N/A,31 Jan 2018,28 Feb 2018,28.0,95.0,01 Feb 2018,01 Feb 2018,0.0,122.0,uk,N/A,unitedkingdom,uk,health,healthcare,drugs&healthcare,16,N/A,0,15,10,24000000.0,23991953.0,24000000.0,24000000.0,N/A,24000000.0,N/A,N/A,N/A,1.0,N/A,0.2,0.25,0.25,0.2,27094,27094,27094,11,15700,N/A,N/A,0.32,122744,-0.12,-0.25,-4.03,-3.96,-0.063,0.385,-0.004,-0.004
cofound.it,N/A,N/A,N/A,N/A,07 Jun 2017,31 May 2017,-7.0,368.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sweden,N/A,N/A,crowdfunding,N/A,N/A,N/A,9,N/A,N/A,N/A,14820030.0,N/A,N/A,N/A,12500000.0,N/A,N/A,N/A,1.19,N/A,N/A,0.12,N/A,N/A,N/A,1091,N/A,6,N/A,N/A,N/A,0.32,3663160,-0.2,0.04,0.66,0.67,0.005,-1.512,0.001,-0.0
matchpool,2 Apr 2017,4 Apr 2017,2.0,425.0,02 Apr 2017,04 Apr 2017,2.0,425.0,31 Mar 2017,02 Apr 2017,2.0,427.0,02 Apr 2017,04 Apr 2017,2.0,425.0,israel,N/A,(datamissing),israel,platform,N/A,socialmedia&communication,7,N/A,13,6,7,5800000.0,N/A,5800000.0,5800000.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1,N/A,0.008,0.095,2228,N/A,N/A,14,N/A,N/A,N/A,0.24,610,0.18,0.12,1.84,1.84,0.057,-0.364,0.024,0.004
agrello,16 Jul 2017,17 Aug 2017,32.0,290.0,N/A,N/A,N/A,N/A,14 Jul 2017,14 Aug 2017,31.0,293.0,16July2017,17Aug2017,N/A,N/A,estonia,estonia,N/A,estonia,platform,smart contract,blockchaininfrastructure,13,7,N/A,11,7,35000000.0,30100000.0,35000000.0,35000000.0,5600.000000000001,43200000.0,N/A,N/A,6250.0,0.7,N/A,0.56,0.43,2.86,0.43,N/A,4825,4825,2,14799,N/A,N/A,0.4,82770,-0.06,-0.0,-0.03,-0.02,-0.056,-3.345,0.006,0.002
locktrip,N/A,N/A,N/A,N/A,29 Oct 2017,30 Nov 2017,32.0,185.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,bulgaria,bulgaria,N/A,N/A,N/A,N/A,N/A,16,N/A,20,N/A,N/A,N/A,4000000.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.55,N/A,N/A,N/A,6,N/A,N/A,N/A,0.89,169077,0.44,0.14,2.19,2.2,0.066,-2.064,0.01,0.003
