coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,174.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12023,0,22937,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iexec-rlc,17 Apr 2017,10 May 2017,23.0,394.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ambrosus,22 Sep 2017,22 Oct 2017,30.0,229.0,6,insurance services,20,32507330.0,98507061.0,0.33,0.29,4235,0,17166,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
crypto20,16 Oct 2017,30 Nov 2017,45.0,190.0,1,fintech,6,37698373.0,75396746.0,0.5,1.1,N/A,0,9643,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
decentbet,21 Sep 2017,19 Oct 2017,28.0,232.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
medicalchain,1 Feb 2018,1 Feb 2018,0.0,127.0,4,insurance services,10,23991953.0,23991953.0,1.0,0.2,26926,0,15885,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bloom,30 Nov 2017,1 Jan 2018,32.0,158.0,1,saas,11,41420705.0,81217069.0,0.51,0.7,13521,0,444,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cofound.it,31 May 2017,07 Jun 2017,7.0,373.0,5,fintech,9,14820030.0,14820030.0,1.0,0.12,1094,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
matchpool,2 Apr 2017,4 Apr 2017,2.0,430.0,12,saas,7,5800000.0,N/A,N/A,0.1,2213,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
agrello,16 Jul 2017,17 Aug 2017,32.0,295.0,5,saas,13,30100000.0,43000000.0,0.7,0.56,4815,0,14959,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
hubii-network,17 Aug 2017,31 Aug 2017,14.0,281.0,7,telecommunications,15,7130256.0,50930400.0,0.14,0.39,1262,0,4636,N/A,N/A,-0.493,23209,0.18,0.13,2.06,2.03,0.186,-0.45,0.03,0.031
wetrust,2 Mar 2017,14 Apr 2017,43.0,420.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,0,10,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
spectiv,8 Dec 2017,31 Dec 2017,23.0,159.0,1,entertainment,8,7605767.0,10563565.0,0.72,0.5,N/A,0,3334,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eroscoin,11 Oct 2017,15 Nov 2017,35.0,205.0,12,other,7,N/A,N/A,N/A,0.05,N/A,0,N/A,N/A,N/A,1.938,8548340,0.08,-0.07,-1.15,-1.22,0.01,-1.757,-0.003,-0.002
eboost,13 Sep 2016,25 Oct 2016,42.0,591.0,12,other,N/A,N/A,N/A,N/A,0.2,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bitjob,12 Sep 2017,13 Oct 2017,31.0,238.0,12,saas,26,2726424.0,11854017.0,0.23,0.39,2190,0,6904,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
peerguess,28 Oct 2017,09 Dec 2017,42.0,181.0,12,saas,13,N/A,N/A,N/A,N/A,1063,0,2054,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
escroco,30 Oct 2017,28 Nov 2017,29.0,192.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
nebulas,8 Dec 2017,16 Dec 2017,8.0,174.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12023,0,22937,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iexec-rlc,17 Apr 2017,10 May 2017,23.0,394.0,12,other,8,12000000.0,N/A,N/A,0.178,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ambrosus,22 Sep 2017,22 Oct 2017,30.0,229.0,6,insurance services,20,32507330.0,98507061.0,0.33,0.29,4235,0,17166,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
crypto20,16 Oct 2017,30 Nov 2017,45.0,190.0,1,fintech,6,37698373.0,75396746.0,0.5,1.1,N/A,0,9643,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
decentbet,21 Sep 2017,19 Oct 2017,28.0,232.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
medicalchain,1 Feb 2018,1 Feb 2018,0.0,127.0,4,insurance services,10,23991953.0,23991953.0,1.0,0.2,26926,0,15885,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cofound.it,31 May 2017,07 Jun 2017,7.0,373.0,5,fintech,9,14820030.0,14820030.0,1.0,0.12,1094,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bloom,30 Nov 2017,1 Jan 2018,32.0,158.0,1,saas,11,41420705.0,81217069.0,0.51,0.7,13521,0,444,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
