coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nebulas,8 Dec 2017,16 Dec 2017,8.0,169.0,1,saas,19,60000000.0,60000000.0,1.0,2.0,12064,2,22491,N/A,N/A,1.17,995797,-0.17,0.17,2.64,2.6,-0.136,-2.25,0.012,0.013
ambrosus,22 Sep 2017,22 Oct 2017,30.0,224.0,6,insurance services,20,32507330.0,97800000.0,0.33,0.29,4225,6,16838,N/A,N/A,-0.45,35697,0.1,0.12,1.92,1.88,0.213,0.88,0.011,0.011
crypto20,16 Oct 2017,30 Nov 2017,45.0,185.0,1,fintech,6,37698373.0,75000000.0,0.5,1.1,N/A,6,9568,N/A,N/A,2.373,5672340,-0.21,-0.19,-3.06,-3.15,-0.092,-0.865,-0.006,-0.006
decentbet,21 Sep 2017,19 Oct 2017,28.0,227.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,0.815,26234,-0.02,0.15,2.36,2.39,-0.386,-3.839,0.012,0.005
bloom,30 Nov 2017,1 Jan 2018,32.0,153.0,1,saas,11,41420705.0,80500000.0,0.51,0.7,13642,4,436,N/A,N/A,1.714,101651,-0.32,-0.15,-2.35,-2.31,-0.127,-0.745,-0.005,-0.001
medicalchain,1 Feb 2018,1 Feb 2018,0.0,122.0,4,insurance services,10,23991953.0,24000000.0,1.0,0.2,27094,11,15700,N/A,N/A,0.588,122744,-0.12,-0.25,-4.03,-3.96,-0.063,0.385,-0.004,-0.004
cofound.it,31 May 2017,07 Jun 2017,7.0,368.0,5,fintech,9,14820030.0,12500000.0,1.0,0.12,1091,6,N/A,N/A,N/A,1.682,3663160,-0.2,0.04,0.66,0.67,0.005,-1.512,0.001,-0.0
matchpool,2 Apr 2017,4 Apr 2017,2.0,425.0,12,saas,7,5800000.0,N/A,N/A,0.1,2228,14,N/A,N/A,N/A,1.41,610,0.18,0.12,1.84,1.84,0.057,-0.364,0.024,0.004
agrello,16 Jul 2017,17 Aug 2017,32.0,290.0,5,saas,13,30100000.0,43200000.0,0.7,0.56,4825,2,14799,N/A,N/A,-0.284,82770,-0.06,-0.0,-0.03,-0.02,-0.056,-3.345,0.006,0.002
locktrip,29 Oct 2017,30 Nov 2017,32.0,185.0,5,other,20,4000000.0,N/A,N/A,0.55,N/A,6,N/A,N/A,N/A,0.62,169077,0.44,0.14,2.19,2.2,0.066,-2.064,0.01,0.003
friendz,1 Mar 2018,20 Mar 2018,19.0,75.0,6,fintech,18,13754758.0,50300000.0,0.27,0.067,70295,12,55301,N/A,N/A,-0.704,250482,0.16,1.26,2.53,2.54,-0.355,-2.23,0.005,0.007
wetrust,2 Mar 2017,14 Apr 2017,43.0,415.0,1,saas,9,4978366.0,N/A,N/A,0.06,N/A,5,10,N/A,N/A,0.305,165713,0.24,0.2,3.11,3.03,-0.031,-0.621,0.008,-0.008
spectiv,8 Dec 2017,31 Dec 2017,23.0,154.0,1,entertainment,8,7605767.0,10600000.0,0.72,0.5,N/A,4,3271,N/A,N/A,-0.966,118105,0.05,0.08,1.3,1.15,-0.168,0.316,0.009,0.009
eboost,13 Sep 2016,25 Oct 2016,42.0,586.0,12,other,N/A,N/A,N/A,N/A,0.2,N/A,0,N/A,N/A,N/A,-0.126,300469,0.24,0.13,2.11,2.06,0.086,2.776,0.015,0.013
bitjob,12 Sep 2017,13 Oct 2017,31.0,233.0,12,saas,26,2726424.0,12000000.0,0.23,0.39,2185,4,6864,N/A,N/A,-0.733,67138,-0.15,0.14,2.26,2.22,-0.182,0.224,0.014,0.005
escroco,30 Oct 2017,28 Nov 2017,29.0,187.0,12,fintech,N/A,N/A,N/A,N/A,0.1,N/A,0,N/A,N/A,N/A,30.9,515908,0.18,0.03,0.49,0.44,-0.122,6.31,0.018,0.019
peerguess,28 Oct 2017,09 Dec 2017,42.0,176.0,12,saas,13,N/A,N/A,N/A,0.06,1072,0,2035,N/A,N/A,1.448,42120,-0.24,-0.06,-1.02,-1.08,-0.261,18.879,0.023,0.035
