coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
bitcoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,22,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ethereum,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,3,0,N/A,N/A,N/A,0.0,164329,-0.01,-0.06,-0.95,-1.0,0.005,-0.203,0.008,0.005
ripple,N/A,N/A,N/A,N/A,1,other,7,N/A,N/A,N/A,N/A,4,0,N/A,N/A,N/A,0.0,0.0,0.06,0.11,1.73,1.67,-0.096,-0.138,0.006,0.009
bitcoin-cash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,85013,-0.06,0.04,0.71,0.65,-0.139,-1.243,0.008,0.009
eos,11 Jun 2017,26 Jun 2017,15.0,346.0,1,blockchain,4,185000000.0,N/A,N/A,0.99,58166,0,N/A,0.7,N/A,0.02,13613000,0.19,0.09,1.35,1.32,0.074,1.322,0.015,0.016
litecoin,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,2,0,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
stellar,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,23,0,N/A,N/A,N/A,0.0,30316,-0.04,0.02,0.33,0.24,-0.085,-0.957,0.008,0.02
cardano,N/A,N/A,N/A,N/A,6,other,2,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,50068700,0.17,0.21,3.37,3.32,0.181,0.324,0.017,0.017
iota,24 Nov 2017,20 Dec 2017,26.0,169.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,0,N/A,0.32,N/A,0.0,25425600,-0.2,0.12,1.83,1.76,0.067,-0.192,0.007,0.009
tron,07 Sep 2017,08 Sep 2017,1.0,272.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0019,99605,0,N/A,0.62,N/A,0.046,48512,0.15,0.09,1.5,1.46,-0.073,2.201,0.026,0.024
neo,8 Aug 2017,7 Sep 2017,30.0,273.0,3,blockchain,16,28056944.0,N/A,N/A,0.03,4,0,319275,0.76,N/A,17.616,1349,0.12,0.08,1.33,1.3,0.04,-0.665,0.017,0.006
monero,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,246540,0.01,0.1,1.54,1.49,0.001,-0.81,0.006,0.005
dash,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,15422,0.28,0.14,2.23,2.21,-0.22,-0.835,0.009,0.003
tether,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,6,0.04,0.02,0.37,0.29,0.004,-0.079,0.0,0.0
nem,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,24,0,N/A,N/A,N/A,0.0,65525,-0.26,-0.08,-1.29,-1.38,0.123,1.18,0.01,0.006
vechain,N/A,N/A,N/A,N/A,12,other,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,0.0,7478420,-0.34,0.09,1.49,1.44,0.062,-0.349,0.018,0.02
