coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
electroneum, 14 Sep 2017, 20 Oct 2017,36.0,360.0,4, other,12,39934610.0,39934610.0,1.0,0.01,13256,0,129976, Medium, Low,0.84,6.7363,2464330,-0.137,0.079,1.255,1.231,0.065,-0.483,0.003,0.003
holo, 29 Mar 2018, 28 Apr 2018,30.0,170.0,7, saas,10,19389382.0,19389382.0,1.0,0.0001,11022,2,11502, High, N/A,0.56,6.68,5764530,0.254,-0.036,-0.573,-0.617,-0.083,-0.423,0.007,0.007
cybermiles, 21 Nov 2017, 21 Dec 2017,30.0,298.0,1, blockchain,9,30881582.0,30881582.0,1.0,0.103,49597,4,297983, VeryHigh, Medium,0.76,0.75348,12580000,-0.099,0.014,0.228,0.201,-0.033,-0.096,0.002,0.002
loopring, 1 Aug 2017, 16 Aug 2017,15.0,425.0,3, fintech,3,45000000.0,45000000.0,1.0,0.06,5005,0,28960, Stable+, High,0.58,0.74683,200829,-0.054,0.123,1.952,1.925,0.176,3.1,0.006,0.003
nebulas, 8 Dec 2017, 16 Dec 2017,8.0,303.0,1, blockchain,14,60000000.0,60000000.0,1.0,2.0,11201,1,24262, VeryHigh, VeryLow,0.94,1.17,995797,-0.168,0.167,2.648,2.625,0.05,1.462,0.004,0.003
funfair, 22 Jun 2017, 23 Jun 2017,1.0,479.0,4, gaming,21,20000000.0,20000000.0,1.0,0.007,3511,1,37044, High, N/A,0.78,0.99643,8783,0.169,0.128,2.027,2.017,-0.007,1.478,0.011,0.001
dropil, 7 Feb 2018, 7 Mar 2018,28.0,222.0,10, other,8,60000000.0,60000000.0,1.0,0.0029,836,4,7976, N/A, N/A,0.86,1.16966,78904,-0.043,0.063,0.994,0.945,-0.084,-0.302,-0.0,0.0
quarkchain, 2 Jun 2018, 3 Jun 2018,1.0,134.0,1, blockchain,9,20000000.0,20000000.0,1.0,0.0187,67102,1,27501, Medium, High,0.96,14.87668,19042300,-0.264,-0.172,-2.736,-2.781,0.616,5.927,-0.004,-0.003
nexo, 1 Apr 2018, 1 Apr 2018,0.0,197.0,6, fintech,14,52500000.0,52500000.0,1.0,0.1,51453,5,38521, Medium, N/A,0.8,0.85004,3226150,0.044,-0.037,-0.591,-0.637,0.008,0.169,-0.0,-0.0
odyssey, 21 Jan 2018, 22 Jan 2018,1.0,266.0,7, blockchain,9,50000000.0,50000000.0,1.0,0.0119,33584,0,1004, Medium, N/A,0.62,1.09303,12284200,0.09,0.014,0.223,0.196,0.22,2.406,0.005,0.005
request-network, 13 Oct 2017, 17 Oct 2017,4.0,363.0,5, fintech,7,33600000.0,33600000.0,1.0,0.0632,11935,0,42489, High, Medium,0.92,-0.03824,5914220,0.117,0.262,4.163,4.126,0.066,1.456,0.004,0.004
enjin-coin, 3 Oct 2017, 31 Oct 2017,28.0,349.0,7, gaming,8,22959609.0,24956097.0,0.92,0.0304,5351,0,34913, N/A, N/A,0.84,-0.34102,742008,0.026,0.278,4.415,4.386,0.012,1.947,0.008,0.007
gifto, 14 Dec 2017, 14 Dec 2017,0.0,305.0,3, other,5,10000000.0,10000000.0,1.0,0.1,43974,1,17120, High, Medium,0.92,2.48851,44959800,0.325,0.124,1.967,1.942,0.222,2.354,0.002,0.001
bread, 16 Dec 2017, 24 Dec 2017,8.0,295.0,6, fintech,6,20021300.0,20021300.0,1.0,0.8055,36743,1,105, Low, Low,0.7,1.34637,56455400,0.228,-0.03,-0.48,-0.519,0.022,0.583,-0.002,-0.002
tokenomy, 15 Jan 2018, 5 Feb 2018,21.0,252.0,12, other,6,26000000.0,28571429.0,0.91,0.2037,4287,1,68, Medium, Medium,0.82,1.03262,2372070,-0.569,-0.13,-2.07,-2.164,-0.072,-1.245,-0.003,-0.003
thekey, 15 Jan 2018, 15 Jan 2018,0.0,273.0,3, saas,14,22000000.0,22000000.0,1.0,0.0426,56474,1,32229, Medium, N/A,0.82,-0.32772,9008350,0.0,-0.072,-1.148,-1.201,0.129,1.064,-0.004,-0.003
zipper, 30 Nov 2017, 4 Jan 2018,35.0,284.0,3, other,10,19220000.0,19220000.0,1.0,0.03,116,1,28, N/A, N/A,0.72,-0.92743,10072300,0.2,0.143,2.273,2.238,0.196,1.187,0.005,0.005
singularitynet, 19 Dec 2017, 19 Dec 2017,0.0,300.0,6, other,9,32847814.0,32847814.0,1.0,0.1,13688,2,18973, N/A, N/A,0.86,14.2,17465100,0.093,0.004,0.071,0.053,-0.209,-1.185,-0.002,-0.002
smartmesh, 29 Nov 2017, 28 Dec 2017,29.0,291.0,7, blockchain,6,15000000.0,16853933.0,0.89,0.017,1200,2,3681, Low, N/A,0.5,0.83541,1131310,0.39,0.148,2.343,2.321,0.158,1.884,0.005,0.005
crypterium, 31 Oct 2017, 14 Jan 2018,75.0,274.0,5, fintech,15,51656963.0,51656963.0,1.0,1.5,29289,0,17977, High, Medium,0.94,0.54,183715,-0.374,-0.045,-0.708,-0.743,0.118,0.67,-0.002,-0.002
storiqa, 28 Nov 2017, 29 Jan 2018,62.0,259.0,3, other,11,25000000.0,25000000.0,1.0,0.003,92804,0,15083, High, Low,0.64,-0.05967,271889,-0.097,0.108,1.718,1.672,-0.506,-4.183,0.002,0.002
fusion, 1 Feb 2018, 10 Feb 2018,9.0,247.0,7, blockchain,10,108394802.0,108394802.0,1.0,2.0775,2867,2,8859, Medium, Medium,0.8,0.57882,1440790,-0.034,0.126,1.994,1.945,0.198,1.675,-0.001,-0.001
utrust, 2 Nov 2017, 20 Nov 2017,18.0,329.0,6, fintech,26,21000000.0,21000000.0,1.0,0.065,4644,1,50, High, Medium,0.8,2.22325,3956620,0.338,0.077,1.227,1.2,0.044,1.483,-0.001,-0.001
