coin,N_google_news
eos,0
stellar,0
cardano,0
tron,0
neo,0
vechain,0
0x,0
ontology,0
bytecoin,0
zilliqa,0
icon,0
verge,0
pundi-x,0
electroneum,0
bytom,0
holo,0
populous,2
cryptonex,0
waltonchain,0
aion,1
wanchain,2
cybermiles,0
aurora,4
loopring,0
maidsafecoin,0
nebulas,2
dentacoin,1
monacoin,0
funfair,1
decentraland,1
dropil,1
elastos,4
power-ledger,1
theta-token,0
kyber-network,0
quarkchain,0
nexo,1
odyssey,5
genesis-vision,0
dragonchain,1
kin,0
salt,1
request-network,6
enjin-coin,0
gifto,0
storm,1
telcoin,1
iexec-rlc,2
bread,3
centrality,1
ignis,1
eidoo,0
tokenomy,1
cindicator,1
quantstamp,8
ethos,8
thekey,1
gochain,1
zipper,1
crypto20,1
odem,4
singularitynet,1
neblio,2
smartmesh,1
crypterium,2
bluzelle,0
ambrosus,2
time-new-bank,3
bnktothefuture,1
poa-network,5
storiqa,1
fusion,0
modum,2
cryptaur,0
credits,0
bottos,1
tokenpay,1
jibrel-network,2
arcblock,1
blockv,1
particl,10
gold-bits-coin,4
proximax,5
cube,0
ttc-protocol,4
utrust,1
ethlend,1
apis,4
aston,1
naga,0
litecoin-cash,6
rotharium,1
vite,1
sophiatx,5
wepower,5
district0x,1
selfkey,1
lympo,0
wabi,0
ins-ecosystem,0
babb,0
airswap,9
tatatu,4
xyo-network,0
refereum,0
quant,10
loyalcoin,0
metronome,0
qlc-chain,0
bittwatt,2
smartlands,4
appcoins,1
zeepin,1
seele,3
loki,2
cobinhood,1
deepbrain-chain,2
etherparty,3
paypie,0
origintrail,0
apex,3
presearch,0
minexcoin,0
havven,0
everex,0
moneytoken,0
atn,0
graft,3
bezant,1
yoyow,1
covesting,0
adtoken,7
b2bx,1
universa,6
ternio,1
aeron,5
monetha,1
eden,2
pumapay,2
daex,8
0chain,2
optitoken,0
docademic,0
decentbet,0
fortuna,0
latoken,1
ifoods-chain,9
dovu,1
carvertical,7
eximchain,8
zper,0
winding-tree,1
lamden,1
