#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$159,751,687,801",$9386.35,"17,019,575","$7,019,540,000",0.35%,-3.75%,0.67%
2,Ethereum,ETH,"$75,326,336,835",$758.73,"99,280,157","$3,060,220,000",0.39%,-5.66%,10.50%
3,Ripple,XRP,"$32,466,631,839",$0.828690,"39,178,259,468","$665,846,000",0.22%,-7.05%,-3.15%
4,Bitcoin Cash,BCH,"$28,205,543,800",$1648.07,"17,114,288","$1,630,660,000",0.47%,-5.52%,16.82%
5,EOS,EOS,"$14,398,910,239",$17.13,"840,532,508","$1,358,480,000",0.61%,0.05%,-11.95%
6,Litecoin,LTC,"$9,320,903,959",$165.21,"56,419,888","$576,853,000",0.34%,-5.51%,8.84%
7,Cardano,ADA,"$8,603,224,254",$0.331824,"25,927,070,538","$166,995,000",0.62%,-5.97%,-5.71%
8,Stellar,XLM,"$7,376,397,348",$0.397177,"18,572,065,723","$42,672,500",0.31%,-5.60%,-9.65%
9,IOTA,MIOTA,"$5,989,582,012",$2.15,"2,779,530,283","$108,184,000",-0.09%,-10.10%,8.26%
10,TRON,TRX,"$5,330,390,081",$0.081073,"65,748,111,645","$363,673,000",0.08%,-3.07%,-10.06%
11,NEO,NEO,"$5,081,433,500",$78.18,"65,000,000","$162,223,000",0.62%,-8.33%,-11.86%
12,Dash,DASH,"$3,756,857,552",$466.29,"8,056,895","$91,733,300",0.19%,-6.55%,-4.40%
13,Monero,XMR,"$3,608,996,777",$225.48,"16,005,627","$47,548,400",0.20%,-5.54%,-8.57%
14,NEM,XEM,"$3,492,270,000",$0.388030,"8,999,999,999","$24,396,100",-0.15%,-7.09%,-6.50%
15,VeChain,VEN,"$2,492,099,280",$4.74,"525,899,138","$99,629,700",0.58%,-5.55%,3.32%
16,Ethereum Classic,ETC,"$2,467,385,576",$24.29,"101,566,505","$542,416,000",0.39%,0.24%,9.14%
17,Tether,USDT,"$2,195,756,615",$0.999370,"2,197,140,814","$3,956,050,000",-0.09%,0.01%,-0.12%
18,Qtum,QTUM,"$1,906,889,347",$21.53,"88,576,760","$255,428,000",0.08%,-4.84%,-10.56%
19,OmiseGO,OMG,"$1,634,752,292",$16.02,"102,042,552","$45,151,900",0.26%,-6.65%,-8.65%
20,ICON,ICX,"$1,569,084,658",$4.05,"387,231,348","$33,445,400",0.68%,-4.79%,-10.08%
21,Binance Coin,BNB,"$1,514,000,763",$13.28,"114,041,290","$62,396,700",-0.09%,-8.62%,-9.72%
22,Lisk,LSK,"$1,322,339,598",$12.52,"105,626,615","$21,094,600",0.09%,-4.88%,0.31%
23,Bytecoin,BCN,"$1,272,536,479",$0.006921,"183,877,143,080","$4,147,610",0.42%,-3.96%,27.35%
24,Bitcoin Gold,BTG,"$1,254,619,192",$73.85,"16,988,911","$37,817,200",-0.21%,-7.02%,-2.88%
25,Nano,NANO,"$1,089,655,207",$8.18,"133,248,289","$21,948,700",1.06%,-4.82%,-2.97%
26,Verge,XVG,"$1,080,660,808",$0.072204,"14,966,854,956","$47,942,800",0.96%,-4.50%,5.32%
27,Zcash,ZEC,"$1,071,519,539",$277.46,"3,861,819","$56,701,100",-0.15%,-8.47%,-4.34%
28,Ontology,ONT,"$978,341,072",$8.69,"112,625,171","$123,308,000",0.36%,-1.36%,3.12%
29,Zilliqa,ZIL,"$937,628,133",$0.128682,"7,286,396,952","$49,086,500",0.88%,-9.43%,16.23%
30,Aeternity,AE,"$937,520,586",$4.02,"233,020,472","$29,892,300",1.23%,-6.75%,-15.82%
31,Steem,STEEM,"$898,964,570",$3.53,"254,414,094","$6,502,330",-0.02%,-3.47%,-12.61%
32,Siacoin,SC,"$873,856,763",$0.025503,"34,264,995,872","$27,832,400",0.50%,-4.24%,-8.63%
33,Wanchain,WAN,"$823,584,114",$7.76,"106,152,493","$23,303,300",0.78%,-7.64%,-9.09%
34,BitShares,BTS,"$802,919,347",$0.306217,"2,622,060,000","$45,166,700",0.31%,-6.08%,-11.71%
35,0x,ZRX,"$799,673,049",$1.52,"526,950,050","$29,312,400",0.75%,-1.03%,21.35%
36,Bytom,BTM,"$751,793,952",$0.761696,"987,000,000","$100,803,000",0.78%,-6.65%,-28.39%
37,Stratis,STRAT,"$742,005,496",$7.51,"98,845,632","$12,325,500",0.31%,-5.18%,7.59%
38,Bitcoin Diamond,BCD,"$734,816,025",$4.79,"153,493,750","$9,575,650",0.24%,-12.25%,-14.85%
39,Populous,PPT,"$709,515,212",$19.17,"37,004,027","$6,317,650",1.16%,-10.63%,-23.82%
40,RChain,RHOC,"$671,431,861",$1.86,"360,105,903","$875,557",2.14%,-4.69%,9.15%
41,Golem,GNT,"$651,209,066",$0.780581,"834,262,000","$69,349,100",-0.77%,4.32%,35.79%
42,Waves,WAVES,"$649,865,000",$6.50,"100,000,000","$30,658,600",0.20%,-8.62%,-5.43%
43,Maker,MKR,"$625,485,764",$1011.74,"618,228","$168,452",0.49%,-6.04%,-4.90%
44,Decred,DCR,"$616,190,988",$86.23,"7,145,743","$5,715,740",0.55%,-0.17%,4.90%
45,Bitcoin Private,BTCP,"$615,233,923",$30.12,"20,426,229","$876,473",0.05%,-6.71%,-9.07%
46,Status,SNT,"$537,178,833",$0.154785,"3,470,483,788","$44,454,000",0.10%,-6.49%,-6.29%
47,Dogecoin,DOGE,"$536,820,048",$0.004696,"114,322,840,996","$32,041,300",0.21%,-7.66%,-12.39%
48,DigixDAO,DGD,"$535,858,000",$267.93,"2,000,000","$21,437,300",-0.31%,4.96%,-2.33%
49,Hshare,HSR,"$498,211,593",$11.60,"42,953,348","$76,045,300",1.02%,-7.45%,-3.81%
50,IOStoken,IOST,"$470,121,960",$0.055967,"8,400,000,000","$74,100,600",-0.27%,-8.25%,-7.13%
51,Loopring,LRC,"$469,236,869",$0.820238,"572,074,043","$23,523,200",1.02%,-6.39%,-20.01%
52,DigiByte,DGB,"$463,277,179",$0.045343,"10,217,170,883","$5,217,910",0.72%,-1.59%,5.41%
53,Augur,REP,"$459,409,500",$41.76,"11,000,000","$2,626,520",0.51%,-3.75%,4.05%
54,Waltonchain,WTC,"$453,442,515",$14.56,"31,144,099","$3,771,150",0.06%,-9.11%,-12.11%
55,Mixin,XIN,"$437,407,117",$1039.35,"420,847","$699,542",-0.32%,-2.25%,-23.66%
56,Aion,AION,"$435,440,246",$3.27,"133,073,439","$5,535,040",0.94%,-5.65%,-14.64%
57,Basic Attenti...,BAT,"$409,122,000",$0.409122,"1,000,000,000","$5,009,470",0.04%,-5.54%,-10.35%
58,aelf,ELF,"$385,535,000",$1.54,"250,000,000","$58,491,300",0.33%,-7.00%,-19.97%
59,Komodo,KMD,"$382,327,526",$3.67,"104,059,336","$3,674,870",-0.11%,-8.00%,-11.11%
60,DNotes,NOTE,"$382,041,032",$2.48,"153,878,172","$1,139",?,-2.63%,> 9000%
61,Ardor,ARDR,"$381,077,348",$0.381459,"998,999,495","$2,885,930",0.05%,-5.95%,-6.07%
62,WaykiChain,WICC,"$362,777,622",$2.53,"143,400,000","$31,019,800",1.42%,-0.44%,52.70%
63,Mithril,MITH,"$360,693,416",$1.18,"305,054,522","$59,070,200",0.76%,-8.58%,0.02%
64,Nebulas,NAS,"$354,318,755",$9.98,"35,500,000","$38,943,500",0.74%,-6.24%,1.77%
65,Ark,ARK,"$343,708,358",$3.36,"102,382,520","$1,527,080",-0.20%,-4.41%,-11.89%
66,Gas,GAS,"$324,479,715",$32.04,"10,128,375","$4,141,650",3.88%,0.19%,2.74%
67,KuCoin Shares,KCS,"$320,315,345",$4.23,"75,730,576","$762,323",0.40%,-8.96%,-0.88%
68,PIVX,PIVX,"$301,389,316",$5.37,"56,140,321","$5,452,560",0.61%,-4.22%,-5.17%
69,Loom Network,LOOM,"$291,183,755",$0.505095,"576,493,047","$22,278,000",-1.52%,-9.78%,54.79%
70,Kyber Network,KNC,"$289,533,474",$2.16,"134,132,697","$22,294,500",0.16%,-8.60%,-21.14%
