#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
1,Bitcoin,BTC,"$118,783,088,415",$7002.12,"16,963,875","$4,000,870,000",-0.24%,5.54%,-0.77%
2,Ethereum,ETH,"$38,377,096,560",$388.92,"98,676,576","$947,633,000",-0.54%,4.99%,-2.95%
3,Ripple,XRP,"$19,274,106,896",$0.493013,"39,094,520,623","$213,807,000",-0.13%,4.52%,-4.34%
4,Bitcoin Cash,BCH,"$11,051,340,530",$647.76,"17,060,725","$229,923,000",-0.02%,6.82%,-6.95%
5,Litecoin,LTC,"$6,594,212,595",$117.79,"55,980,887","$210,299,000",-0.40%,3.71%,-1.13%
6,EOS,EOS,"$4,613,172,037",$5.93,"777,657,310","$222,576,000",-0.44%,0.69%,-1.63%
7,Cardano,ADA,"$3,880,893,553",$0.149685,"25,927,070,538","$48,587,900",-0.60%,3.43%,-3.59%
8,Stellar,XLM,"$3,790,052,915",$0.204305,"18,550,955,262","$27,893,600",-0.08%,5.53%,-3.16%
9,NEO,NEO,"$3,058,276,000",$47.05,"65,000,000","$48,146,300",-0.72%,4.66%,-7.11%
10,IOTA,MIOTA,"$2,787,618,716",$1.00,"2,779,530,283","$13,161,400",-0.44%,6.95%,-8.29%
11,Monero,XMR,"$2,723,717,363",$171.25,"15,905,012","$31,923,900",-0.06%,4.28%,-4.79%
12,TRON,TRX,"$2,451,510,390",$0.037286,"65,748,111,645","$251,854,000",0.18%,1.64%,6.76%
13,Dash,DASH,"$2,437,095,678",$304.75,"7,997,111","$63,307,700",-0.44%,6.58%,-3.56%
14,Tether,USDT,"$2,288,055,670",$1.00,"2,287,140,814","$1,326,440,000",-0.04%,-0.04%,-0.03%
15,NEM,XEM,"$2,032,920,000",$0.225880,"8,999,999,999","$13,311,600",-0.33%,3.31%,1.50%
16,Binance Coin,BNB,"$1,446,991,925",$12.45,"116,261,604","$91,311,300",-0.05%,2.01%,12.02%
17,Ethereum Classic,ETC,"$1,380,551,842",$13.67,"101,023,134","$76,093,500",-0.31%,3.69%,-5.71%
18,VeChain,VEN,"$1,330,419,175",$2.54,"524,770,505","$56,413,400",-1.86%,7.20%,5.25%
19,Qtum,QTUM,"$1,184,176,001",$13.38,"88,506,084","$82,732,800",-0.07%,4.10%,-7.03%
20,Verge,XVG,"$976,988,055",$0.065804,"14,846,895,100","$135,321,000",-1.82%,13.52%,68.49%
21,OmiseGO,OMG,"$972,385,925",$9.53,"102,042,552","$33,606,200",-0.38%,2.03%,14.56%
22,Ontology,ONT,"$944,573,386",$3.92,"241,236,451","$150,758,000",4.13%,31.97%,84.29%
23,Lisk,LSK,"$897,866,195",$8.67,"103,608,872","$19,553,700",-0.22%,7.43%,13.05%
24,ICON,ICX,"$798,017,148",$2.06,"387,041,258","$66,828,300",-0.46%,9.10%,-7.84%
25,Bitcoin Gold,BTG,"$702,281,678",$41.48,"16,928,936","$5,915,250",-0.26%,4.38%,-7.40%
26,Nano,NANO,"$693,626,634",$5.21,"133,248,289","$7,560,870",-0.45%,2.83%,-6.82%
27,Zcash,ZEC,"$668,032,398",$182.97,"3,651,069","$33,848,900",0.13%,4.13%,-3.27%
28,Bytom,BTM,"$528,006,507",$0.534961,"987,000,000","$23,611,200",-0.43%,9.44%,1.10%
29,Steem,STEEM,"$487,680,579",$1.90,"256,286,861","$7,221,800",-1.34%,10.76%,23.93%
30,Populous,PPT,"$453,813,685",$12.26,"37,004,027","$482,382",-0.08%,6.63%,-0.93%
31,DigixDAO,DGD,"$429,894,000",$214.95,"2,000,000","$14,565,100",-1.12%,0.26%,-11.95%
32,Bytecoin,BCN,"$399,667,610",$0.002174,"183,825,372,512","$850,090",0.76%,7.20%,0.77%
33,BitShares,BTS,"$378,168,085",$0.144683,"2,613,770,000","$6,871,250",-0.16%,4.28%,11.67%
34,Siacoin,SC,"$378,155,301",$0.011243,"33,635,032,005","$3,457,850",-0.32%,5.64%,3.79%
35,Stratis,STRAT,"$375,623,112",$3.80,"98,807,624","$8,263,000",0.07%,11.17%,1.40%
36,Bitcoin Diamond,BCD,"$374,943,559",$2.45,"152,974,500","$4,075,180",-1.79%,5.08%,5.03%
37,Waves,WAVES,"$360,702,000",$3.61,"100,000,000","$18,355,800",-0.35%,6.26%,-1.84%
38,Decred,DCR,"$354,545,773",$50.06,"7,082,940","$1,230,100",-0.63%,12.69%,24.66%
39,RChain,RHOC,"$349,006,598",$0.970520,"359,607,837","$309,485",-0.90%,6.14%,3.49%
40,Aeternity,AE,"$325,965,348",$1.40,"233,020,472","$2,805,800",-0.58%,3.00%,-12.49%
41,Dogecoin,DOGE,"$320,796,823",$0.002816,"113,920,135,269","$2,961,570",-0.53%,5.06%,-1.01%
42,Status,SNT,"$313,192,421",$0.090245,"3,470,483,788","$23,193,400",-0.02%,1.27%,1.39%
43,Maker,MKR,"$311,953,405",$504.59,"618,228","$89,485",-0.25%,4.69%,-3.20%
