0 Jul 23, 2016 0.04 0.04 0.04 0.04 35.96 0.0
1 Jul 24, 2016 0.04 0.04 0.04 0.04 7.42 0.0
2 Jul 25, 2016 0.04 0.04 0.04 0.04 7.37 0.0
3 Jul 30, 2016 0.04 0.04 0.04 0.04 0.49 0.0
4 Jul 31, 2016 0.04 0.04 0.04 0.04 0.49 0.0
5 Aug 01, 2016 0.04 0.04 0.04 0.04 0.44 0.0
6 Aug 02, 2016 0.04 0.04 0.03 0.03 0.28 0.0
7 Aug 03, 2016 0.03 0.03 0.03 0.03 0.07 0.0
8 Aug 04, 2016 0.03 0.03 0.03 0.03 0.06 0.0
9 Aug 05, 2016 0.03 0.03 0.03 0.03 1.19 0.0
10 Aug 06, 2016 0.03 0.04 0.03 0.04 0.2 0.0
11 Aug 25, 2016 0.03 0.03 0.03 0.03 0.01 0.0
12 Aug 26, 2016 0.03 0.03 0.03 0.03 0.01 0.0
13 Aug 29, 2016 0.04 0.04 0.03 0.04 27.57 0.0
14 Aug 30, 2016 0.04 0.04 0.03 0.03 23.89 0.0
15 Oct 13, 2016 0.01 0.03 0.01 0.03 34707.7 0.0
16 Oct 14, 2016 0.03 0.04 0.02 0.02 75563.4 0.0
17 Oct 15, 2016 0.02 0.02 0.02 0.02 87516.5 0.0
18 Oct 16, 2016 0.02 0.02 0.02 0.02 61576.6 0.0
19 Oct 17, 2016 0.02 0.03 0.02 0.02 1316410.0 0.0
20 Oct 18, 2016 0.02 0.02 0.01 0.01 281499.0 19051900.0
21 Oct 19, 2016 0.01 0.02 0.01 0.02 203649.0 15462400.0
22 Oct 20, 2016 0.02 0.02 0.01 0.01 145587.0 17002700.0
23 Oct 21, 2016 0.01 0.01 0.01 0.01 104878.0 15013300.0
24 Oct 22, 2016 0.01 0.01 0.01 0.01 134767.0 14318400.0
25 Oct 23, 2016 0.01 0.01 0.01 0.01 96600.8 13573400.0
26 Oct 24, 2016 0.01 0.01 0.01 0.01 118622.0 12262500.0
27 Oct 25, 2016 0.01 0.01 0.01 0.01 82645.4 13896700.0
28 Oct 26, 2016 0.01 0.01 0.01 0.01 71104.1 12517700.0
29 >Oct 27, 201 0.01 0.01 0.01 0.01 76228.6 12151600.0
30 Oct 28, 2016 0.01 0.01 0.01 0.01 47067.5 11649000.0
31 Oct 29, 2016 0.01 0.01 0.01 0.01 69251.1 10272500.0
32 Oct 30, 2016 0.01 0.01 0.01 0.01 71488.4 9020240.0
33 Oct 31, 2016 0.01 0.01 0.01 0.01 34148.1 9931030.0
