0 Jul 25, 2017 0.12 0.12 0.1 0.1 145269.0 11520300.0
1 Jul 26, 2017 0.1 0.11 0.1 0.1 200395.0 10589300.0
2 Jul 27, 2017 0.1 0.11 0.1 0.11 344499.0 10510800.0
3 Jul 28, 2017 0.11 0.11 0.1 0.1 342568.0 10763200.0
4 Jul 29, 2017 0.1 0.11 0.1 0.11 340218.0 10478200.0
5 Jul 30, 2017 0.11 0.11 0.1 0.11 224261.0 10793500.0
6 Jul 31, 2017 0.11 0.11 0.1 0.1 240309.0 10682800.0
7 Aug 01, 2017 0.1 0.11 0.1 0.1 300413.0 10459500.0
8 Aug 02, 2017 0.1 0.1 0.1 0.1 256793.0 9972120.0
9 Aug 03, 2017 0.1 0.11 0.1 0.11 293008.0 10032800.0
10 Aug 04, 2017 0.11 0.11 0.1 0.11 287621.0 10668500.0
11 Aug 05, 2017 0.11 0.14 0.11 0.13 542878.0 10741800.0
12 Aug 06, 2017 0.13 0.13 0.13 0.13 393681.0 12929200.0
13 Aug 07, 2017 0.13 0.15 0.13 0.15 748177.0 13395800.0
14 Aug 08, 2017 0.15 0.23 0.15 0.22 2617340.0 14899800.0
15 Aug 09, 2017 0.22 0.26 0.22 0.24 3075320.0 22474800.0
16 Aug 10, 2017 0.25 0.35 0.24 0.35 4118070.0 25182700.0
17 Aug 11, 2017 0.35 0.41 0.31 0.39 4413920.0 34878500.0
18 Aug 12, 2017 0.39 0.47 0.34 0.45 5080760.0 39219300.0
19 Aug 13, 2017 0.45 1.02 0.45 0.88 13852100.0 44599000.0
20 Aug 14, 2017 0.87 1.46 0.73 1.29 51698100.0 87291800.0
21 Aug 15, 2017 1.33 1.38 0.92 1.06 19824400.0 132709000.0
22 Aug 16, 2017 1.12 1.45 1.08 1.44 31363100.0 111969000.0
23 >Aug 17, 201 1.44 2.11 1.32 1.97 61296500.0 143697000.0
24 Aug 18, 2017 1.93 2.75 1.89 2.38 69048000.0 192519000.0
25 Aug 19, 2017 2.33 2.33 1.82 2.09 43391300.0 233440000.0
26 Aug 20, 2017 2.11 2.69 2.08 2.5 65350400.0 210821000.0
27 Aug 21, 2017 2.43 2.91 2.43 2.7 72000600.0 243075000.0
28 Aug 22, 2017 2.72 2.72 2.22 2.48 52091300.0 272445000.0
29 Aug 23, 2017 2.47 2.96 2.47 2.58 64925100.0 247397000.0
30 Aug 24, 2017 2.63 2.66 2.28 2.38 45080400.0 262736000.0
31 Aug 25, 2017 2.39 2.73 2.39 2.5 49977600.0 239057000.0
32 Aug 26, 2017 2.53 2.54 1.96 2.17 26690700.0 253038000.0
33 Aug 27, 2017 2.18 2.31 1.86 2.0 17214900.0 217997000.0
34 Aug 28, 2017 2.02 2.17 1.96 2.04 15413900.0 202149000.0
35 Aug 29, 2017 2.11 2.33 1.99 2.33 20372000.0 210625000.0
36 Aug 30, 2017 2.28 2.37 2.09 2.35 24830000.0 228194000.0
37 Aug 31, 2017 2.33 2.41 2.2 2.2 20214800.0 232823000.0
38 Sep 01, 2017 2.2 2.39 2.12 2.38 20990700.0 220169000.0
39 Sep 02, 2017 2.5 2.85 1.72 1.99 22995400.0 250000000.0
40 Sep 03, 2017 1.93 2.02 1.42 1.57 11662000.0 192548000.0
41 Sep 04, 2017 1.58 1.58 0.61 1.05 20075100.0 157665000.0
