0 Jul 23, 2017 555.8 578.9 411.7 413.0 85013.1 0.0
1 >Jul 24, 201 412.5 578.8 409.2 440.7 190952.0 0.0
2 Jul 25, 2017 441.3 541.6 338.0 406.8 524908.0 0.0
3 Jul 26, 2017 407.0 486.1 321.7 365.8 1784640.0 0.0
4 Jul 27, 2017 417.0 460.9 367.7 385.4 533207.0 0.0
5 Jul 28, 2017 386.6 465.1 217.0 406.0 1230160.0 0.0
6 Jul 29, 2017 410.5 423.7 323.7 384.7 737815.0 0.0
7 Jul 30, 2017 385.1 385.1 316.2 345.6 606695.0 0.0
8 Jul 31, 2017 346.3 347.8 266.1 294.4 1075960.0 0.0
9 Aug 01, 2017 294.6 426.1 210.3 380.0 65988800.0 0.0
10 Aug 02, 2017 382.3 756.9 309.3 452.6 416207000.0 6302360000.0
11 Aug 03, 2017 448.4 519.2 364.0 364.0 161518000.0 7392030000.0
12 Aug 04, 2017 362.1 386.9 233.0 233.0 185038000.0 5969720000.0
13 Aug 05, 2017 231.1 273.0 200.9 213.1 144043000.0 3809330000.0
14 Aug 06, 2017 212.1 223.7 203.4 220.6 107606000.0 3497290000.0
15 Aug 07, 2017 223.7 373.8 223.7 319.6 346546000.0 3688360000.0
16 Aug 08, 2017 321.3 386.2 309.6 345.4 274880000.0 5297390000.0
17 Aug 09, 2017 345.2 349.3 298.6 303.8 165032000.0 5691960000.0
18 Aug 10, 2017 305.2 311.6 274.6 275.9 136637000.0 5031790000.0
19 Aug 11, 2017 275.8 351.1 275.0 328.2 233971000.0 4548600000.0
20 Aug 12, 2017 327.8 341.8 313.7 317.0 126007000.0 5405200000.0
21 Aug 13, 2017 316.2 317.4 298.0 298.0 120722000.0 5215330000.0
22 Aug 14, 2017 296.0 327.3 293.4 297.6 174968000.0 4882720000.0
23 Aug 15, 2017 298.1 306.5 292.8 297.8 133924000.0 4917480000.0
24 Aug 16, 2017 297.9 307.6 290.2 300.2 106436000.0 4914350000.0
25 Aug 17, 2017 301.0 460.5 293.0 460.5 744605000.0 4964980000.0
26 Aug 18, 2017 458.6 764.0 458.6 690.2 3087490000.0 7565590000.0
27 Aug 19, 2017 697.0 1091.0 625.1 754.5 3196230000.0 11498100000.0
28 Aug 20, 2017 772.4 858.9 683.9 712.8 1494020000.0 12742600000.0
29 Aug 21, 2017 723.7 756.5 573.4 599.6 1123400000.0 11943100000.0
30 Aug 22, 2017 596.1 734.8 570.2 690.8 1393260000.0 9844620000.0
31 Aug 23, 2017 690.9 715.6 651.3 669.4 501983000.0 11416800000.0
32 Aug 24, 2017 670.0 697.3 617.3 628.1 407177000.0 11071100000.0
33 Aug 25, 2017 627.0 665.4 624.2 641.0 348632000.0 10365600000.0
34 Aug 26, 2017 641.8 646.9 622.3 625.3 193414000.0 10616100000.0
35 Aug 27, 2017 625.8 654.8 589.6 620.8 402718000.0 10357000000.0
36 Aug 28, 2017 619.6 626.8 595.5 596.1 216273000.0 10254800000.0
37 Aug 29, 2017 596.1 599.3 528.3 552.9 370017000.0 9866110000.0
38 Aug 30, 2017 549.3 604.6 535.9 575.2 443856000.0 9092300000.0
39 Aug 31, 2017 576.2 603.6 572.1 588.1 298144000.0 9538750000.0
40 Sep 01, 2017 588.3 645.5 586.7 622.1 393839000.0 9740460000.0
41 Sep 02, 2017 621.9 642.0 560.5 575.9 350478000.0 10297000000.0
42 Sep 03, 2017 578.2 617.4 563.5 607.4 344862000.0 9574520000.0
43 Sep 04, 2017 608.2 608.2 500.7 517.2 328957000.0 10072200000.0
44 Sep 05, 2017 514.9 550.9 458.7 541.7 338978000.0 8527100000.0
45 Sep 06, 2017 541.2 642.6 539.9 638.1 693240000.0 8964700000.0
46 Sep 07, 2017 636.8 707.9 603.5 652.8 1082380000.0 10548500000.0
47 Sep 08, 2017 654.3 687.3 557.5 583.0 809763000.0 10840500000.0
