0 Nov 24, 2017 61.7 74.43 61.7 69.3 23322800.0 0.0
1 Nov 25, 2017 69.34 104.8 68.77 94.22 45941900.0 0.0
2 >Nov 26, 201 94.2 94.25 65.9 66.12 20896400.0 0.0
3 Nov 27, 2017 66.29 70.59 63.81 65.89 22995100.0 0.0
4 Nov 28, 2017 65.66 65.7 50.29 54.47 22958800.0 0.0
5 Nov 29, 2017 54.27 57.18 43.43 45.14 15311200.0 0.0
6 Nov 30, 2017 45.87 54.29 42.91 47.93 10105800.0 0.0
7 Dec 01, 2017 47.23 52.23 45.57 51.8 8257780.0 0.0
8 Dec 02, 2017 51.7 51.96 45.06 47.23 6309450.0 0.0
9 Dec 03, 2017 47.11 51.14 44.78 47.36 6135070.0 0.0
10 Dec 04, 2017 47.49 48.2 43.3 46.76 6704090.0 0.0
11 Dec 05, 2017 46.83 47.87 42.77 42.98 6604280.0 0.0
12 Dec 06, 2017 42.85 43.41 32.76 38.15 11912000.0 0.0
13 Dec 07, 2017 37.77 37.77 34.35 35.97 7586480.0 0.0
14 Dec 08, 2017 36.28 38.25 32.15 35.55 8632940.0 0.0
15 Dec 09, 2017 35.22 35.76 31.46 33.56 6132550.0 0.0
16 Dec 10, 2017 33.6 48.55 29.92 39.74 14494700.0 0.0
17 Dec 11, 2017 39.8 43.54 36.57 37.84 8156630.0 0.0
18 Dec 12, 2017 38.04 38.04 32.2 33.44 8794210.0 0.0
19 Dec 13, 2017 33.41 34.27 30.55 31.87 7563820.0 0.0
20 Dec 14, 2017 31.62 37.69 31.54 37.69 11436000.0 0.0
21 Dec 15, 2017 37.72 48.39 35.89 44.53 18905000.0 0.0
22 Dec 16, 2017 43.84 46.95 41.23 43.38 12230100.0 0.0
23 Dec 17, 2017 43.12 46.32 43.12 45.18 7733990.0 0.0
24 Dec 18, 2017 45.34 46.88 43.12 44.74 9332280.0 0.0
25 Dec 19, 2017 44.73 47.05 43.41 46.45 9968920.0 0.0
26 Dec 20, 2017 46.36 70.4 46.06 67.87 28903400.0 0.0
27 Dec 21, 2017 68.18 69.18 48.29 48.75 15000200.0 0.0
28 Dec 22, 2017 48.92 58.25 35.17 43.42 10007700.0 0.0
29 Dec 23, 2017 42.73 45.79 39.06 39.06 8449980.0 0.0
30 Dec 24, 2017 39.72 40.55 34.25 40.4 4319190.0 0.0
31 Dec 25, 2017 40.64 52.88 40.0 51.43 7201650.0 0.0
32 Dec 26, 2017 51.25 76.44 43.94 64.66 21672200.0 0.0
33 Dec 27, 2017 64.89 67.07 39.96 40.14 14988700.0 0.0
34 Dec 28, 2017 44.48 44.48 29.77 31.33 10183000.0 0.0
35 Dec 29, 2017 31.46 40.12 31.32 34.79 9884250.0 0.0
36 Dec 30, 2017 34.67 34.72 26.61 31.13 7365910.0 0.0
37 Dec 31, 2017 31.01 31.37 26.61 30.76 7705000.0 0.0
38 Jan 01, 2018 30.76 30.76 27.01 27.01 8525740.0 0.0
39 Jan 02, 2018 26.9 28.15 25.53 26.66 12581100.0 0.0
40 Jan 03, 2018 26.59 27.41 23.61 23.84 406035000.0 0.0
41 Jan 04, 2018 23.82 26.82 22.43 24.65 779524000.0 0.0
42 Jan 05, 2018 24.91 26.15 21.84 24.65 12946300.0 0.0
43 Jan 06, 2018 24.78 27.96 23.03 27.96 12356900.0 0.0
44 Jan 07, 2018 28.16 32.67 27.04 27.04 16371800.0 0.0
45 Jan 08, 2018 26.79 30.65 24.8 27.47 15915800.0 0.0
46 Jan 09, 2018 27.31 27.76 22.84 23.5 12572900.0 0.0
47 Jan 10, 2018 23.61 23.61 16.9 17.33 12070100.0 0.0
48 Jan 11, 2018 17.44 18.22 14.81 16.82 10379800.0 0.0
