0 Oct 23, 2017 479.8 539.7 479.8 500.1 7652060.0 0.0
1 Oct 24, 2017 498.4 500.7 141.0 142.9 23301700.0 0.0
2 Oct 25, 2017 143.1 165.8 125.8 137.0 16040700.0 0.0
3 Oct 26, 2017 137.0 143.6 121.0 136.2 11556600.0 0.0
4 Oct 27, 2017 137.2 137.9 118.3 120.6 8217860.0 0.0
5 Oct 28, 2017 120.5 123.4 106.1 115.8 5635800.0 0.0
6 Oct 29, 2017 115.9 139.2 115.2 139.1 11295300.0 0.0
7 Oct 30, 2017 138.6 138.6 126.4 132.8 6730380.0 0.0
8 Oct 31, 2017 133.8 164.5 132.1 156.7 18906800.0 0.0
9 Nov 01, 2017 157.0 159.7 140.5 144.8 14898100.0 0.0
10 Nov 02, 2017 144.8 147.0 122.9 127.5 12020600.0 0.0
11 Nov 03, 2017 126.3 137.2 123.5 131.7 8035790.0 0.0
12 Nov 04, 2017 131.6 144.4 128.2 142.1 9145650.0 0.0
13 Nov 05, 2017 141.7 175.9 139.9 165.7 16915700.0 0.0
14 Nov 06, 2017 165.4 170.1 148.1 148.7 10901900.0 0.0
15 Nov 07, 2017 149.2 159.2 149.2 153.3 7219510.0 0.0
16 Nov 08, 2017 153.1 159.3 135.2 139.3 12513700.0 0.0
17 Nov 09, 2017 140.5 156.6 138.2 156.6 13140500.0 0.0
18 Nov 10, 2017 157.4 213.4 155.3 213.4 36198500.0 0.0
19 Nov 11, 2017 213.1 509.8 213.1 427.1 187191000.0 0.0
20 Nov 12, 2017 421.7 465.6 281.5 282.4 90339900.0 0.0
21 Nov 13, 2017 277.0 307.2 218.3 249.2 45916500.0 0.0
22 Nov 14, 2017 253.2 253.2 154.0 159.9 39340400.0 0.0
23 Nov 15, 2017 160.5 187.2 151.4 161.6 30094100.0 0.0
24 Nov 16, 2017 161.8 181.3 136.3 140.7 27949200.0 0.0
25 Nov 17, 2017 138.7 165.9 133.0 152.0 24935100.0 0.0
26 Nov 18, 2017 153.0 172.4 151.7 155.7 24642900.0 0.0
27 Nov 19, 2017 154.9 155.5 133.9 135.6 19503400.0 0.0
28 Nov 20, 2017 135.1 247.1 105.7 236.3 93826900.0 0.0
29 Nov 21, 2017 250.8 364.7 201.8 267.2 370782000.0 0.0
30 Nov 22, 2017 264.1 275.0 232.9 241.7 111451000.0 0.0
31 Nov 23, 2017 241.9 299.8 241.9 293.6 154038000.0 0.0
32 Nov 24, 2017 295.7 413.7 284.2 394.2 537472000.0 0.0
33 Nov 25, 2017 394.0 394.0 339.1 356.0 208662000.0 0.0
34 Nov 26, 2017 355.7 366.7 334.7 366.7 141228000.0 5930460000.0
35 Nov 27, 2017 370.1 387.8 353.6 359.2 129160000.0 6172140000.0
36 Nov 28, 2017 359.3 360.1 325.5 329.7 101004000.0 5992370000.0
37 Nov 29, 2017 329.4 360.7 287.7 295.4 252313000.0 5493510000.0
38 Nov 30, 2017 294.3 323.5 269.0 304.6 151331000.0 4909140000.0
39 Dec 01, 2017 304.3 315.7 288.1 311.6 134598000.0 5076660000.0
40 Dec 02, 2017 311.5 315.0 295.8 299.0 88196700.0 5196890000.0
41 Dec 03, 2017 298.8 347.7 294.4 320.6 252844000.0 4986080000.0
42 Dec 04, 2017 322.0 339.8 316.3 328.3 130453000.0 5373320000.0
43 Dec 05, 2017 329.4 329.4 303.1 304.6 113206000.0 5498370000.0
44 Dec 06, 2017 305.6 305.9 270.9 279.8 156602000.0 5101520000.0
45 Dec 07, 2017 279.0 279.7 250.2 251.6 137885000.0 4657540000.0
46 Dec 08, 2017 253.7 278.2 248.0 261.1 178502000.0 4235360000.0
47 Dec 09, 2017 260.8 263.0 230.1 243.1 105017000.0 4354930000.0
48 Dec 10, 2017 244.9 245.9 195.8 228.8 140891000.0 4090460000.0
49 Dec 11, 2017 229.3 288.6 229.1 254.4 265127000.0 3829550000.0
50 Dec 12, 2017 254.3 294.1 251.8 275.4 205849000.0 4247980000.0
51 Dec 13, 2017 276.1 285.0 254.1 271.4 221863000.0 4611860000.0
52 Dec 14, 2017 271.4 352.5 270.4 316.9 467875000.0 4534150000.0
53 Dec 15, 2017 316.8 316.8 277.8 297.8 175999000.0 5293820000.0
54 Dec 16, 2017 297.0 313.0 292.1 296.3 136415000.0 4963500000.0
55 Dec 17, 2017 297.6 306.5 294.5 300.4 120807000.0 4973110000.0
56 Dec 18, 2017 299.9 332.5 281.6 319.5 313797000.0 5013620000.0
57 >Dec 19, 201 319.8 367.3 316.0 355.1 413363000.0 5345270000.0
58 Dec 20, 2017 354.3 488.5 348.5 453.4 983169000.0 5923720000.0
59 Dec 21, 2017 449.7 460.8 369.1 406.7 352178000.0 7518780000.0
60 Dec 22, 2017 416.4 416.7 259.8 305.7 313313000.0 6962700000.0
61 Dec 23, 2017 308.7 354.8 305.9 334.5 217778000.0 5162850000.0
62 Dec 24, 2017 334.5 334.5 289.7 305.2 144898000.0 5594770000.0
63 Dec 25, 2017 307.4 311.9 295.2 309.3 104619000.0 5142770000.0
64 Dec 26, 2017 305.8 316.2 299.0 307.2 110025000.0 5115710000.0
65 Dec 27, 2017 307.5 330.9 300.9 317.8 135077000.0 5145590000.0
66 Dec 28, 2017 318.7 318.7 274.2 284.3 134169000.0 5333490000.0
67 Dec 29, 2017 285.7 291.2 267.7 280.5 114615000.0 4781710000.0
68 Dec 30, 2017 281.1 281.6 248.5 251.5 96001300.0 4704380000.0
69 Dec 31, 2017 250.1 267.8 249.0 261.7 78952100.0 4186100000.0
70 Jan 01, 2018 261.6 297.1 255.7 272.9 143836000.0 4379180000.0
71 Jan 02, 2018 275.4 284.9 270.8 277.0 117571000.0 4610460000.0
72 Jan 03, 2018 276.1 281.9 267.1 270.2 106643000.0 4622800000.0
73 Jan 04, 2018 272.4 280.1 258.8 273.7 136988000.0 4561520000.0
74 Jan 05, 2018 274.5 294.7 266.5 277.4 175165000.0 4598030000.0
75 Jan 06, 2018 277.4 300.3 273.8 300.3 172099000.0 4646530000.0
76 Jan 07, 2018 299.5 335.8 292.4 302.2 203684000.0 5018030000.0
77 Jan 08, 2018 302.2 307.4 217.7 239.5 164036000.0 5063530000.0
78 Jan 09, 2018 239.0 252.6 227.7 240.8 152475000.0 4005020000.0
79 Jan 10, 2018 240.8 243.3 223.4 243.3 131618000.0 4035920000.0
80 Jan 11, 2018 242.6 243.8 206.5 210.9 122452000.0 4066710000.0
81 Jan 12, 2018 211.6 224.5 207.1 220.5 113420000.0 3546910000.0
82 Jan 13, 2018 220.4 366.1 220.1 330.1 1160490000.0 3694430000.0
83 Jan 14, 2018 339.0 382.8 272.0 275.8 851848000.0 5683570000.0
84 Jan 15, 2018 276.3 332.5 264.6 267.6 1689000000.0 4633360000.0
85 Jan 16, 2018 266.3 266.3 151.4 190.1 439330000.0 4465810000.0
86 Jan 17, 2018 189.8 209.3 146.9 186.1 347983000.0 3184020000.0
87 Jan 18, 2018 186.7 208.2 181.6 195.3 248325000.0 3132570000.0
88 Jan 19, 2018 193.1 242.0 191.8 217.9 667274000.0 3239170000.0
89 Jan 20, 2018 219.1 237.6 213.7 231.1 288869000.0 3676260000.0
90 Jan 21, 2018 230.6 230.6 193.2 198.4 182217000.0 3869280000.0
91 Jan 22, 2018 200.1 220.9 175.4 190.3 222920000.0 3357640000.0
92 Jan 23, 2018 189.8 200.2 174.5 188.7 104756000.0 3186390000.0
93 Jan 24, 2018 189.0 201.1 184.0 190.7 89823400.0 3172510000.0
94 Jan 25, 2018 193.0 195.9 182.9 187.0 65369400.0 3240300000.0
95 Jan 26, 2018 186.6 194.8 170.0 180.8 90095700.0 3133810000.0
96 Jan 27, 2018 181.6 185.6 177.3 185.4 55528300.0 3049250000.0
97 Jan 28, 2018 186.8 195.6 186.2 189.1 130075000.0 3136400000.0
98 Jan 29, 2018 188.8 193.0 178.6 181.5 49388600.0 3171780000.0
99 Jan 30, 2018 182.3 182.3 158.4 159.1 47888900.0 3061920000.0
100 Jan 31, 2018 158.3 159.1 146.4 156.9 56636600.0 2659440000.0
101 Feb 01, 2018 156.8 158.4 122.8 127.5 51720700.0 2635290000.0
102 Feb 02, 2018 127.8 127.8 89.15 110.2 84321300.0 2148410000.0
103 Feb 03, 2018 110.1 116.9 97.98 114.4 42576100.0 1850860000.0
104 Feb 04, 2018 113.6 121.3 99.11 100.5 52606600.0 1909450000.0
105 Feb 05, 2018 100.9 102.2 81.6 84.62 33394900.0 1696000000.0
106 Feb 06, 2018 85.27 94.23 72.11 92.98 47319600.0 1433170000.0
107 Feb 07, 2018 92.59 98.43 84.75 87.55 35079700.0 1556440000.0
108 Feb 08, 2018 87.57 111.1 87.57 104.0 95463000.0 1472270000.0
109 Feb 09, 2018 103.9 168.0 99.86 166.0 110290000.0 1747090000.0
