0 Mar 03, 2018 0.28 0.45 0.23 0.41 3014620.0 0.0
1 Mar 04, 2018 0.41 0.52 0.35 0.51 3230450.0 0.0
2 Mar 05, 2018 0.52 0.82 0.5 0.79 7397800.0 0.0
3 Mar 06, 2018 0.79 1.17 0.67 0.7 18916700.0 98686100.0
4 Mar 07, 2018 0.72 0.88 0.63 0.68 8965270.0 90821000.0
5 >Mar 08, 201 0.67 0.69 0.52 0.56 5769530.0 85799500.0
6 Mar 09, 2018 0.56 0.56 0.38 0.52 5071290.0 72308200.0
7 Mar 10, 2018 0.53 0.69 0.53 0.57 5432540.0 68246900.0
8 Mar 11, 2018 0.57 0.67 0.55 0.65 2926340.0 73794500.0
9 Mar 12, 2018 0.65 0.66 0.54 0.55 2890010.0 84039700.0
10 Mar 13, 2018 0.55 0.58 0.52 0.57 1859580.0 74365800.0
11 Mar 14, 2018 0.57 0.62 0.48 0.49 1846750.0 77645100.0
12 Mar 15, 2018 0.5 0.51 0.4 0.44 2755640.0 67960100.0
13 Mar 16, 2018 0.43 0.47 0.42 0.46 977892.0 59186200.0
14 Mar 17, 2018 0.46 0.46 0.37 0.39 1096330.0 62507400.0
15 Mar 18, 2018 0.39 0.48 0.34 0.47 3836400.0 53407400.0
16 Mar 19, 2018 0.47 0.49 0.43 0.49 3542680.0 64638300.0
17 Mar 20, 2018 0.49 0.6 0.47 0.58 2745110.0 66947000.0
18 Mar 21, 2018 0.59 0.75 0.58 0.62 4734030.0 80853500.0
19 Mar 22, 2018 0.63 0.67 0.54 0.59 1840040.0 85505700.0
20 Mar 23, 2018 0.59 0.64 0.5 0.61 2260640.0 81052600.0
21 Mar 24, 2018 0.62 0.63 0.58 0.58 1477060.0 84880700.0
22 Mar 25, 2018 0.57 0.63 0.57 0.62 1025270.0 77570500.0
23 Mar 26, 2018 0.62 0.67 0.57 0.63 3094240.0 84804900.0
24 Mar 27, 2018 0.63 0.66 0.58 0.64 2551290.0 85860000.0
