0 Dec 04, 2013 0.01 0.02 0.0 0.01 0.0 15091900.0
1 Dec 05, 2013 0.01 0.01 0.01 0.01 0.0 13602200.0
2 Dec 06, 2013 0.01 0.02 0.01 0.01 0.0 11580800.0
3 Dec 07, 2013 0.01 0.01 0.01 0.01 0.0 8353200.0
4 Dec 08, 2013 0.01 0.01 0.0 0.0 0.0 5655180.0
5 Dec 09, 2013 0.0 0.01 0.0 0.0 0.0 3969000.0
6 Dec 10, 2013 0.0 0.0 0.0 0.0 0.0 3640670.0
7 Dec 11, 2013 0.0 0.01 0.0 0.01 0.0 3066120.0
8 Dec 12, 2013 0.01 0.02 0.0 0.0 0.0 7610830.0
9 Dec 13, 2013 0.0 0.01 0.0 0.0 0.0 3237430.0
10 Dec 14, 2013 0.0 0.02 0.0 0.0 0.0 3806370.0
11 Dec 15, 2013 0.0 0.01 0.0 0.01 0.0 4542750.0
12 Dec 16, 2013 0.01 0.01 0.0 0.01 0.0 6646490.0
13 Dec 17, 2013 0.01 0.01 0.0 0.01 0.0 6357330.0
14 Dec 18, 2013 0.01 0.01 0.0 0.01 0.0 6680270.0
15 Dec 19, 2013 0.01 0.01 0.01 0.01 0.0 6228720.0
16 Dec 20, 2013 0.01 0.01 0.01 0.01 0.0 8733980.0
17 Dec 21, 2013 0.01 0.03 0.01 0.02 0.0 10359100.0
18 Dec 22, 2013 0.02 0.04 0.01 0.03 0.0 18058200.0
19 Dec 23, 2013 0.03 0.03 0.01 0.03 0.0 31172700.0
20 Dec 24, 2013 0.03 0.04 0.03 0.04 0.0 30487700.0
21 Dec 25, 2013 0.04 0.06 0.03 0.06 0.0 38411300.0
22 Dec 26, 2013 0.06 0.1 0.06 0.08 0.0 64000300.0
23 Dec 27, 2013 0.08 0.08 0.06 0.07 0.0 80606700.0
24 Dec 28, 2013 0.07 0.07 0.04 0.06 532690.0 65396400.0
25 Dec 29, 2013 0.06 0.06 0.04 0.06 501304.0 59469200.0
26 Dec 30, 2013 0.06 0.07 0.04 0.05 307542.0 56207600.0
27 Dec 31, 2013 0.05 0.05 0.03 0.05 307397.0 51733600.0
28 Jan 01, 2014 0.05 0.07 0.05 0.07 556022.0 51861800.0
29 Jan 02, 2014 0.07 0.08 0.07 0.07 793019.0 70807600.0
30 Jan 03, 2014 0.07 0.08 0.06 0.06 724329.0 74847200.0
31 Jan 04, 2014 0.06 0.07 0.04 0.06 244811.0 60679000.0
32 Jan 05, 2014 0.06 0.06 0.05 0.06 282060.0 62959900.0
33 Jan 06, 2014 0.05 0.06 0.05 0.05 22411.7 52634100.0
34 Jan 07, 2014 0.05 0.06 0.03 0.03 60824.5 52323700.0
35 Jan 08, 2014 0.03 0.05 0.03 0.04 312262.0 32241500.0
36 Jan 09, 2014 0.04 0.05 0.04 0.04 117585.0 39889800.0
37 Jan 10, 2014 0.04 0.05 0.04 0.04 199658.0 44049800.0
38 Jan 11, 2014 0.04 0.05 0.04 0.04 87690.6 44117000.0
39 Jan 12, 2014 0.04 0.05 0.04 0.04 87126.2 44743000.0
40 Jan 13, 2014 0.04 0.04 0.03 0.04 93036.7 40374600.0
41 Jan 14, 2014 0.04 0.04 0.04 0.04 93543.6 38058900.0
42 Jan 15, 2014 0.04 0.04 0.04 0.04 101689.0 38032700.0
43 Jan 16, 2014 0.04 0.04 0.03 0.03 218805.0 35466200.0
44 Jan 17, 2014 0.03 0.03 0.03 0.03 115753.0 32948900.0
45 Jan 18, 2014 0.03 0.06 0.03 0.05 560973.0 29365400.0
46 Jan 19, 2014 0.05 0.05 0.04 0.05 219644.0 46323900.0
47 Jan 20, 2014 0.05 0.08 0.05 0.08 700684.0 53078000.0
48 Jan 21, 2014 0.08 0.11 0.08 0.1 1244760.0 78987500.0
49 Jan 22, 2014 0.1 0.1 0.06 0.07 779705.0 95888100.0
