0 May 24, 2017 6.42 6.76 5.68 6.19 11221600.0 0.0
1 May 25, 2017 6.19 6.29 4.57 4.66 6211020.0 0.0
2 May 26, 2017 4.66 5.33 3.39 4.1 5116020.0 0.0
3 May 27, 2017 4.05 4.53 3.19 4.53 7046840.0 0.0
4 May 28, 2017 4.86 5.05 4.19 4.62 4353380.0 0.0
5 May 29, 2017 4.64 4.88 4.36 4.6 2205420.0 0.0
6 May 30, 2017 4.62 5.07 4.53 4.65 2836480.0 0.0
7 May 31, 2017 4.61 4.88 4.5 4.86 3011070.0 0.0
8 Jun 01, 2017 4.86 8.37 4.78 7.79 28193200.0 0.0
9 Jun 02, 2017 7.86 13.6 7.86 13.46 54232400.0 0.0
10 Jun 03, 2017 13.16 13.7 11.39 12.54 39565100.0 0.0
11 Jun 04, 2017 12.72 12.78 11.33 12.14 15253900.0 0.0
12 Jun 05, 2017 12.13 12.57 10.88 11.17 10290000.0 0.0
13 Jun 06, 2017 10.97 12.02 10.16 11.5 11135000.0 0.0
14 Jun 07, 2017 11.57 11.85 10.92 10.97 6104140.0 0.0
15 Jun 08, 2017 10.91 12.53 10.26 12.35 12978300.0 0.0
16 Jun 09, 2017 12.35 13.11 11.29 11.73 14694100.0 0.0
17 Jun 10, 2017 11.75 12.09 11.11 11.32 14370200.0 0.0
18 Jun 11, 2017 11.36 12.23 11.1 11.75 11384700.0 0.0
19 Jun 12, 2017 11.77 11.82 10.87 10.95 8663550.0 0.0
20 Jun 13, 2017 11.06 12.52 10.97 12.42 16198200.0 0.0
21 Jun 14, 2017 12.4 13.01 11.29 11.77 18671800.0 0.0
22 Jun 15, 2017 11.8 11.8 9.8 11.11 13740900.0 0.0
23 Jun 16, 2017 11.11 11.72 10.69 11.28 7179610.0 0.0
24 Jun 17, 2017 11.24 11.44 11.01 11.24 6961310.0 0.0
25 Jun 18, 2017 11.25 11.29 10.39 10.57 5475110.0 0.0
26 Jun 19, 2017 10.48 11.3 10.26 10.59 12893100.0 0.0
27 Jun 20, 2017 10.57 12.87 10.44 11.49 22123200.0 0.0
28 Jun 21, 2017 11.4 12.54 11.37 11.82 10464200.0 0.0
29 Jun 22, 2017 11.92 12.44 11.73 12.1 16740600.0 0.0
