0 Oct 06, 2017 0.19 0.2 0.19 0.2 22130.5 0.0
1 Oct 07, 2017 0.2 0.25 0.18 0.25 38475.9 0.0
2 Oct 08, 2017 0.25 1.49 0.17 0.29 36339.8 0.0
3 Oct 09, 2017 0.32 0.32 0.22 0.25 16776.1 0.0
4 Oct 10, 2017 0.25 0.27 0.2 0.2 20495.4 0.0
5 Oct 11, 2017 0.2 0.26 0.2 0.2 16009.3 0.0
6 Oct 12, 2017 0.2 0.27 0.18 0.21 30129.3 0.0
7 Oct 13, 2017 0.21 0.26 0.18 0.19 34592.2 0.0
8 Oct 14, 2017 0.19 0.23 0.02 0.22 14610.2 0.0
9 Oct 15, 2017 0.22 0.23 0.19 0.19 6825.46 0.0
10 >Oct 16, 201 0.19 0.22 0.17 0.18 39621.5 0.0
11 Oct 17, 2017 0.18 0.2 0.15 0.19 17036.3 0.0
12 Oct 18, 2017 0.19 0.19 0.12 0.17 26564.1 0.0
13 Oct 19, 2017 0.17 0.24 0.13 0.17 24264.7 0.0
14 Oct 20, 2017 0.17 0.2 0.14 0.17 5704.0 0.0
15 Oct 21, 2017 0.17 0.18 0.13 0.16 22639.5 0.0
16 >Oct 22, 201 0.16 0.17 0.14 0.16 9851.69 0.0
17 Oct 23, 2017 0.16 0.17 0.13 0.13 35982.9 0.0
18 Oct 24, 2017 0.13 0.17 0.13 0.14 48704.9 0.0
19 Oct 25, 2017 0.14 0.16 0.14 0.15 1481.58 0.0
20 Oct 26, 2017 0.15 0.17 0.13 0.17 42943.4 0.0
21 Oct 27, 2017 0.17 0.17 0.14 0.14 21019.9 0.0
22 Oct 28, 2017 0.14 0.16 0.13 0.16 3589.51 0.0
23 Oct 29, 2017 0.16 0.17 0.14 0.16 5245.76 0.0
24 Oct 30, 2017 0.16 0.17 0.14 0.14 7202.61 0.0
25 Oct 31, 2017 0.14 0.17 0.14 0.15 46344.9 0.0
26 Nov 01, 2017 0.15 0.21 0.13 0.14 58795.1 0.0
27 Nov 02, 2017 0.14 0.16 0.13 0.14 20686.7 0.0
28 Nov 03, 2017 0.14 0.16 0.12 0.14 19424.0 0.0
29 Nov 04, 2017 0.14 0.15 0.13 0.14 15994.6 0.0
30 Nov 05, 2017 0.14 0.15 0.12 0.15 6183.31 0.0
31 Nov 06, 2017 0.15 0.15 0.1 0.1 18771.6 0.0
32 Nov 07, 2017 0.1 0.14 0.09 0.12 21793.8 0.0
33 Nov 08, 2017 0.12 0.14 0.12 0.12 13642.3 0.0
34 Nov 09, 2017 0.12 0.16 0.12 0.16 21440.8 0.0
35 Nov 10, 2017 0.16 0.16 0.12 0.12 33551.8 0.0
36 Nov 11, 2017 0.14 0.16 0.12 0.13 2136.32 0.0
37 Nov 12, 2017 0.13 0.15 0.12 0.14 12189.5 0.0
38 Nov 13, 2017 0.14 0.15 0.12 0.14 21381.4 0.0
39 Nov 14, 2017 0.14 0.15 0.13 0.14 34067.0 0.0
40 Nov 15, 2017 0.14 0.14 0.12 0.12 12694.8 0.0
41 Nov 16, 2017 0.12 0.17 0.12 0.14 81553.7 21866400.0
42 Nov 17, 2017 0.14 0.17 0.13 0.14 47732.7 25761900.0
43 Nov 18, 2017 0.14 0.15 0.13 0.14 21093.3 25069600.0
44 Nov 19, 2017 0.14 0.16 0.14 0.15 15465.5 26035000.0
45 Nov 20, 2017 0.15 0.19 0.14 0.16 73699.4 27860200.0
46 Nov 21, 2017 0.16 0.17 0.15 0.17 7051.49 28808100.0
47 Nov 22, 2017 0.17 0.19 0.17 0.19 31200.4 30197000.0
48 Nov 23, 2017 0.19 0.26 0.19 0.23 199411.0 34154500.0
49 Nov 24, 2017 0.23 0.23 0.2 0.22 46102.6 42282000.0
50 Nov 25, 2017 0.22 0.27 0.2 0.24 51676.6 40783200.0
51 Nov 26, 2017 0.24 0.27 0.21 0.23 42443.2 43926200.0
52 Nov 27, 2017 0.23 0.25 0.22 0.23 55006.3 41345300.0
53 Nov 28, 2017 0.23 0.25 0.22 0.24 28079.8 41827900.0
54 Nov 29, 2017 0.24 0.25 0.2 0.22 12540.9 44108500.0
55 Nov 30, 2017 0.22 0.25 0.2 0.25 142725.0 40362100.0
56 Dec 01, 2017 0.25 0.3 0.24 0.3 68615.4 45211300.0
57 Dec 02, 2017 0.3 0.33 0.29 0.31 74698.3 54578700.0
58 Dec 03, 2017 0.31 0.33 0.29 0.32 63048.0 56069000.0
