0 Aug 04, 2013 0.01 0.01 0.01 0.01 0.0 45921000.0
1 >Aug 05, 201 0.01 0.01 0.01 0.01 0.0 45928400.0
2 Aug 06, 2013 0.01 0.01 0.0 0.0 0.0 44067600.0
3 Aug 07, 2013 0.0 0.0 0.0 0.0 0.0 36503500.0
4 Aug 08, 2013 0.0 0.0 0.0 0.0 0.0 34372500.0
5 Aug 09, 2013 0.0 0.0 0.0 0.0 0.0 33282700.0
6 Aug 10, 2013 0.0 0.0 0.0 0.0 0.0 33547500.0
7 Aug 11, 2013 0.0 0.0 0.0 0.0 0.0 33725000.0
8 Aug 12, 2013 0.0 0.0 0.0 0.0 0.0 34511100.0
9 Aug 13, 2013 0.0 0.0 0.0 0.0 0.0 34893700.0
10 Aug 14, 2013 0.0 0.0 0.0 0.0 0.0 33359300.0
11 Aug 15, 2013 0.0 0.0 0.0 0.0 0.0 29615000.0
12 Aug 16, 2013 0.0 0.0 0.0 0.0 0.0 24092600.0
13 Aug 17, 2013 0.0 0.01 0.0 0.01 0.0 24533400.0
14 Aug 18, 2013 0.01 0.01 0.01 0.01 0.0 44458200.0
15 Aug 19, 2013 0.01 0.01 0.01 0.01 0.0 43678200.0
16 Aug 20, 2013 0.01 0.01 0.01 0.01 0.0 42031100.0
17 Aug 21, 2013 0.01 0.01 0.01 0.01 0.0 47675800.0
18 Aug 22, 2013 0.01 0.01 0.01 0.01 0.0 47928700.0
19 Aug 23, 2013 0.01 0.01 0.0 0.01 0.0 40487300.0
20 Aug 24, 2013 0.01 0.01 0.01 0.01 0.0 40176000.0
21 Aug 25, 2013 0.01 0.01 0.01 0.01 0.0 43198100.0
22 Aug 26, 2013 0.01 0.01 0.01 0.01 0.0 47719500.0
23 Aug 27, 2013 0.01 0.01 0.01 0.01 0.0 50569200.0
24 Aug 28, 2013 0.01 0.01 0.01 0.01 0.0 50433400.0
25 Aug 29, 2013 0.01 0.01 0.01 0.01 0.0 48829100.0
26 Aug 30, 2013 0.01 0.01 0.01 0.01 0.0 45034300.0
27 Aug 31, 2013 0.01 0.01 0.01 0.01 0.0 46223800.0
28 Sep 01, 2013 0.01 0.01 0.01 0.01 0.0 43960300.0
29 Sep 02, 2013 0.01 0.01 0.01 0.01 0.0 45334600.0
30 Sep 03, 2013 0.01 0.01 0.01 0.01 0.0 43139800.0
31 Sep 04, 2013 0.01 0.01 0.01 0.01 0.0 44248300.0
32 Sep 05, 2013 0.01 0.01 0.01 0.01 0.0 44529800.0
33 Sep 06, 2013 0.01 0.01 0.01 0.01 0.0 44698500.0
34 Sep 07, 2013 0.01 0.01 0.01 0.01 0.0 45756200.0
35 Sep 08, 2013 0.01 0.01 0.01 0.01 0.0 48251900.0
36 Sep 09, 2013 0.01 0.01 0.01 0.01 0.0 48417800.0
37 Sep 10, 2013 0.01 0.01 0.01 0.01 0.0 49079900.0
38 Sep 11, 2013 0.01 0.01 0.01 0.01 0.0 45397700.0
39 Sep 12, 2013 0.01 0.01 0.01 0.01 0.0 49152200.0
40 Sep 13, 2013 0.01 0.01 0.01 0.01 0.0 49521000.0
41 Sep 14, 2013 0.01 0.01 0.01 0.01 0.0 50930100.0
42 Sep 15, 2013 0.01 0.01 0.01 0.01 0.0 49633200.0
43 Sep 16, 2013 0.01 0.01 0.01 0.01 0.0 50785700.0
