0 Jun 28, 2017 0.06 0.06 0.06 0.06 13747700.0 0.0
1 Jun 29, 2017 0.06 0.06 0.05 0.05 18083200.0 194259000.0
2 Jun 30, 2017 0.05 0.05 0.04 0.04 10133300.0 179935000.0
3 Jul 01, 2017 0.04 0.05 0.04 0.04 10307200.0 154009000.0
4 Jul 02, 2017 0.04 0.04 0.04 0.04 7502210.0 152419000.0
5 Jul 03, 2017 0.04 0.07 0.04 0.06 28853300.0 148245000.0
6 Jul 04, 2017 0.06 0.07 0.05 0.06 18958100.0 195860000.0
7 Jul 05, 2017 0.06 0.06 0.05 0.05 11487700.0 197793000.0
8 Jul 06, 2017 0.05 0.06 0.05 0.05 10173100.0 174958000.0
9 Jul 07, 2017 0.05 0.05 0.04 0.04 7012400.0 174837000.0
10 Jul 08, 2017 0.04 0.04 0.04 0.04 6282280.0 153115000.0
11 Jul 09, 2017 0.04 0.04 0.04 0.04 3429300.0 154011000.0
12 Jul 10, 2017 0.04 0.04 0.03 0.03 6133140.0 140900000.0
13 Jul 11, 2017 0.03 0.03 0.02 0.03 7617130.0 106561000.0
14 Jul 12, 2017 0.03 0.03 0.02 0.03 5178400.0 87349600.0
15 Jul 13, 2017 0.03 0.03 0.03 0.03 5187090.0 108029000.0
16 Jul 14, 2017 0.03 0.03 0.02 0.03 3055070.0 97978500.0
17 Jul 15, 2017 0.03 0.03 0.02 0.02 2668550.0 88807400.0
18 Jul 16, 2017 0.02 0.02 0.02 0.02 2339710.0 81697900.0
19 Jul 17, 2017 0.02 0.03 0.02 0.03 3764400.0 81819800.0
20 Jul 18, 2017 0.03 0.03 0.02 0.03 5126630.0 90900700.0
21 Jul 19, 2017 0.03 0.03 0.03 0.03 4366050.0 100759000.0
22 Jul 20, 2017 0.03 0.03 0.03 0.03 3753830.0 92396800.0
23 Jul 21, 2017 0.03 0.04 0.03 0.04 11944800.0 104205000.0
24 Jul 22, 2017 0.04 0.08 0.04 0.08 38566700.0 132973000.0
25 Jul 23, 2017 0.08 0.1 0.07 0.08 159816000.0 291519000.0
26 Jul 24, 2017 0.08 0.09 0.07 0.08 48405700.0 291837000.0
27 Jul 25, 2017 0.08 0.08 0.05 0.06 52165600.0 264948000.0
28 Jul 26, 2017 0.06 0.06 0.05 0.06 51832700.0 204742000.0
29 Jul 27, 2017 0.06 0.06 0.06 0.06 27039600.0 206861000.0
30 Jul 28, 2017 0.06 0.06 0.05 0.05 17827200.0 204562000.0
31 Jul 29, 2017 0.05 0.05 0.05 0.05 17077400.0 187715000.0
32 Jul 30, 2017 0.05 0.05 0.05 0.05 8438260.0 186966000.0
33 Jul 31, 2017 0.05 0.06 0.05 0.05 17412400.0 175730000.0
34 Aug 01, 2017 0.05 0.06 0.05 0.06 23845300.0 188414000.0
35 Aug 02, 2017 0.06 0.06 0.05 0.05 15754800.0 191330000.0
36 Aug 03, 2017 0.05 0.06 0.05 0.06 15695800.0 189374000.0
37 Aug 04, 2017 0.06 0.06 0.06 0.06 16038900.0 194551000.0
38 Aug 05, 2017 0.06 0.07 0.06 0.07 37828900.0 197577000.0
39 Aug 06, 2017 0.07 0.07 0.06 0.06 24237700.0 228325000.0
40 Aug 07, 2017 0.06 0.07 0.06 0.07 40894300.0 214078000.0
41 Aug 08, 2017 0.07 0.08 0.07 0.07 35787700.0 246253000.0
42 Aug 09, 2017 0.07 0.07 0.06 0.07 18237500.0 251340000.0
