0 Aug 12, 2016 0.01 0.01 0.01 0.01 48503.9 0.0
1 Aug 13, 2016 0.01 0.02 0.01 0.01 156217.0 1095050.0
2 Aug 14, 2016 0.01 0.03 0.01 0.02 603562.0 1412140.0
3 >Aug 15, 201 0.02 0.03 0.02 0.02 221564.0 2355090.0
4 Aug 16, 2016 0.02 0.03 0.02 0.03 218752.0 2342370.0
5 Aug 17, 2016 0.03 0.03 0.02 0.03 153193.0 2775420.0
6 Aug 18, 2016 0.03 0.03 0.02 0.02 121468.0 2682320.0
7 Aug 19, 2016 0.02 0.02 0.02 0.02 68361.6 2419540.0
8 Aug 20, 2016 0.02 0.02 0.02 0.02 36073.5 2032670.0
9 Aug 21, 2016 0.02 0.02 0.02 0.02 17146.1 2013740.0
10 Aug 22, 2016 0.02 0.02 0.02 0.02 40105.3 2024960.0
11 Aug 23, 2016 0.02 0.02 0.02 0.02 117115.0 2155460.0
12 Aug 24, 2016 0.02 0.02 0.02 0.02 26100.3 2179290.0
13 Aug 25, 2016 0.02 0.02 0.02 0.02 35593.1 2054090.0
14 Aug 26, 2016 0.02 0.02 0.02 0.02 50463.3 1812710.0
15 Aug 27, 2016 0.02 0.03 0.02 0.02 78506.6 2230530.0
16 Aug 28, 2016 0.02 0.03 0.02 0.02 52311.4 2292440.0
17 Aug 29, 2016 0.02 0.02 0.02 0.02 37867.3 2069720.0
18 Aug 30, 2016 0.02 0.02 0.02 0.02 13574.9 2076630.0
19 Aug 31, 2016 0.02 0.02 0.02 0.02 24222.1 1985060.0
20 Sep 01, 2016 0.02 0.02 0.02 0.02 16398.4 2087530.0
21 Sep 02, 2016 0.02 0.02 0.02 0.02 21842.1 2166520.0
22 Sep 03, 2016 0.02 0.02 0.02 0.02 32278.5 2277710.0
23 Sep 04, 2016 0.02 0.02 0.02 0.02 26275.1 2307380.0
24 Sep 05, 2016 0.02 0.02 0.02 0.02 11452.5 2170140.0
25 Sep 06, 2016 0.02 0.03 0.02 0.02 33508.2 2194620.0
26 Sep 07, 2016 0.02 0.03 0.02 0.03 45574.5 2410550.0
27 Sep 08, 2016 0.03 0.03 0.03 0.03 24367.9 2711680.0
28 Sep 09, 2016 0.03 0.03 0.03 0.03 41129.6 2555210.0
29 Sep 10, 2016 0.03 0.05 0.03 0.05 210228.0 2994550.0
30 Sep 11, 2016 0.05 0.05 0.04 0.04 278851.0 4819890.0
31 Sep 12, 2016 0.04 0.04 0.03 0.03 138431.0 3698340.0
32 Sep 13, 2016 0.03 0.04 0.03 0.04 78786.8 3412010.0
33 Sep 14, 2016 0.04 0.04 0.03 0.04 73879.1 3621680.0
34 Sep 15, 2016 0.04 0.04 0.04 0.04 96253.8 3610900.0
