0 Feb 25, 2015 1.21 1.22 1.21 1.21 5.98 304476.0
1 Feb 26, 2015 1.21 1.21 1.19 1.21 5.96 304542.0
2 Mar 02, 2015 0.57 0.61 0.57 0.61 3.03 143726.0
3 >Mar 03, 201 0.6 0.61 0.6 0.61 3.03 152250.0
4 Mar 06, 2015 1.0 1.0 1.0 1.0 92.65 251600.0
5 Mar 07, 2015 1.0 1.0 1.0 1.0 58196.8 251600.0
6 Mar 08, 2015 1.0 1.0 1.0 1.0 31.14 251600.0
7 Mar 09, 2015 1.0 1.0 1.0 1.0 143.0 251600.0
8 Mar 10, 2015 1.0 1.0 1.0 1.0 49996.7 251600.0
9 Mar 11, 2015 1.0 1.0 1.0 1.0 49.31 251600.0
10 Mar 12, 2015 1.0 1.0 1.0 1.0 80418.3 251600.0
11 Mar 13, 2015 1.0 1.0 1.0 1.0 75.28 251600.0
12 Mar 14, 2015 1.0 1.0 1.0 1.0 17705.1 251600.0
13 Mar 15, 2015 1.0 1.0 1.0 1.0 15124.5 251600.0
14 Mar 16, 2015 1.0 1.0 1.0 1.0 49631.5 251600.0
15 Mar 17, 2015 1.0 1.0 1.0 1.0 4284.02 251600.0
16 Mar 18, 2015 1.0 1.0 1.0 1.0 202.34 251600.0
17 Mar 19, 2015 1.0 1.0 1.0 1.0 713.95 251600.0
18 Mar 20, 2015 1.0 1.0 1.0 1.0 132.73 251600.0
19 Mar 21, 2015 1.0 1.0 1.0 1.0 206.27 251600.0
20 Mar 22, 2015 1.0 1.0 1.0 1.0 66.68 251600.0
21 Mar 23, 2015 1.0 1.0 1.0 1.0 65.84 251600.0
22 Mar 24, 2015 1.0 1.0 1.0 1.0 1179.44 251600.0
23 Mar 25, 2015 1.0 1.0 1.0 1.0 92.35 251600.0
24 Mar 26, 2015 1.0 1.0 1.0 1.0 2.31 251600.0
25 Mar 27, 2015 1.0 1.0 1.0 1.0 4.79 251600.0
26 Mar 28, 2015 1.0 1.0 1.0 1.0 17.04 251600.0
27 Mar 29, 2015 1.0 1.0 1.0 1.0 20.64 251600.0
28 Mar 30, 2015 1.0 1.0 1.0 1.0 494.7 251600.0
29 Mar 31, 2015 1.0 1.0 1.0 1.0 37.05 251600.0
30 Apr 01, 2015 1.0 1.0 1.0 1.0 14.49 251600.0
31 Apr 02, 2015 1.0 1.0 1.0 1.0 79969.9 251600.0
32 Apr 03, 2015 1.0 1.0 1.0 1.0 8887.17 251600.0
33 Apr 04, 2015 1.0 1.0 1.0 1.0 2018.25 251600.0
34 >Apr 05, 201 1.0 1.0 1.0 1.0 2887.05 251600.0
35 Apr 06, 2015 1.0 1.0 1.0 1.0 254.3 251600.0
36 Apr 07, 2015 1.0 1.0 1.0 1.0 19179.0 251600.0
37 Apr 08, 2015 1.0 1.0 1.0 1.0 1024.2 251600.0
38 Apr 09, 2015 1.0 1.0 1.0 1.0 100949.0 251600.0
39 Apr 10, 2015 1.0 1.0 1.0 1.0 470.23 251600.0
40 Apr 11, 2015 1.0 1.0 1.0 1.0 2868.8 251600.0
41 Apr 12, 2015 1.0 1.0 1.0 1.0 1970.79 251600.0
42 Apr 13, 2015 1.0 1.0 1.0 1.0 46026.0 251600.0
43 Apr 14, 2015 1.0 1.0 1.0 1.0 50323.8 251600.0
44 Apr 15, 2015 1.0 1.0 1.0 1.0 40700.2 251600.0
45 Apr 16, 2015 1.0 1.0 1.0 1.0 46909.2 251600.0
46 Apr 17, 2015 1.0 1.0 1.0 1.0 50.48 251600.0
47 Apr 18, 2015 1.0 1.0 1.0 1.0 48.97 251600.0
48 Apr 19, 2015 1.0 1.0 1.0 1.0 21.93 251600.0
49 Apr 20, 2015 1.0 1.0 1.0 1.0 38.26 251600.0
50 Apr 21, 2015 1.0 1.0 1.0 1.0 85932.7 251600.0
51 Apr 22, 2015 1.0 1.0 1.0 1.0 40305.6 251600.0
52 Apr 23, 2015 1.0 1.0 1.0 1.0 21632.0 251600.0
53 Apr 24, 2015 1.0 1.0 1.0 1.0 20261.8 251600.0
54 Apr 25, 2015 1.0 1.0 1.0 1.0 26.46 251600.0
55 Apr 26, 2015 1.0 1.0 1.0 1.0 555.44 251600.0
56 Apr 27, 2015 1.0 1.0 1.0 1.0 17806.2 251600.0
57 Apr 28, 2015 1.0 1.0 1.0 1.0 42628.1 251600.0
58 Apr 29, 2015 1.0 1.0 1.0 1.0 12.19 251600.0
59 Apr 30, 2015 1.0 1.0 1.0 1.0 613.07 251600.0
60 May 01, 2015 1.0 1.0 1.0 1.0 48.38 251600.0
61 May 02, 2015 1.0 1.0 1.0 1.0 3.99 251600.0
62 May 03, 2015 1.0 1.0 1.0 1.0 1517.87 251600.0
63 May 04, 2015 1.0 1.0 1.0 1.0 83170.8 251600.0
64 May 05, 2015 1.0 1.0 1.0 1.0 21.43 251600.0
65 >May 06, 201 1.0 1.0 1.0 1.0 10.19 251600.0
66 May 07, 2015 1.0 1.0 1.0 1.0 120.48 251600.0
67 May 08, 2015 1.0 1.0 1.0 1.0 545.5 251600.0
68 May 09, 2015 1.0 1.0 1.0 1.0 170.77 251600.0
69 May 10, 2015 1.0 1.0 1.0 1.0 2466.13 251600.0
70 May 11, 2015 1.0 1.0 1.0 1.0 583.83 251600.0
71 May 12, 2015 1.0 1.0 1.0 1.0 5.22 251600.0
72 May 13, 2015 1.0 1.0 1.0 1.0 0.11 251600.0
73 May 14, 2015 1.0 1.0 1.0 1.0 2184.61 251600.0
74 May 15, 2015 1.0 1.0 1.0 1.0 92.12 251600.0
75 May 16, 2015 1.0 1.0 1.0 1.0 297.45 251600.0
76 May 17, 2015 1.0 1.0 1.0 1.0 682.92 251600.0
77 May 18, 2015 1.0 1.0 1.0 1.0 31.39 251600.0
78 May 19, 2015 1.0 1.0 1.0 1.0 25358.7 451600.0
79 May 20, 2015 1.0 1.0 1.0 1.0 21978.9 451600.0
80 May 21, 2015 1.0 1.0 1.0 1.0 53849.1 451600.0
81 May 22, 2015 1.0 1.0 1.0 1.0 20209.3 451600.0
82 May 23, 2015 1.0 1.0 1.0 1.0 30.02 451600.0
83 May 24, 2015 1.0 1.0 1.0 1.0 5381.64 451600.0
84 May 25, 2015 1.0 1.0 1.0 1.0 2845.86 451600.0
85 May 26, 2015 1.0 1.0 1.0 1.0 1243.75 451600.0
86 May 27, 2015 1.0 1.0 1.0 1.0 28001.7 451600.0
87 May 28, 2015 1.0 1.0 1.0 1.0 70611.5 451600.0
88 May 29, 2015 1.0 1.0 1.0 1.0 16640.4 451600.0
89 May 30, 2015 1.0 1.0 1.0 1.0 12447.9 451600.0
90 May 31, 2015 1.0 1.0 1.0 1.0 2522.38 451600.0
91 Jun 01, 2015 1.0 1.0 1.0 1.0 40887.4 451600.0
92 Jun 02, 2015 1.0 1.0 1.0 1.0 75455.7 451600.0
93 Jun 03, 2015 1.0 1.0 1.0 1.0 24994.2 451600.0
94 Jun 04, 2015 1.0 1.0 1.0 1.0 151.84 451600.0
95 Jun 05, 2015 1.0 1.0 1.0 1.0 21.51 451600.0
96 Jun 06, 2015 1.0 1.0 1.0 1.0 30.22 451600.0
97 Jun 07, 2015 1.0 1.0 1.0 1.0 1547.45 451600.0
98 Jun 08, 2015 1.0 1.0 1.0 1.0 126.16 451600.0
99 Jun 09, 2015 1.0 1.0 1.0 1.0 323.21 451600.0
100 Jun 10, 2015 1.0 1.0 1.0 1.0 45550.9 451600.0
101 Jun 11, 2015 1.0 1.0 1.0 1.0 50162.4 451600.0
102 Jun 12, 2015 1.0 1.0 1.0 1.0 41981.0 451600.0
103 Jun 13, 2015 1.0 1.0 1.0 1.0 1635.93 451600.0
104 Jun 14, 2015 1.0 1.0 1.0 1.0 1348.71 451600.0
105 Jun 15, 2015 1.0 1.0 1.0 1.0 262077.0 451600.0
106 Jun 16, 2015 1.0 1.0 1.0 1.0 204282.0 451600.0
107 Jun 17, 2015 1.0 1.0 1.0 1.0 7822.33 451600.0
108 Jun 18, 2015 1.0 1.0 1.0 1.0 33803.6 451600.0
109 Jun 19, 2015 1.0 1.0 1.0 1.0 10983.2 451600.0
110 Jun 20, 2015 1.0 1.0 1.0 1.0 2423.98 451600.0
111 Jun 21, 2015 1.0 1.0 1.0 1.0 370.88 451600.0
112 Jun 22, 2015 1.0 1.0 1.0 1.0 403.56 451600.0
113 Jun 23, 2015 1.0 1.0 1.0 1.0 19972.7 451600.0
114 Jun 24, 2015 1.0 1.0 1.0 1.0 633456.0 451600.0
115 Jun 25, 2015 1.0 1.0 1.0 1.0 63844.8 451600.0
116 Jun 26, 2015 1.0 1.0 1.0 1.0 3128.97 451600.0
117 Jun 27, 2015 1.0 1.0 1.0 1.0 668536.0 451600.0
118 Jun 28, 2015 1.0 1.0 1.0 1.0 409.44 451600.0
119 Jun 29, 2015 1.0 1.0 1.0 1.0 3121.38 451600.0
120 Jun 30, 2015 1.0 1.0 1.0 1.0 472575.0 451600.0
121 Jul 01, 2015 1.0 1.0 1.0 1.0 110325.0 451600.0
