ico_name,date,year,website,age_days,country,region,industry,hardcap,money_raised,pct_complete,sol_pct_complete,hardcap_reached,token_prx,followers,team_size,cum_years_experience,accredited_advisors,media_mentions,listing_prx,token_prx_1m,token_prx_3m,token_prx,log_rets_1m,log_rets_3m,log_rets
Internxt,9/28/2017,17,https://internxt.io/,95,Spain,5,SaaS,41000000,220800,0.54,54,0,1.02,1189,6,8,0,4,1.74,1.98,19.82,16.68,0.13,2.43,2.13
Solomon Exchange,9/27/2017,17,https://solomonex.info/,96,Caynman Islands,7,Fintech,15000000,156775,1.05,105,0,1,0,3,0,0,3,0,0,0,0,NaN,NaN,NaN
Hackspace Capital,9/20/2017,17,https://hackspace.capital/,103,Cyprus,5,Crowdfunding,90000000,5094934,5.66,566,0,0.09,556,9,-1,0,4,0.06,0.04,0.04,0.04,-0.41,-0.41,0
Impak Finance,9/20/2017,17,https://mpk.impak.eco/en/,103,Canada,1,Fintech,9315000,1131429,12.15,1215,0,0.81,2191,8,100,5,6,0.81,1.67,0,0,0.72,NaN,NaN
Modum.io,9/22/2017,17,https://modum.io/,101,Switzerland,6,Data Services,16400000,13350000,81.4,8140,0,1,11800,16,-1,2,3,0.49,0.49,2.25,6.72,0,1.52,2.62
DetectorToken,9/20/2017,17,https://detectortoken.com/,103,Poland,5,Fintech,5092971,290000,5.69,569,0,0.42,3859,3,-1,0,2,0.42,0.1,0.03,0.07,-1.44,-2.64,-0.36
SilentNotary,9/18/2017,17,https://silentnotary.com/,105,Belize,10,Legal,15000000,0,0,0,0,0.01,2145,15,100,0,0,0,0,0,NaN,NaN,NaN,NaN
Intelligent Trading Tech,9/17/2017,17,http://intelligenttrading.org/,106,Hong Kong,7,Fintech,5460000,2012440,36.86,3686,0,0.36,458,8,15,2,0,0.19,0.19,0.23,0.2,0,0.19,0.05
KyberNetwork,9/16/2017,17,https://kyber.network/,107,Singapore,7,Fintech,46000000,46000000,100,10000,1,0.38,6124,3,0,2,7,1.85,1.16,1.62,2.67,-0.47,-0.13,0.83
KICKICO,9/16/2017,17,https://www.kickico.com/zh/,107,Russia,2,Crowdfunding,12800000,21581925,168.61,16861,1,0.085,5550,6,52,6,5,0.28,0.08,0.04,0.05,-1.25,-1.95,-0.47
Smart Investment Fund Token,9/15/2017,17,https://smartift.com/,108,USA,1,Fintech,-1,1728440,NaN,NaN,0,2.6,602,2,-1,0,0,4.43,7.79,2.64,6.02,0.56,-0.52,-0.26
