age,region,industry,hardcap,raised,telegram,team,N_google_news,N_twitter,price,ret_ico_to_day_one
448.0,7.0,0,15000000.0,15000000.0,14064.0,18.0,1.0,166554.0,0.3,19.633
259.0,8.0,6,42750000.0,42750000.0,21041.0,41.0,1.0,105421.0,0.11,3.5189999999999997
572.0,5.0,4,8000000.0,8000000.0,593.0,15.0,1.0,140331.0,0.01,70.057
219.0,3.0,7,35990000.0,35990000.0,47045.0,42.0,1.0,105550.0,0.34,11.382
174.0,1.0,4,60000000.0,60000000.0,12023.0,19.0,1.0,22937.0,2.0,1.17
137.0,3.0,7,94073200.0,94073200.0,17224.0,58.0,2.0,22911.0,18.09,1.2590000000000001
169.0,1.0,4,30881582.0,30881582.0,68841.0,9.0,5.0,242455.0,0.1,0.8059999999999999
219.0,5.0,3,27478671.0,1923507.0,1462.0,19.0,6.0,110.0,0.0,0.0
118.0,7.0,2,42185216.0,42185216.0,10891.0,20.0,4.0,8042.0,2.06,0.5920000000000001
267.0,1.0,0,44516129.0,13800000.0,12628.0,6.0,2.0,1159.0,0.07,-0.33299999999999996
231.0,4.0,0,39934610.0,39934610.0,49486.0,15.0,1.0,125454.0,0.01,6.736000000000001
41.0,7.0,5,20388500.0,20388500.0,8041.0,8.0,4.0,5201.0,0.0002,2.84
183.0,1.0,2,30716420.0,30716420.0,9923.0,8.0,1.0,27350.0,0.0113,0.43
176.0,3.0,1,10000000.0,10000000.0,55411.0,13.0,4.0,17116.0,0.1,2.489
355.0,6.0,2,267000000.0,26700000.0,7401.0,4.0,4.0,65303.0,2.88,-0.142
351.0,1.0,4,33000000.0,33000000.0,8904.0,2.0,6.0,87681.0,0.1,0.767
317.0,3.0,5,27478671.0,1923507.0,1462.0,8.0,1.0,36484.0,0.0,0.0
277.0,2.0,4,12513346.0,12513346.0,2352.0,11.0,1.0,6488.0,0.05,0.5579999999999999
171.0,6.0,4,32847814.0,32847814.0,15776.0,9.0,2.0,17182.0,0.1,14.2
234.0,5.0,2,33600000.0,33600000.0,13848.0,7.0,1.0,770.0,0.06,0.013000000000000001
239.0,2.0,0,15000000.0,15000000.0,7942.0,12.0,5.0,39409.0,0.01,1.258
100.0,5.0,1,16857899.0,16857899.0,13220.0,11.0,3.0,6848.0,0.0217,-0.258
125.0,1.0,0,45000000.0,45000000.0,38122.0,4.0,5.0,33939.0,0.5,1.54
126.0,7.0,4,19500000.0,19500000.0,23125.0,10.0,4.0,33274.0,0.12,4.648
203.0,1.0,4,12500000.0,12500000.0,10771.0,19.0,1.0,306.0,0.07,8.064
162.0,7.0,4,16872258.0,15691200.0,21538.0,9.0,1.0,3798.0,0.02,0.56
130.0,3.0,4,25000000.0,25000000.0,34981.0,11.0,1.0,12924.0,0.0,0.0
144.0,3.0,7,22000000.0,22000000.0,73963.0,15.0,2.0,30153.0,0.0352,-0.18600000000000003
173.0,6.0,4,80932262.0,23470356.0,5484.0,21.0,2.0,16002.0,0.46,-0.01
226.0,1.0,4,39998333.0,21599100.0,3724.0,18.0,1.0,6528.0,0.42,-0.948
100.0,7.0,4,22570394.0,22570394.0,27946.0,9.0,6.0,19793.0,0.17,1.4
145.0,5.0,2,51656963.0,51656963.0,33884.0,15.0,10.0,16520.0,1.5,0.54
205.0,2.0,2,23639433.0,2836732.0,8103.0,10.0,8.0,19526.0,1.0,1.68
229.0,6.0,3,98507061.0,32507330.0,4235.0,20.0,5.0,17165.0,0.29,-0.45
142.0,5.0,4,21513600.0,21513600.0,10077.0,11.0,5.0,552.0,0.1,1.364
158.0,6.0,0,30000000.0,30000000.0,2165.0,9.0,5.0,6531.0,0.25,0.6890000000000001
166.0,6.0,0,20021300.0,20021300.0,46002.0,6.0,2.0,54623.0,0.78,1.423
190.0,5.0,0,17860000.0,17860000.0,18962.0,25.0,4.0,46751.0,0.02,-0.069
160.0,8.0,0,25000000.0,25000000.0,20972.0,19.0,2.0,25566.0,0.001,5.031000000000001
243.0,3.0,2,14508923.0,14508923.0,6373.0,11.0,2.0,33199.0,0.03,0.8490000000000001
235.0,6.0,4,51253689.0,27676992.0,5431.0,5.0,3.0,25857.0,2.3,0.035
343.0,2.0,2,10000000.0,10000000.0,4554.0,16.0,2.0,56645.0,0.24,3.089
94.0,4.0,2,20000000.0,20000000.0,14279.0,13.0,2.0,10643.0,0.0,0.0
235.0,1.0,4,26000000.0,26000000.0,4221.0,11.0,1.0,7818.0,0.37,-0.02
402.0,4.0,2,12782000.0,12782000.0,3.0,8.0,1.0,18986.0,0.54,0.9259999999999999
69.0,7.0,2,8561100.0,8561100.0,15105.0,17.0,2.0,16850.0,0.0333,2.483
175.0,7.0,4,29959508.0,21271251.0,5616.0,17.0,2.0,10934.0,0.02,-0.006
93.0,9.0,0,30000000.0,30000000.0,64726.0,27.0,8.0,11062.0,0.5,-0.039
200.0,6.0,4,21000000.0,21000000.0,13054.0,26.0,9.0,28536.0,0.07,1.993
126.0,7.0,4,40000000.0,40000000.0,51357.0,20.0,4.0,36255.0,0.13,0.35
170.0,7.0,4,15300000.0,15300000.0,11796.0,18.0,3.0,27481.0,0.1,34.3
137.0,7.0,0,50000000.0,50000000.0,47843.0,21.0,1.0,888.0,0.0119,1.093
127.0,4.0,3,23991953.0,23991953.0,26927.0,10.0,3.0,15885.0,0.2,0.588
158.0,1.0,4,81217069.0,41420705.0,13520.0,11.0,3.0,444.0,0.7,1.714
295.0,5.0,4,43000000.0,30100000.0,4815.0,13.0,1.0,14959.0,0.56,-0.284
