coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos,11 Jun 2017,26 Jun 2017,15.0,324.0,1,blockchain,4,4658000.0,N/A,N/A,0.99,51728,30,N/A,0.02,13613000,0.19,0.09,1.35,1.31,0.082,1.473,0.015,0.017
iota,24 Nov 2017,20 Dec 2017,26.0,147.0,12,saas,N/A,N/A,N/A,N/A,N/A,2,10,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tron,07 Sep 2017,08 Sep 2017,1.0,250.0,3,blockchain,1,70000000.0,70000000.0,1.0,0.0,406,20,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
neo,8 Aug 2017,7 Sep 2017,30.0,251.0,3,blockchain,15,28056944.0,N/A,N/A,1.0,5,32,319206,-0.44,1349,0.12,0.08,1.33,1.29,0.039,-0.683,0.018,0.007
icon,22 Sep 2017,22 Sep 2017,0.0,236.0,8,transportation,41,42750000.0,42800000.0,1.0,0.11,20942,30,101210,3.52,71509,0.34,0.32,5.1,5.04,-0.09,-1.905,0.02,0.021
qtum,12 Mar 2017,17 Mar 2017,5.0,425.0,7,blockchain,18,15600000.0,N/A,N/A,0.29,14137,6,162942,20.34,11221600,0.23,0.06,0.98,0.92,0.07,0.698,0.009,0.008
omisego,23 Jun 2017,23 Jul 2017,30.0,297.0,7,fintech,5,25000000.0,25000000.0,1.0,0.35,N/A,13,274190,0.66,750698,0.37,0.31,4.86,4.81,-0.062,-1.105,0.017,0.007
zilliqa,27 Dec 2017,04 Jan 2018,8.0,132.0,12,blockchain,N/A,22000000.0,22000000.0,1.0,0.0,29162,5,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
aeternity,29 May 2017,19 Jun 2017,21.0,331.0,5,saas,15,12500000.0,N/A,N/A,0.28,N/A,3,276,1.48,1518,0.39,0.09,1.42,1.43,0.024,-1.089,0.018,0.01
0x,15 Aug 2017,15 Sep 2017,31.0,243.0,1,saas,6,24000000.0,24000000.0,1.0,0.05,N/A,0,43199,3.49,5232600,0.23,0.12,1.97,1.94,-0.25,0.181,0.017,0.013
wanchain,01 Oct 2017,01 Nov 2017,31.0,196.0,3,blockchain,17,35990000.0,36000000.0,1.0,0.34,48257,0,N/A,11.38,189439000,0.18,1.41,2.83,2.79,-0.573,-1.582,0.011,0.012
