coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
eos, 11 Jun 2017, 26 Jun 2017,15.0,482.0,1, blockchain,4,4197956135.0,4197956135.0,1.0,0.99,74850,0,192064,2,149, High, Medium,N/A,0.0202,13613000,0.185,0.085,1.348,1.328,0.062,1.027,0.009,0.009
icon, 22 Sep 2017, 22 Sep 2017,0.0,394.0,8, blockchain,30,45000000.0,45000000.0,1.0,0.1052,19996,0,112672,1,124, Stable, Medium,N/A,3.72483,71509,0.341,0.319,5.064,5.038,-0.097,-1.538,0.008,0.008
pundi-x, 21 Jan 2018, 21 Jan 2018,0.0,273.0,12, blockchain,4,35000000.0,35000000.0,1.0,2.1,28852,0,52683,1,152, High, N/A,N/A,-0.99953,970635,-0.194,0.286,4.543,4.513,-0.451,-3.357,0.009,0.009
electroneum, 14 Sep 2017, 20 Oct 2017,36.0,366.0,4, other,12,39934610.0,39934610.0,1.0,0.01,13178,1,129995,5,367, Medium, Low,0.84,6.7363,2464330,-0.137,0.079,1.255,1.23,0.063,-0.571,0.002,0.003
holo, 29 Mar 2018, 28 Apr 2018,30.0,176.0,7, saas,10,19389382.0,19389382.0,1.0,0.0001,11074,1,11802,1,126, High, N/A,0.56,6.68,5764530,0.254,-0.036,-0.573,-0.618,-0.079,-0.346,0.007,0.007
wanchain, 01 Oct 2017, 01 Nov 2017,31.0,354.0,3, blockchain,31,35990000.0,35990000.0,1.0,0.34,38535,0,111600,1,126, High, Low,N/A,11.38235,189439008,0.181,0.06,0.948,0.896,-0.337,-2.646,-0.004,-0.004
aion, 24 Nov 2017, 24 Dec 2017,30.0,301.0,1, blockchain,8,27000000.0,27000000.0,1.0,1.0,50505,1,66522,2,227, High, N/A,N/A,-0.37443,20958,0.115,0.215,3.413,3.393,-0.135,-0.945,0.008,0.008
loopring, 1 Aug 2017, 16 Aug 2017,15.0,431.0,3, fintech,3,45000000.0,45000000.0,1.0,0.06,4911,0,28949,2,114, Stable+, High,0.58,0.74683,200829,-0.054,0.123,1.952,1.924,-0.133,-1.264,0.007,0.004
cybermiles, 21 Nov 2017, 21 Dec 2017,30.0,304.0,1, blockchain,9,30881582.0,30881582.0,1.0,0.103,48770,1,297552,1,130, VeryHigh, Medium,0.76,0.75348,12580000,-0.099,0.014,0.228,0.2,-0.031,-0.024,0.002,0.002
nexo, 1 Apr 2018, 1 Apr 2018,0.0,203.0,6, fintech,14,52500000.0,52500000.0,1.0,0.1,51070,6,39099,2,209, Medium, N/A,0.8,0.85004,3226150,0.044,-0.037,-0.591,-0.639,-0.457,-3.09,-0.0,-0.0
