coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
bitnautic,11 Jul 2018,30 Sep 2018,81.0,54.0,6,transportation,13,16132900.0,16295859.0,0.99,0.4648,58800,0,6919,1.5,138.0,High,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
aenco,1 Sep 2018,30 Sep 2018,29.0,54.0,12,other,15,16456000.0,60948148.0,0.27,0.1,7917,0,3977,4.0,190.0,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
fintechfans,01 Sep 2018,30 Sep 2018,29.0,54.0,5,other,6,397813.0,13260433.0,0.03,1.2,482,0,1104,3.2,108.0,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
gabro,31 Jul 2018,30 Sep 2018,61.0,54.0,7,ecommerce,11,4570000.0,50777778.0,0.09,0.0465,28865,0,1768,1.3,90.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
destream,1 Aug 2018,30 Sep 2018,60.0,54.0,5,gaming,18,5600000.0,11914894.0,0.47,0.006,26700,0,3316,1.7,182.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
pingpaid,1 Jul 2018,30 Sep 2018,91.0,54.0,12,fintech,7,5072578.0,33817187.0,0.15,0.2054,8344,0,2637,4.3,205.0,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
medibit,01 Jul 2018,30 Sep 2018,91.0,54.0,7,other,14,688349.0,3441745.0,0.2,0.0,19830,0,11318,1.0,39.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tutellus,12 Jun 2018,30 Sep 2018,110.0,54.0,5,social services,5,4000000.0,20000000.0,0.2,0.05,8048,0,4533,1.0,141.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
emmares,5 May 2018,30 Sep 2018,148.0,54.0,3,other,14,2365000.0,8155172.0,0.29,0.12,7035,0,4835,2.2,178.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
angenium,01 Sep 2018,30 Sep 2018,29.0,55.0,5,other,16,2135000.0,106750000.0,0.02,1.0,990,0,648,1.0,128.0,Low,VeryHigh,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
