coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
power-ledger,8 Sep 2017,6 Oct 2017,28.0,412.0,9,energy,17,13232290.0,N/A,N/A,0.088,N/A,1,86214,1.7,130.0,High,Medium,N/A,-0.36738,1017460,0.512,0.32,5.074,5.057,0.092,-0.021,0.007,0.007
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,372.0,2,fintech,10,2836724.0,31519156.0,0.09,1.0,8688,1,20653,2.2,252.0,VeryHigh,Medium,N/A,1.68,683667,0.386,0.27,4.287,4.266,-0.039,-1.1,0.008,0.008
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,387.0,7,gaming,8,22959609.0,24956097.0,0.92,0.0304,5404,8,34379,1.3,111.0,N/A,N/A,0.84,-0.34102,742008,0.026,0.278,4.415,4.392,-0.115,-1.465,0.006,0.006
request-network,13 Oct 2017,17 Oct 2017,4.0,401.0,5,fintech,7,33600000.0,33600000.0,1.0,0.0632,11209,1,42316,1.9,123.0,VeryHigh,Medium,0.92,-0.03824,5914220,0.117,0.262,4.163,4.133,-0.149,-1.13,0.002,0.003
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,364.0,7,other,4,14360000.0,14360000.0,1.0,0.0203,34374,2,15696,1.4,95.0,N/A,N/A,N/A,0.73468,10625600,0.332,0.198,3.14,3.12,-0.093,1.368,-0.0,-0.0
poa-network,17 Nov 2017,17 Nov 2017,0.0,370.0,1,other,15,12500000.0,12500000.0,1.0,0.072,N/A,4,318,2.3,311.0,N/A,N/A,0.62,7.81215,79376200,-0.336,0.061,0.971,0.939,-0.144,-1.661,-0.007,-0.007
deepbrain-chain,15 Dec 2017,15 Dec 2017,0.0,342.0,7,other,5,11755200.0,11755200.0,1.0,0.0158,2987,1,N/A,N/A,N/A,High,N/A,N/A,4.8131,18387700,0.288,0.086,1.362,1.34,-0.204,-1.615,-0.004,-0.004
zen-protocol,30 Nov 2017,30 Dec 2017,30.0,327.0,12,other,8,46000000.0,46000000.0,1.0,3.8683,4919,0,2718,1.8,97.0,Low,Medium,N/A,-0.8026,14109,-0.017,-0.121,-1.926,-1.966,-0.231,-2.391,-0.006,-0.006
decentbet,22 Sep 2017,20 Oct 2017,28.0,398.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,N/A,N/A,Low,High,N/A,0.81528,26234,-0.027,0.147,2.341,2.322,-0.281,-2.918,0.001,0.002
divi,25 Oct 2017,21 Nov 2017,27.0,366.0,12,other,15,2592064.0,2592064.0,1.0,0.62,1716,0,5411,1.4,131.0,Medium,Low,N/A,-0.98771,11780,0.106,0.84,1.681,1.641,0.218,1.607,-0.003,-0.003
