coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
amo-coin,14 Jul 2018,21 Jul 2018,7.0,124.0,7,other,48,N/A,2288000.0,N/A,0.0022,17663,1,1259,2.3,151.0,N/A,N/A,N/A,-0.31318,6564,0.219,0.093,1.476,1.444,0.316,2.678,0.008,0.007
litecoin-cash,2 Apr 2018,1 Jul 2018,90.0,144.0,4,other,3,N/A,N/A,N/A,1.6,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,1.94375,1828460,-0.119,-0.065,-1.033,-1.046,-0.572,-5.421,-0.012,-0.012
ubcoin-market,2 Apr 2018,27 Aug 2018,147.0,87.0,12,other,6,7477737.0,7477737.0,1.0,0.0343,1996,0,16881,1.7,109.0,N/A,N/A,N/A,-0.64169,19258,-0.154,-0.204,-3.239,-3.282,-0.625,-2.257,-0.023,-0.02
game-stars,10 May 2018,9 Jul 2018,60.0,137.0,7,other,1,2180762.0,7519869.0,0.29,0.035,551,0,307,2.0,117.0,N/A,N/A,0.74,-0.98771,568254,0.166,1.314,2.628,2.613,0.797,4.094,0.023,0.018
asura-coin,2 Jun 2018,31 Jul 2018,59.0,115.0,9,gaming,8,4058000.0,11935294.0,0.34,0.0062,16633,0,8167,1.5,91.0,High,N/A,N/A,-0.76694,54152,0.213,1.694,3.388,3.363,0.324,2.093,0.007,0.005
starcoin,25 Jun 2018,01 Aug 2018,37.0,114.0,12,other,N/A,6945.0,N/A,0.0,N/A,N/A,1,1659,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
moozicore,01 Aug 2018,28 Aug 2018,27.0,87.0,5,other,5,N/A,2102540.0,N/A,0.01,2374,0,1245,2.2,197.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
joys,21 Jun 2018,04 Sep 2018,75.0,80.0,2,fintech,18,27985.0,N/A,0.0,0.04,2300,0,146,1.8,176.0,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
lvx,01 Jul 2018,23 Sep 2018,84.0,61.0,3,other,6,N/A,75000000.0,N/A,0.125,N/A,0,792,2.0,157.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
eiplatform,07 Jul 2018,28 Jul 2018,21.0,118.0,5,other,18,N/A,30000000.0,N/A,N/A,39,0,5217,1.0,129.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
