['pundi-x', '21 Jan 2018', '21 Jan 2018', 0.0, 305.0, '21 Jan 2018', '31 Jan 2018', 10.0, 295.0, '20 Jan 2018', '30 Jan 2018', 10.0, 296.0, '21 Jan 2018', '21 Jan 2018', 0.0, 305.0, 'indonesia', 'N/A', 'isleofman', 'indonesia', 'N/A', 'blockchain service', 'exchanges&wallets', 11, 'N/A', 4, 12, 4, 18, 'N/A', 35000000.0, 35000000.0, 'N/A', 'N/A', 35000000.0, 106375000.0, 'N/A', 'N/A', 'N/A', 1.0, 0.33, 2.1, 0.0021, 2.301, 0.00102324, 'N/A', 28832, 8990, 28832, 0, 53293, 1.9, 163.0, 'High', 'N/A', 'N/A', 0.001, 970635, -0.194, 0.286, 4.543, 4.519, -0.347, -2.847, 0.005, 0.005]
['theta-token', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '07 Jan 2018', '07 Jan 2018', 0.0, 319.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'blockchain service', 'media', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 20000000.0, 20000000.0, 'N/A', 'N/A', 20000000.0, 20000000.0, 'N/A', 'N/A', 'N/A', 1.0, 1.0, 'N/A', 0.12, 0.15, 'N/A', 'N/A', 'N/A', 1752, 'N/A', 0, 63561, 1.1, 87.0, 'Medium', 'N/A', 'N/A', 0.183, 10023000, 0.049, 0.064, 1.012, 0.984, -0.112, -1.105, 0.001, 0.001]
['power-ledger', '8 Sep 2017', '6 Oct 2017', 28.0, 412.0, '23 Aug 2017', '06 Oct 2017', 44.0, 412.0, '25 Aug 2017', '25 Sep 2017', 31.0, 423.0, '08 Sep 2017', '06 Oct 2017', 28.0, 412.0, 'australia', 'N/A', 'australia', 'australia', 'N/A', 'N/A', 'energy&utilities', 16, 'N/A', 17, 16, 17, 'N/A', 13232290.0, 'N/A', 26000000.0, 13232290.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.088, 'N/A', 0.088, 0.0838, 'N/A', 'N/A', 'N/A', 'N/A', 0, 86214, 1.7, 130.0, 'High', 'Medium', 'N/A', 0.056, 1017460, 0.512, 0.32, 5.074, 5.057, 0.092, -0.021, 0.007, 0.007]
['kyber-network', 'N/A', 'N/A', 'N/A', 'N/A', '15 Sep 2017', '17 Sep 2017', 2.0, 431.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'singapore', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 7, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1.85, 16343900, -0.143, -0.072, -1.148, -1.2, -0.092, -1.054, -0.002, -0.002]
['genesis-vision', '15 Oct 2017', '15 Nov 2017', 31.0, 372.0, '15 Oct 2017', '15 Nov 2017', 31.0, 372.0, '13 Oct 2017', '13 Nov 2017', 31.0, 374.0, '15 Oct 2017', '15 Nov 2017', 31.0, 372.0, 'russia', 'N/A', 'ireland', 'russia', 'N/A', 'trading', 'investment', 22, 'N/A', 10, 14, 10, 3, 2836724.0, 2836732.0, 2836724.0, 2836724.0, 31519155.6, 23000000.0, 23000000.0, 'N/A', 33000000.0, 0.09, 0.12, 0.12, 1.0, 1.0, 1.0, 1.0, 'N/A', 8688, 8688, 8688, 0, 20653, 2.2, 252.0, 'VeryHigh', 'Medium', 'N/A', 2.68, 683667, 0.386, 0.27, 4.287, 4.266, -0.039, -1.1, 0.008, 0.008]
['salt', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '01 Aug 2017', '15 Aug 2017', 14.0, 464.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'role of token: utility', 'N/A', 'N/A', 'N/A', 'finance', 'crowdfunding&lending', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 10, 'N/A', 48500000.0, 48500000.0, 'N/A', 'N/A', 48500000.0, 48500000.0, 'N/A', 'N/A', 'N/A', 1.0, 1.0, 'N/A', 0.89, 0.89, 'N/A', 'N/A', 'N/A', 1062, 1062, 0, 'N/A', 'N/A', 'N/A', 'High', 'N/A', 0.88, 4.34, 4174650, -0.167, 0.008, 0.129, 0.099, -0.053, -1.016, -0.003, -0.004]
['enjin-coin', '3 Oct 2017', '31 Oct 2017', 28.0, 387.0, '03 Oct 2017', '31 Oct 2017', 28.0, 387.0, 'N/A', 'N/A', 'N/A', 'N/A', '03 Oct 2017', '31 Oct 2017', 28.0, 387.0, 'singapore', 'N/A', 'singapore', 'singapore', 'N/A', 'gaming', 'N/A', 15, 8, 4, 'N/A', 8, 22, 23000000.0, 22959609.0, 'N/A', 23000000.0, 'N/A', 25000000.0, 'N/A', 5120.0, 'N/A', 'N/A', 0.92, 'N/A', 0.0304, 0.0512, 'N/A', 0.0512, 'N/A', 'N/A', 5404, 'N/A', 0, 34379, 1.3, 111.0, 'N/A', 'N/A', 0.84, 0.02, 742008, 0.026, 0.278, 4.415, 4.392, -0.115, -1.465, 0.006, 0.006]
['iexec-rlc', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '18 Apr 2017', '11 May 2017', 23.0, 560.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'computing&datastorage', 'N/A', 'N/A', 'N/A', 7, 'N/A', 'N/A', 'N/A', 'N/A', 12000000.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.178, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0, 23748, 2.0, 154.0, 'High', 'N/A', 'N/A', 0.284, 151637, 0.29, 0.168, 2.662, 2.631, -0.104, -1.648, 0.005, 0.003]
['request-network', '13 Oct 2017', '17 Oct 2017', 4.0, 401.0, '13 Oct 2017', '17 Oct 2017', 4.0, 401.0, '11 Oct 2017', '15 Oct 2017', 4.0, 403.0, '13 Oct 2017', '17 Oct 2017', 4.0, 401.0, 'germany', 'N/A', 'france', 'germany', 'N/A', 'finance', 'blockchaininfrastructure', 6, 'N/A', 6, 8, 7, 21, 32895000.0, 33600000.0, 32895000.0, 32895000.0, 'N/A', 33600000.0, 'N/A', 6720.0, 'N/A', 'N/A', 1.0, 'N/A', 0.0632, 0.0672, 0.06, 0.0672, 'N/A', 11209, 11209, 11209, 0, 42316, 1.9, 123.0, 'VeryHigh', 'Medium', 0.92, 0.061, 5914220, 0.117, 0.262, 4.163, 4.133, -0.149, -1.13, 0.002, 0.003]
['amo-coin', '14 Jul 2018', '21 Jul 2018', 7.0, 124.0, '14 Jul 2018', '21 Jul 2018', 7.0, 124.0, 'N/A', 'N/A', 'N/A', 'N/A', '18 Jun 2018', '07 Jul 2018', 19.0, 138.0, 'singapore', 'N/A', 'singapore', 'singapore', 'N/A', 'N/A', 'N/A', 63, 'N/A', 46, 'N/A', 48, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 2288000.0, 'N/A', 'N/A', 7040000.0, 'N/A', 'N/A', 'N/A', 'N/A', 0.0022, 'N/A', 'N/A', 0.002, 'N/A', 17663, 'N/A', 'N/A', 0, 1259, 2.3, 151.0, 'N/A', 'N/A', 'N/A', 0.002, 6564, 0.219, 0.093, 1.476, 1.444, 0.316, 2.678, 0.008, 0.007]
['time-new-bank', '18 Nov 2017', '23 Nov 2017', 5.0, 364.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '14 Nov 2017', '21 Nov 2017', 7.0, 366.0, 'singapore', 'N/A', 'N/A', 'singapore', 'N/A', 'marketplace', 'N/A', 10, 'N/A', 'N/A', 'N/A', 4, 'N/A', 8000000.0, 14360000.0, 'N/A', 8000000.0, 'N/A', 14400000.0, 'N/A', 1143.99, 'N/A', 'N/A', 1.0, 'N/A', 0.0203, 0.0171, 'N/A', 0.0171, 'N/A', 34374, 34374, 'N/A', 0, 15696, 1.4, 95.0, 'N/A', 'N/A', 'N/A', 0.035, 10625600, 0.332, 0.198, 3.14, 3.12, -0.093, 1.368, -0.0, -0.0]
