coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
pundi-x,21 Jan 2018,21 Jan 2018,0.0,445.0,12,blockchain,4,35000000.0,35000000.0,1.0,2.1,1182,1,58752,3.45,301.0,High,N/A,N/A,-0.99953,970635,-0.194,0.286,4.543,4.524,-0.341,-2.718,0.004,0.004
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,527.0,12,gaming,8,23000000.0,25000000.0,0.92,0.0304,1182,1,44423,3.45,301.0,N/A,N/A,0.84,-0.34102,742008,0.026,0.278,4.415,4.396,-0.214,-2.71,0.009,0.01
celer-network,19 Mar 2019,24 Mar 2019,5.0,18.0,12,blockchain,11,34000000.0,34000000.0,1.0,0.0067,1182,0,11881,3.45,301.0,N/A,N/A,N/A,2.64881,228240682,-1.062,-1.839,-3.679,-3.708,0.04,0.946,-0.025,-0.026
bnktothefuture,6 Feb 2018,13 Feb 2018,7.0,422.0,12,saas,8,33000000.0,33000000.0,1.0,0.1,1182,0,15056,3.45,301.0,Medium,Medium,N/A,-0.22014,40890,0.32,0.198,3.136,3.109,-0.022,0.198,0.001,0.001
storm,7 Nov 2017,8 Dec 2017,31.0,489.0,12,other,8,30700000.0,30700000.0,1.0,0.0113,1182,0,27065,3.45,301.0,N/A,N/A,N/A,0.42982,330757,0.67,0.151,2.39,2.375,-0.138,-0.793,0.003,0.003
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,512.0,12,fintech,10,2836724.0,31519156.0,0.09,1.0,1182,0,21314,3.45,301.0,VeryHigh,Medium,N/A,1.68,683667,0.386,0.27,4.287,4.27,-0.083,-1.302,0.006,0.006
deepbrain-chain,16 Sep 2018,28 Nov 2018,73.0,134.0,12,other,5,11800000.0,11800000.0,1.0,0.0075,1179,2,655,3.45,301.0,High,N/A,N/A,11.24627,18387700,0.288,0.086,1.362,1.344,-0.178,-1.374,-0.002,-0.001
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,504.0,12,other,4,14400000.0,14400000.0,1.0,0.0203,1179,1,15576,3.45,301.0,N/A,N/A,N/A,0.73468,10625600,0.332,0.198,3.14,3.124,-0.11,0.604,0.001,0.001
poa-network,17 Nov 2017,17 Nov 2017,0.0,510.0,12,other,15,12500000.0,12500000.0,1.0,0.072,1179,3,303,3.45,301.0,N/A,N/A,0.62,7.81215,79376200,-0.336,0.061,0.971,0.945,-0.217,-1.986,-0.004,-0.004
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,465.0,12,fintech,9,30000000.0,30000000.0,1.0,0.25,1179,0,6524,3.45,301.0,High,Medium,N/A,0.68912,10089800,0.06,-0.099,-1.565,-1.595,-0.184,-1.39,-0.002,-0.002
qlc-chain,27 Dec 2017,27 Jan 2018,31.0,439.0,12,other,7,19000000.0,19000000.0,1.0,0.3497,1179,4,24844,3.45,301.0,N/A,N/A,N/A,-0.17031,9911000,0.182,0.031,0.485,0.465,-0.27,-2.339,-0.0,-0.0
btu-protocol,7 Jun 2018,30 Jun 2018,23.0,285.0,12,fintech,5,5500000.0,25000000.0,0.22,0.75,1179,0,1324,3.45,301.0,Low,N/A,N/A,-0.56774,1364002,-0.362,-2.871,-5.741,-5.781,-0.71,-6.036,-0.001,-0.001
linkeye,10 Nov 2017,31 Jan 2018,82.0,435.0,12,other,6,1600000.0,17777778.0,0.09,0.0427,1179,0,5086,3.45,301.0,N/A,N/A,N/A,2.90251,10037600,-0.25,-0.202,-3.213,-3.247,-0.1,-0.686,-0.003,-0.003
divi,25 Oct 2017,21 Nov 2017,27.0,506.0,12,other,15,2600000.0,2600000.0,1.0,0.62,1179,2,8119,1.8,165.0,High,Low,N/A,-0.98771,11780,0.106,-0.095,-1.515,-1.541,-0.038,-0.087,0.003,0.003
graft,18 Jan 2018,18 Feb 2018,31.0,417.0,12,other,16,3000000.0,25000000.0,0.12,0.28,1179,1,3975,3.45,301.0,N/A,N/A,N/A,-0.84596,40067,-0.305,-0.006,-0.101,-0.126,0.004,0.244,-0.001,-0.001
ice-rock-mining,20 Mar 2018,25 May 2018,66.0,321.0,12,other,14,6061241.0,6061241.0,1.0,1.2,1179,1,2841,3.45,301.0,N/A,N/A,N/A,-0.75875,6038,-0.012,0.086,1.358,1.33,-0.147,-2.553,0.049,0.049
zen-protocol,30 Nov 2017,30 Dec 2017,30.0,467.0,12,blockchain,8,46000000.0,46000000.0,1.0,3.8683,1179,1,2707,3.45,301.0,Low,Medium,N/A,-0.8026,14109,-0.017,-0.121,-1.926,-1.958,-0.145,-1.758,-0.001,-0.001
winding-tree,1 Feb 2018,15 Feb 2018,14.0,420.0,12,other,4,14400000.0,14400000.0,1.0,0.926,1179,3,5189,3.45,301.0,N/A,N/A,0.78,-0.80303,882,-0.076,-0.036,-0.564,-0.594,-0.292,-2.913,0.005,0.005
bitguild-plat,15 Mar 2018,05 Apr 2018,21.0,371.0,12,blockchain,6,13800000.0,13800000.0,1.0,0.008,1179,0,13346,1.4,78.0,High,Medium,N/A,-0.94662,50987,0.307,0.15,2.386,2.359,-0.349,-3.087,0.012,0.012
