coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
btu-protocol,7 Jun 2018,30 Jun 2018,23.0,285.0,12,fintech,5,5500000.0,25000000.0,0.22,0.75,1179,0,1324,3.45,301.0,Low,N/A,N/A,-0.56774,1364002,-0.362,-2.871,-5.741,-5.781,-0.71,-6.036,-0.001,-0.001
squeezer,01 Jun 2018,30 Jun 2018,29.0,285.0,12,blockchain,7,9000000.0,15000000.0,0.6,0.2,1181,0,16261,3.5,303.0,High,Medium,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
unbankedx,01 Jun 2018,30 Jun 2018,29.0,285.0,12,other,4,N/A,N/A,0.02,0.06,1181,0,371,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
pornx,1 May 2018,30 Jun 2018,60.0,285.0,12,other,11,37756804.0,37756804.0,1.0,0.6,1602,0,3292,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cmbt,11 Jun 2018,30 Jun 2018,19.0,285.0,12,other,9,N/A,18000000.0,N/A,0.94,1182,0,2364,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
empowr,16 Apr 2018,30 Jun 2018,75.0,285.0,12,other,8,N/A,N/A,N/A,N/A,1182,0,5117,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kurecoin,1 Jun 2018,30 Jun 2018,29.0,285.0,12,fintech,8,2100567.0,23339633.0,0.09,0.65,1182,0,14253,3.5,303.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
snbl,15 Mar 2018,30 Jun 2018,107.0,285.0,12,other,9,N/A,N/A,N/A,0.0087,1182,0,105,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
lattice,24 Apr 2018,30 Jun 2018,67.0,285.0,12,other,3,N/A,10000000.0,N/A,0.0043,1182,0,5,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
certore,1 May 2018,30 Jun 2018,60.0,285.0,12,blockchain,5,N/A,45000000.0,N/A,0.526,1182,0,501,3.5,303.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
darcmatter,16 Jun 2018,30 Jun 2018,14.0,285.0,12,fintech,4,N/A,35000000.0,N/A,0.2,1183,0,N/A,1.3,122.0,High,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
qurrex,10 Jun 2018,30 Jun 2018,20.0,285.0,12,blockchain,11,6260000.0,44714286.0,0.14,1.088,1183,0,2687,3.5,303.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
blockhive,14 May 2018,30 Jun 2018,47.0,285.0,12,fintech,8,31980.0,639600.0,0.05,0.051,1183,0,1978,3.5,303.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
well,16 May 2018,30 Jun 2018,45.0,285.0,12,fintech,11,15000000.0,27777778.0,0.54,0.1,1183,0,1848,3.5,303.0,High,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
heartbout,1 Apr 2018,30 Jun 2018,90.0,285.0,12,blockchain,7,N/A,2803010.0,N/A,0.065,1183,0,1547,1.0,56.0,Medium,High,0.72,0.1572,34679,-0.032,0.021,0.335,0.316,0.134,0.912,0.003,0.003
prether,1 Apr 2018,30 Jun 2018,90.0,286.0,12,fintech,6,N/A,12596100.0,N/A,0.087,1182,0,978,3.5,303.0,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tatatu,11 Jun 2018,30 Jun 2018,19.0,286.0,12,blockchain,12,57500000.0,575000000.0,0.1,0.25,1183,0,3132,3.5,303.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bartvault,15 May 2018,30 Jun 2018,46.0,286.0,12,blockchain,15,N/A,16860800.0,N/A,0.0216,1183,0,8,3.5,303.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ironcoin,01 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,N/A,N/A,N/A,N/A,N/A,1183,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
equadex,1 May 2018,30 Jun 2018,60.0,286.0,12,blockchain,13,N/A,46240000.0,N/A,0.544,1183,0,N/A,3.5,303.0,Low,VeryHigh,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
moentum,01 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,N/A,N/A,67000000.0,N/A,0.067,1183,0,N/A,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
nukleus,01 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,9,N/A,32328800.0,N/A,0.003,1183,0,6211,3.5,303.0,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
huyucoin,1 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,8,N/A,15600000.0,N/A,0.024,1183,0,31,3.5,303.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ducatur,1 Jun 2018,30 Jun 2018,29.0,286.0,12,other,6,6098288.0,6098288.0,1.0,0.0022,1183,0,11798,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
uchit,1 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,4,N/A,50000000.0,N/A,0.1289,1183,0,N/A,3.5,303.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
gladage,01 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,3,2000000.0,20000000.0,0.1,0.1,1183,0,22052,3.5,303.0,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kings,01 Jun 2018,30 Jun 2018,29.0,286.0,12,fintech,7,N/A,12000000.0,N/A,0.01,1183,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cardium,1 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,7,N/A,30000000.0,N/A,0.25,1183,0,N/A,3.5,303.0,Medium,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bi_platform,01 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,2,N/A,5000000.0,N/A,0.05,1183,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bcharity,01 Jun 2018,30 Jun 2018,29.0,286.0,12,fintech,N/A,N/A,35000000.0,N/A,1.0,1183,0,N/A,N/A,N/A,Medium,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tlpac,1 May 2018,30 Jun 2018,60.0,286.0,12,blockchain,13,14776186.0,14925440.0,0.99,0.062,1183,0,2949,3.5,303.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
