coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
btu-protocol,7 Jun 2018,30 Jun 2018,23.0,285.0,12,fintech,5,5500000.0,25000000.0,0.22,0.75,1179,0,1324,3.45,301.0,Low,N/A,N/A,-0.56774,1364002,-0.362,-2.871,-5.741,-5.781,-0.71,-6.036,-0.001,-0.001
squeezer,01 Jun 2018,30 Jun 2018,29.0,285.0,12,blockchain,7,9000000.0,15000000.0,0.6,0.2,1181,0,16261,3.5,303.0,High,Medium,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
pornx,1 May 2018,30 Jun 2018,60.0,285.0,12,other,11,37756804.0,37756804.0,1.0,0.6,1602,0,3292,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
kurecoin,1 Jun 2018,30 Jun 2018,29.0,285.0,12,fintech,8,2100567.0,23339633.0,0.09,0.65,1182,0,14253,3.5,303.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
qurrex,10 Jun 2018,30 Jun 2018,20.0,285.0,12,blockchain,11,6260000.0,44714286.0,0.14,1.088,1183,0,2687,3.5,303.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
blockhive,14 May 2018,30 Jun 2018,47.0,285.0,12,fintech,8,31980.0,639600.0,0.05,0.051,1183,0,1978,3.5,303.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
well,16 May 2018,30 Jun 2018,45.0,285.0,12,fintech,11,15000000.0,27777778.0,0.54,0.1,1183,0,1848,3.5,303.0,High,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tatatu,11 Jun 2018,30 Jun 2018,19.0,286.0,12,blockchain,12,57500000.0,575000000.0,0.1,0.25,1183,0,3132,3.5,303.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ducatur,1 Jun 2018,30 Jun 2018,29.0,286.0,12,other,6,6098288.0,6098288.0,1.0,0.0022,1183,0,11798,3.5,303.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
gladage,01 Jun 2018,30 Jun 2018,29.0,286.0,12,blockchain,3,2000000.0,20000000.0,0.1,0.1,1183,0,22052,3.5,303.0,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tlpac,1 May 2018,30 Jun 2018,60.0,286.0,12,blockchain,13,14776186.0,14925440.0,0.99,0.062,1183,0,2949,3.5,303.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cardstack,31 May 2018,30 Jun 2018,30.0,286.0,12,blockchain,18,35000000.0,35000000.0,1.0,0.017,1183,0,5069,3.5,303.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
insureum,30 May 2018,30 Jun 2018,31.0,286.0,12,insurance services,10,20000000.0,20000000.0,1.0,0.1,1183,6,1285,3.5,303.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
globatalent,18 Jun 2018,30 Jun 2018,12.0,286.0,12,blockchain,12,17500000.0,35000000.0,0.5,0.07,1185,0,6918,3.5,303.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
sonder,22 May 2018,30 Jun 2018,39.0,286.0,12,fintech,7,6000000.0,6000000.0,1.0,0.03,1185,0,2450,3.5,303.0,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
prokarex,2 Apr 2018,30 Jun 2018,89.0,286.0,12,other,21,1050000.0,5526316.0,0.19,0.05,1186,0,19,3.5,303.0,VeryLow,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
beeasy,1 Feb 2018,30 Jun 2018,149.0,286.0,12,blockchain,6,3969129.0,3969129.0,1.0,124.0,1187,0,562,3.5,304.0,Low,Medium,0.76,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
genesis,1 Apr 2018,30 Jun 2018,90.0,286.0,12,fintech,12,3480000.0,23200000.0,0.15,1.16,1188,0,5237,3.5,304.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
vuulr,9 May 2018,30 Jun 2018,52.0,286.0,12,blockchain,12,40000.0,4000000.0,0.01,0.033,1188,0,329,3.5,304.0,Low,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
vite,11 Jun 2018,30 Jun 2018,19.0,286.0,12,blockchain,4,28000000.0,28000000.0,1.0,0.143,1188,0,59,3.5,304.0,High,N/A,N/A,-0.25443,623905,-0.499,-0.262,-4.153,-4.203,0.164,1.371,-0.003,-0.003
