coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
ice-rock-mining,20 Mar 2018,25 May 2018,66.0,321.0,12,other,14,6061241.0,6061241.0,1.0,1.2,1179,1,2841,3.45,301.0,N/A,N/A,N/A,-0.75875,6038,-0.012,0.086,1.358,1.33,-0.147,-2.553,0.049,0.049
bitguild-plat,15 Mar 2018,05 Apr 2018,21.0,371.0,12,blockchain,6,13800000.0,13800000.0,1.0,0.008,1179,0,13346,1.4,78.0,High,Medium,N/A,-0.94662,50987,0.307,0.15,2.386,2.359,-0.349,-3.087,0.012,0.012
the-abyss,18 Apr 2018,16 May 2018,28.0,330.0,12,blockchain,12,15362418.0,18073433.0,0.85,0.11,1179,1,16665,3.45,301.0,VeryHigh,Low,N/A,-0.33938,1355170,-0.392,-0.051,-0.806,-0.833,-0.098,-0.848,-0.004,-0.004
nebula-ai,31 Mar 2018,20 Apr 2018,20.0,356.0,12,blockchain,11,1600000.0,17777778.0,0.09,0.0058,1179,0,1317,3.45,301.0,N/A,N/A,N/A,1.07379,155134,-0.015,-0.039,-0.612,-0.638,-0.406,-3.424,-0.002,-0.002
fox-trading,23 May 2018,8 Jun 2018,16.0,307.0,12,other,6,30000.0,3000000.0,0.01,0.49,1179,0,10157,3.45,301.0,N/A,N/A,N/A,-0.89135,86239,0.097,0.121,1.926,1.915,0.129,0.747,0.016,0.016
fire-lotto,15 Mar 2018,15 Apr 2018,31.0,361.0,12,other,9,3740965.0,14963860.0,0.25,0.5,1180,1,2620,3.45,301.0,N/A,N/A,N/A,-0.79832,2462,-0.04,0.041,0.653,0.635,-0.137,0.624,0.001,0.002
fabric-token,15 Feb 2018,1 Apr 2018,45.0,375.0,12,blockchain,3,1035986.0,8633217.0,0.12,0.1125,1180,1,1886,3.45,301.0,Medium,High,N/A,-0.17188,83004,0.081,0.047,0.743,0.723,-0.619,-6.945,0.013,0.013
joint-ventures,7 Apr 2018,30 May 2018,53.0,316.0,12,blockchain,10,2000000.0,10000000.0,0.2,0.071,1179,1,8187,3.45,301.0,Medium,N/A,N/A,-0.92831,41727,0.057,0.085,1.354,1.344,0.024,0.816,0.026,0.026
gold-bits-coin,1 Feb 2018,25 May 2018,113.0,321.0,12,fintech,7,50000000.0,50000000.0,1.0,0.5,1179,0,855,3.45,301.0,Medium,N/A,N/A,0.09355,1527,0.262,0.125,1.979,1.969,-0.246,-0.651,0.091,0.091
karatgold-coin,15 Feb 2018,15 Apr 2018,59.0,361.0,12,blockchain,5,10000000.0,71428571.0,0.14,0.05,1179,0,2480,3.45,301.0,Medium,N/A,N/A,-0.83232,144387,0.148,0.132,2.096,2.07,-0.186,-0.889,0.012,0.012
