name,age,price,hardcap,social,daily_views,daily_time,success
theta-token,319.0,0.12,20000000.0,1752,1.1,87.0,1
genesis-vision,372.0,1.0,31519156.0,8688,2.2,252.0,0
enjin-coin,387.0,0.0304,24956097.0,5404,1.3,111.0,1
request-network,401.0,0.0632,33600000.0,11209,1.9,123.0,1
time-new-bank,364.0,0.0203,14360000.0,34374,1.4,95.0,1
xyo-network,185.0,0.007,47804000.0,1562,1.9,161.0,0
poa-network,370.0,0.072,12500000.0,318,2.3,311.0,1
ttc-protocol,188.0,0.175,35000000.0,65946,3.0,131.0,1
jibrel-network,325.0,0.25,30000000.0,5714,1.4,63.0,1
qlc-chain,299.0,0.3497,19000000.0,23499,1.8,136.0,1
graft,277.0,0.28,25000000.0,3283,3.8,291.0,0
zen-protocol,327.0,3.8683,46000000.0,4919,1.8,97.0,1
ice-rock-mining,181.0,1.2,6061241.0,2981,2.5,167.0,1
divi,366.0,0.62,2592064.0,1716,1.4,131.0,1
winding-tree,280.0,0.926,14418196.0,1174,1.8,144.0,1
ink-protocol,304.0,0.1421,15000000.0,7781,1.0,66.0,1
skrumble-network,199.0,0.0515,16472800.0,35205,2.2,107.0,1
nebula-ai,216.0,0.0058,17628043.0,5634,2.6,145.0,0
the-abyss,190.0,0.11,18073433.0,31291,1.7,144.0,1
fox-trading,167.0,0.49,3000000.0,143,2.5,259.0,0
crowd-machine,181.0,0.09924,98357196.0,5777,3.3,209.0,0
insights-network,281.0,0.15,17400000.0,14841,2.0,97.0,1
sentinel-chain,257.0,0.08,14400000.0,6611,1.0,150.0,1
ubcoin-market,87.0,0.0343,7477737.0,1996,1.7,109.0,1
lala-world,290.0,0.13,20202020.0,628,2.0,170.0,1
fire-lotto,221.0,0.5,14963860.0,5777,2.1,129.0,0
bigbom,165.0,0.0257,6792000.0,13725,2.3,144.0,1
engagement-token,174.0,0.113,26027397.0,1904,1.0,62.0,1
joint-ventures,177.0,0.071,10000000.0,12729,1.0,41.0,0
gold-bits-coin,182.0,0.5,50000000.0,1693,1.4,100.0,1
apx,551.0,0.6,2749185.0,805,1.0,146.0,1
target-coin,449.0,0.0518,69038040.0,1524,2.0,74.0,0
phi-token,247.0,1.618,27142857.0,2744,1.0,125.0,0
monster-byte,476.0,0.11,10000002.0,2269,1.0,67.0,1
live-stars,281.0,0.2,5037128.0,2365,2.0,148.0,1
fabric-token,236.0,0.1125,8633217.0,4439,1.0,57.0,0
crystal-clear,411.0,3.0949,3377550.0,2487,1.0,95.0,1
300-token,505.0,79.764,23891.0,951,2.0,68.0,1
game-stars,137.0,0.035,7519869.0,551,2.0,117.0,0
karatgold-coin,222.0,0.05,71428571.0,1939,2.4,275.0,0
asura-coin,115.0,0.0062,11935294.0,16633,1.5,91.0,0
menlo-one,39.0,0.0177,2661500.0,10920,1.7,157.0,1
enigma-catalyst,438.0,0.6,45000000.0,6650,5.9,168.0,1
finshi-capital,413.0,1.0,21420275.0,344,1.0,84.0,1
beyond-the-void,723.0,0.01,88471618.0,5841,1.5,96.0,0
arcade-city,270.0,0.0,63500077.0,5174,1.7,143.0,1
hara,7.0,0.0,17241379.0,11579,1.3,129.0,0
newton,38.0,0.0064,21622930.0,13546,3.1,219.0,1
verify,352.0,0.23,2500000.0,1075,2.0,83.0,1
icash,84.0,1.0,428571429.0,6145,1.0,122.0,0
medica,73.0,0.25,23991953.0,8835,3.1,378.0,1
phantasma,179.0,0.23,9747475.0,15506,1.7,182.0,1
osa,84.0,0.0557,40000000.0,100,3.0,368.0,1
grapevine,100.0,0.1,30111236.0,6739,1.0,147.0,1
quadrant,120.0,0.05,20000000.0,13105,1.1,159.0,1
codex,103.0,0.055,12000000.0,12182,1.4,77.0,1
localcoinswap,161.0,0.4,19918033.0,4542,6.1,573.0,1
bitnautic,54.0,0.4648,16295859.0,58800,1.5,138.0,1
cryptohit,44.0,0.5621,27010300.0,3618,1.0,80.0,0
tradove,268.0,0.16,52380952.0,15217,4.4,318.0,1
waves,906.0,0.188,16000000.0,130364,2.6,192.0,1
wrio,23.0,0.0099,10000000.0,66264,1.0,117.0,0
smoke,182.0,0.1,2500000.0,10497,1.9,137.0,0
worldwifi,189.0,0.134,25000000.0,33217,1.4,140.0,1
online,115.0,0.04,50000000.0,50888,1.3,107.0,1
orca,78.0,0.06,10000000.0,515,1.2,90.0,0
vrt,115.0,1.0,16015407.0,12552,3.0,128.0,0
birake,114.0,0.1,20000000.0,15389,1.6,165.0,0
crypto20,358.0,1.1,75396746.0,7735,1.6,126.0,1
quantum1net,196.0,0.7174,10647179.0,1349,6.0,821.0,0
cryptorobotics,156.0,0.0798,4204886.0,2821,1.6,156.0,1
dav,151.0,0.046,38010933.0,37070,1.1,97.0,1
dcc,178.0,0.0388,49000000.0,35709,1.3,77.0,1
gbx,282.0,0.1,27000000.0,5543,2.0,146.0,1
kurecoin,146.0,0.65,23339633.0,17219,1.5,134.0,0
lh-crypto,328.0,0.1,50000000.0,4012,2.1,67.0,0
b2bx,371.0,0.7431,29920748.0,1426,3.0,70.0,0
midas,124.0,0.0458,9019600.0,8130,1.5,119.0,1
neufund,341.0,0.18,15100000.0,2109,2.2,168.0,1
seal,180.0,0.7,32640000.0,11345,2.0,159.0,0
xtrd,237.0,0.1,44827586.0,6132,1.6,143.0,1
astronaut,399.0,1.0,31419188.0,78,1.0,125.0,0
bittwatt,168.0,0.1759,30303030.0,3984,2.0,122.0,1
carboneum,139.0,0.1,11956900.0,17804,1.3,141.0,1
l-pesa,197.0,0.04,53074667.0,3753,1.0,96.0,0
snovio,358.0,0.01,10138600.0,15444,4.9,435.0,0
stk,282.0,0.2,17000000.0,5746,2.0,110.0,1
stockchain,249.0,0.0107,2693450.0,50030,1.0,84.0,1
ukit,206.0,0.02,10000000.0,7812,3.46,344.0,0
airswap,408.0,0.3,12600000.0,6388,1.6,132.0,1
betterbetting,296.0,0.1,30555556.0,2211,3.0,128.0,0
ecoinomic,91.0,0.05,106818182.0,43014,2.1,144.0,0
micromoney,370.0,1.0,30118814.0,4233,1.0,106.0,0
wabi,357.0,0.25,11500000.0,4298,1.0,99.0,1
mco,523.0,2.88,267000000.0,3502,2.3,140.0,0
sola,336.0,0.1,4963778.0,3667,1.2,81.0,0
cryptoworld,237.0,0.0049,25000000.0,91,1.0,92.0,0
incx,135.0,0.016,5131500.0,3245,1.5,157.0,1
nucleus,299.0,0.01,40000000.0,22816,1.6,145.0,1
tokenpay,310.0,6.0,40948500.0,2256,2.6,186.0,1
vlb,228.0,0.611,11724635.0,2123,1.0,117.0,0
4new,105.0,1.0,75000000.0,38,3.7,225.0,1
birc,23.0,0.0256,31560040.0,28779,2.6,142.0,0
gre,183.0,0.0058,8769318.0,21133,2.0,112.0,0
kybernetwork,434.0,0.41,52000000.0,11432,2.1,152.0,1
playcoin,244.0,0.33,33000000.0,7889,2.0,85.0,1
prover,237.0,0.01,9945205.0,820,3.0,277.0,1
qchain,353.0,0.078,17500000.0,798,3.0,159.0,0
successlife,176.0,0.8,26666667.0,8522,3.7,271.0,0
worldcore,343.0,0.1,100000000.0,2890,3.0,223.0,0
0x,434.0,0.07,24000000.0,142593,2.0,134.0,1
centrality,281.0,0.17,99465169.0,1464,2.0,123.0,1
etherecash,346.0,1.0,100000000.0,1058,2.0,140.0,0
gazecoin,337.0,0.35,34532372.0,2385,2.2,209.0,0
ibuildapp,332.0,2.59,10000000.0,3223,1.0,41.0,0
multichainexchange,3.0,0.0549,41666667.0,8308,2.2,196.0,0
bolt,62.0,0.0237,12000000.0,21790,1.0,134.0,1
darcrus,697.0,0.02,129313.0,2168,1.6,89.0,0
mingo,176.0,0.071,5780367.0,7274,1.0,47.0,0
yobit,36.0,7.0,9736144.0,5262,2.4,188.0,1
bounty0x,343.0,0.04,1602927.0,680,5.6,368.0,1
carry,75.0,0.003,13557839.0,31667,1.9,170.0,1
jet8,254.0,0.1,35934066.0,16363,1.0,106.0,1
lendroid,274.0,0.017,44951667.0,5420,1.0,129.0,0
payera,116.0,0.05,61872857.0,18615,2.0,111.0,0
cryptokami,187.0,0.0012,59840000.0,1356,1.1,41.0,0
imdex,115.0,0.002,1124000.0,5054,3.3,1079.0,1
nex,70.0,1.0,52500000.0,47997,1.9,185.0,1
webn,5.0,0.0003,122118.0,13495,1.5,100.0,0
bitdice,434.0,0.098,24996551.0,778,2.1,169.0,0
protos,343.0,1.0,57381000.0,892,1.5,86.0,0
ilcoin,312.0,0.0722,7607845.0,519,1.0,147.0,1
serenity,261.0,0.081,18742733.0,4121,3.0,147.0,0
newbium,906.0,0.0,636333.0,3169,1.7,186.0,0
bitcrystals,1177.0,0.015,146500.0,6301,2.0,85.0,0
aragon,555.0,0.744,32894737.0,69740,1.1,49.0,1
farm,97.0,0.05,20250000.0,7669,1.0,94.0,1
bftoken,290.0,0.1,33000000.0,2813,4.8,294.0,1
provoco,77.0,0.1695,43960800.0,9857,2.6,119.0,0
marketspace,146.0,0.35,50666667.0,36424,1.4,176.0,0
storm,351.0,0.0113,30716420.0,2642,1.5,133.0,1
bitrewards,176.0,0.0198,14962273.0,18642,1.4,145.0,0
datecoin,177.0,0.141,20000000.0,78023,2.0,180.0,1
finom,328.0,2.0,100844320.0,1251,1.3,88.0,0
remme,274.0,0.04,20000000.0,11873,1.8,109.0,1
aidcoin,295.0,0.515,18632900.0,4061,1.0,135.0,1
bitclave,359.0,0.1,25547000.0,7808,1.9,108.0,1
paygine,98.0,1.0,32848220.0,1043,1.0,124.0,0
egretia,181.0,0.0083,24019050.0,10069,1.0,172.0,0
bubbletone,161.0,0.17,25294118.0,50786,1.0,83.0,0
