coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,372.0,2,fintech,10,2836724.0,31519156.0,0.09,1.0,8688,1,20653,2.2,252.0,VeryHigh,Medium,N/A,1.68,683667,0.386,0.27,4.287,4.266,-0.039,-1.1,0.008,0.008
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,387.0,7,gaming,8,22959609.0,24956097.0,0.92,0.0304,5404,8,34379,1.3,111.0,N/A,N/A,0.84,-0.34102,742008,0.026,0.278,4.415,4.392,-0.115,-1.465,0.006,0.006
request-network,13 Oct 2017,17 Oct 2017,4.0,401.0,5,fintech,7,33600000.0,33600000.0,1.0,0.0632,11209,1,42316,1.9,123.0,VeryHigh,Medium,0.92,-0.03824,5914220,0.117,0.262,4.163,4.133,-0.149,-1.13,0.002,0.003
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,364.0,7,other,4,14360000.0,14360000.0,1.0,0.0203,34374,2,15696,1.4,95.0,N/A,N/A,N/A,0.73468,10625600,0.332,0.198,3.14,3.12,-0.093,1.368,-0.0,-0.0
xyo-network,20 Mar 2018,21 May 2018,62.0,185.0,1,blockchain,13,11951000.0,47804000.0,0.25,0.007,1562,3,7410,1.9,161.0,VeryHigh,Medium,N/A,-0.14029,245464,-0.081,-0.086,-1.37,-1.404,0.225,0.62,-0.001,-0.002
ttc-protocol,18 Apr 2018,18 May 2018,30.0,188.0,7,saas,13,35000000.0,35000000.0,1.0,0.175,65946,1,18091,3.0,131.0,Medium,Medium,N/A,-0.7028,700206,-0.03,0.09,1.43,1.373,0.418,2.242,-0.001,-0.002
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,325.0,6,fintech,9,30000000.0,30000000.0,1.0,0.25,5714,4,6455,1.4,63.0,High,Medium,N/A,0.68912,10089800,0.06,-0.099,-1.565,-1.602,-0.284,-2.449,-0.005,-0.005
zen-protocol,30 Nov 2017,30 Dec 2017,30.0,327.0,12,other,8,46000000.0,46000000.0,1.0,3.8683,4919,0,2718,1.8,97.0,Low,Medium,N/A,-0.8026,14109,-0.017,-0.121,-1.926,-1.966,-0.231,-2.391,-0.006,-0.006
divi,25 Oct 2017,21 Nov 2017,27.0,366.0,12,other,15,2592064.0,2592064.0,1.0,0.62,1716,0,5411,1.4,131.0,Medium,Low,N/A,-0.98771,11780,0.106,0.84,1.681,1.641,0.218,1.607,-0.003,-0.003
winding-tree,1 Feb 2018,15 Feb 2018,14.0,280.0,6,other,4,14418196.0,14418196.0,1.0,0.926,1174,0,5233,1.8,144.0,N/A,N/A,0.78,-0.80303,882,-0.076,-0.036,-0.564,-0.602,0.114,0.384,0.007,0.007
