['pundi-x', '21 Jan 2018', '21 Jan 2018', 0.0, 445.0, '21 Jan 2018', '31 Jan 2018', 10.0, 435.0, '20 Jan 2018', '30 Jan 2018', 10.0, 436.0, '21 Jan 2018', '21 Jan 2018', 0.0, 445.0, 'indonesia&nofilter', 'N/A', 'isleofman', 'indonesia', 'N/A', 'blockchain service', 'blockchaininfrastructure', 11, 'N/A', 4, 12, 4, 18, 'N/A', 35000000.0, 35000000.0, 'N/A', 'N/A', 35000000.0, 106375000.0, 'N/A', 'N/A', 'N/A', 1.0, 0.33, 2.1, 0.00213, 2.301, 0.00102324, 'N/A', 1182, 9688, 28576, 1, 58752, 3.45, 301.0, 'High', 'N/A', 'N/A', 0.001, 970635, -0.194, 0.286, 4.543, 4.524, -0.341, -2.718, 0.004, 0.004]
['enjin-coin', '3 Oct 2017', '31 Oct 2017', 28.0, 527.0, '03 Oct 2017', '31 Oct 2017', 28.0, 527.0, 'N/A', 'N/A', 'N/A', 'N/A', '03 Oct 2017', '31 Oct 2017', 28.0, 527.0, 'singapore&nofilter', 'N/A', 'singapore', 'singapore', 'N/A', 'gaming', 'N/A', 15, 8, 4, 'N/A', 8, 22, 23000000.0, 23000000.0, 'N/A', 23000000.0, 'N/A', 25000000.0, 'N/A', 5120.0, 'N/A', 'N/A', 0.92, 'N/A', 0.0304, 0.05117, 'N/A', 0.0512, 'N/A', 1182, 7516, 'N/A', 1, 44423, 3.45, 301.0, 'N/A', 'N/A', 0.84, 0.02, 742008, 0.026, 0.278, 4.415, 4.396, -0.214, -2.71, 0.009, 0.01]
['power-ledger', '8 Sep 2017', '6 Oct 2017', 28.0, 552.0, '23 Aug 2017', '06 Oct 2017', 44.0, 552.0, '25 Aug 2017', '25 Sep 2017', 31.0, 563.0, '08 Sep 2017', '06 Oct 2017', 28.0, 552.0, 'australia&nofilter', 'N/A', 'australia', 'australia', 'N/A', 'N/A', 'blockchaininfrastructure', 16, 'N/A', 17, 16, 17, 'N/A', 13232290.0, 'N/A', 26000000.0, 13232290.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.088, 'N/A', 0.088, 0.0838, 'N/A', 1182, 'N/A', 18511, 0, 85168, 3.45, 301.0, 'High', 'Medium', 'N/A', 0.056, 1017460, 0.512, 0.32, 5.074, 5.06, 0.041, -0.111, 0.006, 0.006]
['kyber-network', 'N/A', 'N/A', 'N/A', 'N/A', '15 Sep 2017', '17 Sep 2017', 2.0, 571.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'singapore', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 7, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1182, 'N/A', 'N/A', 0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1.85, 16343900, -0.143, -0.072, -1.148, -1.19, -0.128, -1.218, 0.0, -0.0]
['iexec-rlc', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '18 Apr 2017', '11 May 2017', 23.0, 700.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'computing&datastorage', 'N/A', 'N/A', 'N/A', 8, 'N/A', 'N/A', 'N/A', 'N/A', 12000000.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.178, 'N/A', 'N/A', 1182, 'N/A', 5387, 0, 24725, 1.9, 164.0, 'High', 'N/A', 'N/A', 0.284, 151637, 0.29, 0.168, 2.662, 2.637, -0.15, -2.059, 0.006, 0.004]
['ttc-protocol', '18 Apr 2018', '18 May 2018', 30.0, 328.0, '18 Apr 2018', '18 May 2018', 30.0, 328.0, '18 Apr 2018', '18 May 2018', 30.0, 328.0, '18 Apr 2018', '18 May 2018', 30.0, 328.0, 'british virgin islands&nofilter', 'N/A', 'britishvirginislands', 'britishvirginislands', 'N/A', 'protocol', 'blockchaininfrastructure', 19, 'N/A', 12, 16, 13, 19, 35000000.0, 19100000.0, 9638000.0, 19110000.0, 'N/A', 21200000.0, 21400000.0, 4000.0, 'N/A', 'N/A', 0.9, 0.45, 0.175, 0.17, 0.131, 0.16, 'N/A', 1182, 44410, 44410, 0, 'N/A', 1.0, 66.0, 'Medium', 'Medium', 'N/A', 0.052, 700206, -0.03, 0.09, 1.43, 1.384, 0.102, 0.757, 0.009, 0.009]
['celer-network', '19 Mar 2019', '24 Mar 2019', 5.0, 18.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '19 Mar 2019', '24 Mar 2019', 5.0, 18.0, 'singapore&nofilter', 'N/A', 'N/A', 'singapore', 'N/A', 'blockchain service', 'N/A', 14, 'N/A', 'N/A', 'N/A', 11, 10, 3880597.0, 34000000.0, 'N/A', 3880597.0, 'N/A', 34000000.0, 'N/A', 'N/A', 34500000.0, 'N/A', 1.0, 'N/A', 0.0067, 0.0067, 'N/A', 0.0067, 'N/A', 1182, 30224, 'N/A', 0, 11881, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.024, 228240682, -1.062, -1.839, -3.679, -3.708, 0.04, 0.946, -0.025, -0.026]
['apollo-currency', '30 Mar 2018', '28 May 2018', 59.0, 318.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '30 Mar 2018', '28 May 2018', 59.0, 318.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 22, 'N/A', 'N/A', 'N/A', 24, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 1182, 'N/A', 'N/A', 0, 56848, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.002, 81458, -0.254, 0.046, 0.737, 0.717, -0.357, -3.113, 0.007, 0.007]
['bnktothefuture', '6 Feb 2018', '13 Feb 2018', 7.0, 422.0, '08 Mar 2018', '12 Apr 2018', 35.0, 364.0, 'N/A', 'N/A', 'N/A', 'N/A', '06 Feb 2018', '13 Feb 2018', 7.0, 422.0, 'cayman islands&nofilter', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'computing&datastorage', 23, 'N/A', 9, 'N/A', 8, 'N/A', 33000000.0, 'N/A', 33000000.0, 'N/A', 3000000.0, 'N/A', 33000000.0, 3000000.0, 'N/A', 11.0, 'N/A', 1.0, 0.1, 'N/A', 0.1, 'N/A', 'N/A', 1182, 'N/A', 'N/A', 0, 15056, 3.45, 301.0, 'Medium', 'Medium', 'N/A', 0.078, 40890, 0.32, 0.198, 3.136, 3.109, -0.022, 0.198, 0.001, 0.001]
['nexus', '17 Aug 2017', '15 Sep 2017', 29.0, 573.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 13, 'N/A', 'N/A', 'N/A', 14, 'N/A', 6155000.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 0.6029, 'N/A', 'N/A', 'N/A', 'N/A', 1182, 'N/A', 'N/A', 0, 5401, 3.45, 301.0, 'N/A', 'N/A', 'N/A', 0.004, 7268, -0.127, 0.03, 0.469, 0.456, -0.036, -1.696, 0.011, 0.002]
['ankr-network', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', '16 Sep 2018', '16 Oct 2018', 30.0, 177.0, 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'cloud computing', 'blockchaininfrastructure', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 18700000.0, 14500000.0, 'N/A', 'N/A', 18700000.0, 18700000.0, 'N/A', 'N/A', 'N/A', 1.0, 0.78, 'N/A', 0.0066, 0.007, 'N/A', 'N/A', 1182, 14685, 35915, 0, 'N/A', 'N/A', 'N/A', 'High', 'Low', 'N/A', 0.013, 20081499, 0.097, 0.768, 1.537, 1.477, -0.368, -2.687, -0.001, -0.002]
