coin,bloxverse_yr,bloxverse_sa,bloxverse_qr,icorating_hype,icorating_risk,icobazaar,icomarks,icobench,success,return_day1,volume_day1,sharpe_annual
pundi-x,0.8,0.74,0.7,0.7,N/A,N/A,N/A,N/A,1.0,-1.0,970635.0,4.519
xyo-network,0.84,0.88,0.42,0.9,0.5,N/A,N/A,N/A,0.25,-0.14,245464.0,-1.404
ttc-protocol,0.84,0.7,0.24,0.5,0.5,N/A,N/A,N/A,1.0,-0.703,700206.0,1.373
jibrel-network,0.9,0.8,0.82,0.7,0.5,N/A,N/A,N/A,1.0,0.689,10089800.0,-1.602
winding-tree,0.74,0.74,0.78,N/A,N/A,0.78,N/A,0.68,1.0,-0.803,882.0,-0.602
ink-protocol,0.94,0.64,0.82,0.5,N/A,N/A,N/A,N/A,1.0,-0.362,280064.0,-0.694
nebula-ai,0.88,0.82,0.62,N/A,N/A,N/A,N/A,N/A,0.07,1.074,155134.0,-0.644
the-abyss,0.86,0.8,0.56,0.9,0.3,N/A,N/A,N/A,0.85,-0.339,1355170.0,-0.84
fox-trading,0.68,0.52,0.48,N/A,N/A,N/A,N/A,N/A,0.01,-0.891,86239.0,1.913
sentinel-chain,0.84,0.58,0.8,0.5,0.5,N/A,N/A,N/A,1.0,-0.184,1945280.0,1.73
ubcoin-market,0.8,0.62,0.52,N/A,N/A,N/A,N/A,N/A,1.0,-0.642,19258.0,-3.282
lala-world,0.88,0.64,0.82,0.5,0.7,N/A,N/A,0.68,0.99,-0.253,28433.0,-0.045
fire-lotto,0.78,0.7,0.3,N/A,N/A,N/A,N/A,N/A,0.25,-0.798,2462.0,0.63
bigbom,0.84,0.7,0.46,0.9,0.5,N/A,N/A,N/A,1.0,-0.175,972645.0,-1.872
joint-ventures,0.72,0.64,0.52,0.5,N/A,N/A,N/A,N/A,0.2,-0.928,41727.0,1.341
gold-bits-coin,0.84,0.8,0.42,0.3,N/A,N/A,N/A,0.56,1.0,0.094,1527.0,1.967
live-stars,0.86,0.76,0.78,0.5,N/A,N/A,N/A,0.6,0.5,-0.602,144179.0,-2.727
game-stars,0.78,0.56,0.44,N/A,N/A,0.74,N/A,0.64,0.29,-0.988,568254.0,2.613
asura-coin,0.8,0.76,0.54,0.7,N/A,N/A,N/A,N/A,0.34,-0.767,54152.0,3.363
menlo-one,0.84,0.78,0.24,N/A,N/A,0.88,N/A,N/A,1.0,-0.541,3399.0,-1.547
icash,0.86,0.8,0.6,0.5,0.5,N/A,0.71,0.62,0.07,-0.968,68039.0,-6.614
phantasma,0.84,0.8,0.44,N/A,N/A,N/A,N/A,0.54,0.99,1.476,799685.0,-4.535
osa,0.62,0.46,0.36,N/A,N/A,N/A,N/A,N/A,1.0,-1.0,0.0,-100.0
grapevine,0.84,0.84,0.7,N/A,N/A,N/A,0.84,N/A,0.89,-1.0,0.0,-100.0
quadrant,0.86,0.82,0.74,0.5,0.3,N/A,0.8,N/A,0.8,-1.0,0.0,-100.0
codex,0.96,0.86,0.78,N/A,N/A,N/A,0.75,N/A,1.0,-1.0,0.0,-100.0
localcoinswap,0.8,0.66,0.38,0.7,0.7,0.72,N/A,N/A,0.61,-1.0,0.0,-100.0
bitnautic,0.74,0.76,0.4,0.7,0.7,N/A,N/A,N/A,0.99,-1.0,0.0,-100.0
cryptohit,0.76,0.6,0.02,N/A,N/A,N/A,0.8,N/A,0.04,-1.0,0.0,-100.0
tradove,0.72,0.48,0.64,0.7,0.3,0.92,0.86,N/A,0.63,-1.0,0.0,-100.0
worldwifi,0.84,0.76,0.58,0.7,0.3,N/A,0.88,N/A,1.0,-1.0,0.0,-100.0
online,0.72,0.74,0.28,N/A,N/A,N/A,0.85,N/A,1.0,-1.0,0.0,-100.0
vrt,0.72,0.68,0.48,N/A,N/A,N/A,0.84,N/A,0.15,-1.0,0.0,-100.0
quantum1net,0.7,0.7,0.46,0.5,0.5,0.76,0.76,N/A,0.39,-1.0,0.0,-100.0
cryptorobotics,0.9,0.82,0.46,0.3,N/A,N/A,0.52,N/A,0.51,-1.0,0.0,-100.0
dav,0.86,0.78,0.56,N/A,N/A,0.8,N/A,0.62,0.75,-1.0,0.0,-100.0
gbx,0.94,0.86,0.92,N/A,N/A,N/A,0.81,0.68,1.0,-1.0,0.0,-100.0
midas,0.96,0.9,0.76,N/A,N/A,N/A,N/A,N/A,1.0,-1.0,0.0,-100.0
seal,0.86,0.82,0.54,N/A,N/A,N/A,N/A,N/A,0.25,-1.0,0.0,-100.0
xtrd,0.86,0.62,0.8,N/A,N/A,N/A,N/A,N/A,0.58,-0.95,619.0,0.337
carboneum,0.92,0.92,0.7,0.5,0.5,N/A,N/A,N/A,0.53,-1.0,0.0,-100.0
stk,0.84,0.78,0.8,N/A,N/A,N/A,N/A,0.66,1.0,0.262,12919500.0,-3.796
stockchain,0.78,0.62,0.54,N/A,N/A,N/A,N/A,0.66,1.0,1.78,271642.0,-0.566
ukit,0.76,0.62,0.26,N/A,N/A,N/A,0.74,0.68,0.25,-1.0,0.0,-100.0
ecoinomic,0.84,0.76,0.32,0.7,0.5,N/A,0.87,N/A,0.44,-1.0,0.0,-100.0
cryptoworld,0.76,0.54,0.56,0.5,N/A,N/A,N/A,0.6,0.24,-1.0,0.0,-100.0
incx,0.94,0.74,0.64,N/A,N/A,N/A,N/A,0.56,1.0,-1.0,0.0,-100.0
nucleus,0.86,0.68,0.74,N/A,N/A,0.66,N/A,0.68,1.0,-1.0,0.0,-100.0
tokenpay,0.84,0.78,0.86,0.5,N/A,N/A,N/A,0.66,1.0,-0.66,1515520.0,2.506
vlb,0.92,0.9,0.52,N/A,N/A,N/A,0.81,0.62,0.17,-1.0,0.0,-100.0
gre,0.8,0.66,0.4,N/A,N/A,N/A,0.61,0.6,0.44,-1.0,0.0,-100.0
prover,0.72,0.48,0.58,N/A,N/A,N/A,0.63,0.64,0.73,-1.0,0.0,-100.0
successlife,0.76,0.62,0.4,N/A,N/A,N/A,0.64,0.58,0.3,-1.0,0.0,-100.0
centrality,0.64,0.58,0.7,N/A,N/A,N/A,N/A,0.56,0.89,1.629,165758.0,0.145
bolt,0.82,0.76,0.44,N/A,N/A,N/A,0.72,0.54,0.75,-1.0,0.0,-100.0
mingo,0.8,0.68,0.34,N/A,N/A,N/A,0.63,0.56,0.09,-1.0,0.0,-100.0
yobit,0.8,0.68,0.26,N/A,N/A,N/A,0.55,0.54,1.0,-1.0,0.0,-100.0
carry,0.7,0.64,0.26,N/A,N/A,N/A,0.8,0.56,0.95,-1.0,0.0,-100.0
