coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
menlo-one,17 Sep 2018,15 Oct 2018,28.0,39.0,7,other,10,2661500.0,2661500.0,1.0,0.0177,10920,0,8925,1.7,157.0,N/A,N/A,0.88,-0.5409,3399,-0.443,-0.766,-1.533,-1.547,-4.4,-40.991,-0.131,-0.121
securix,27 Sep 2018,30 Nov 2018,64.0,-7.0,12,other,11,N/A,55000000.0,N/A,N/A,22902,0,3797,1.7,178.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
vegawallet,17 Sep 2018,16 Nov 2018,60.0,7.0,5,fintech,13,N/A,40000000.0,N/A,0.28,2876,0,2779,1.3,137.0,Low,High,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
aen,08 Sep 2018,20 Oct 2018,42.0,34.0,5,other,23,N/A,N/A,N/A,N/A,8979,0,240,1.6,100.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
customcoin,12 Oct 2018,12 Nov 2018,31.0,11.0,4,other,7,N/A,12000000.0,N/A,N/A,600,0,908,1.0,98.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
nhct,01 Oct 2018,15 Dec 2018,75.0,-22.0,7,other,19,N/A,9000000.0,N/A,0.032,74106,0,9752,1.9,236.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
sportsfix,09 Oct 2018,09 Dec 2018,61.0,-16.0,7,other,12,N/A,14000000.0,N/A,0.1,38498,0,22218,3.6,327.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bqt,18 Sep 2018,18 Dec 2018,91.0,-25.0,4,other,19,N/A,50000000.0,N/A,0.028,325,0,1494,3.0,144.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
iou,18 Sep 2018,18 Dec 2018,91.0,-25.0,4,ecommerce,17,N/A,26200000.0,N/A,0.262,7088,0,1239,1.0,146.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
graphentech,27 Aug 2018,27 Oct 2018,61.0,27.0,5,other,23,N/A,133000000.0,N/A,0.01,128,0,576,2.9,206.0,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
