coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
ubcoin-market,2 Apr 2018,27 Aug 2018,147.0,87.0,12,other,6,7477737.0,7477737.0,1.0,0.0343,1996,0,16881,1.7,109.0,N/A,N/A,N/A,-0.64169,19258,-0.154,-0.204,-3.239,-3.282,-0.625,-2.257,-0.023,-0.02
game-stars,10 May 2018,9 Jul 2018,60.0,137.0,7,other,1,2180762.0,7519869.0,0.29,0.035,551,0,307,2.0,117.0,N/A,N/A,0.74,-0.98771,568254,0.166,1.314,2.628,2.613,0.797,4.094,0.023,0.018
asura-coin,2 Jun 2018,31 Jul 2018,59.0,115.0,9,gaming,8,4058000.0,11935294.0,0.34,0.0062,16633,0,8167,1.5,91.0,High,N/A,N/A,-0.76694,54152,0.213,1.694,3.388,3.363,0.324,2.093,0.007,0.005
icash,01 Jun 2018,31 Aug 2018,91.0,84.0,1,blockchain,12,30000000.0,428571429.0,0.07,1.0,6145,0,6244,1.0,122.0,Medium,Medium,N/A,-0.96777,68039,-0.409,-3.242,-6.485,-6.614,-0.26,-2.292,-0.029,-0.029
osa,21 Jul 2018,31 Aug 2018,41.0,84.0,7,other,28,40000000.0,40000000.0,1.0,0.0557,100,0,1534,3.0,368.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
grapevine,4 Jul 2018,15 Aug 2018,42.0,100.0,5,other,7,26799000.0,30111236.0,0.89,0.1,6739,0,5882,1.0,147.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
quadrant,26 Jul 2018,26 Jul 2018,0.0,120.0,7,other,7,16000000.0,20000000.0,0.8,0.05,13105,0,3955,1.1,159.0,Medium,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
codex,24 Jul 2018,12 Aug 2018,19.0,103.0,1,blockchain,9,12000000.0,12000000.0,1.0,0.055,12182,0,2506,1.4,77.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
online,10 Jul 2018,31 Jul 2018,21.0,115.0,5,other,11,50000000.0,50000000.0,1.0,0.04,50888,0,10,1.3,107.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
vrt,14 Mar 2018,31 Jul 2018,139.0,115.0,2,other,13,2402311.0,16015407.0,0.15,1.0,12552,0,795,3.0,128.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
midas,1 Jul 2018,22 Jul 2018,21.0,124.0,7,fintech,11,9019600.0,9019600.0,1.0,0.0458,8130,0,2193,1.5,119.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
carboneum,25 Jun 2018,7 Jul 2018,12.0,139.0,7,blockchain,5,6337157.0,11956900.0,0.53,0.1,17804,0,16190,1.3,141.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ecoinomic,1 May 2018,24 Aug 2018,115.0,91.0,5,fintech,30,47000000.0,106818182.0,0.44,0.05,43014,0,13504,2.1,144.0,High,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
incx,11 Jun 2018,11 Jul 2018,30.0,135.0,7,fintech,5,5131500.0,5131500.0,1.0,0.016,3245,0,15822,1.5,157.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
bolt,18 Sep 2018,22 Sep 2018,4.0,62.0,4,blockchain,29,9000000.0,12000000.0,0.75,0.0237,21790,0,1938,1.0,134.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
carry,26 Aug 2018,9 Sep 2018,14.0,75.0,8,other,13,12879947.0,13557839.0,0.95,0.003,31667,0,13171,1.9,170.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
imdex,10 Jul 2018,31 Jul 2018,21.0,115.0,7,other,4,1124000.0,1124000.0,1.0,0.002,5054,0,4561,3.3,1079.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
provoco,1 Apr 2018,7 Sep 2018,159.0,77.0,5,other,21,8792160.0,43960800.0,0.2,0.1695,9857,0,2697,2.6,119.0,High,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
ftec,20 Jun 2018,18 Jul 2018,28.0,128.0,4,fintech,16,995000.0,12437500.0,0.08,0.0154,31881,0,24706,2.0,61.0,High,Low,0.84,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
profede,1 Jun 2018,15 Sep 2018,106.0,69.0,5,other,6,10313000.0,19832692.0,0.52,0.01,246,0,31209,1.2,121.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
tradingene,16 May 2018,1 Jul 2018,46.0,145.0,5,fintech,12,1428166.0,11901383.0,0.12,1.0,6331,0,5860,1.0,167.0,Medium,Medium,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
