name,coin,web
migranet,mig,migranet
bitcademyfootballsto,btmg,bitcademy-football
dayta,dayta,dayta
globalpropertyregister,xrx,global-property-register
loligo,llg,loligo
loveaircoffee,lac,love-air-coffee
p2psolutionsfoundation,p2ps,p2p-solutions-foundation
tecracoin,tcr,tecracoin
coincasso,ccx,coincasso
deepcloud,deep,deepcloud
files.fmlibrary,ffm,files-fm-library
tapjetssto,tja,tapjets
uncloak,unc,uncloak
arcadierx,arcx,arcadier-x
bincoin,bincoin/bin,bincoin
bitwings,bwn,bitwings
cryptobuyer,xpt,cryptobuyer
fabainveststo,faba,faba-invest
grayll,grx,grayll
heroic.com,hro,heroic-com
loteosto,lotes,loteo
minedblocksto,mbtx,minedblock
satt,satt,satt
sonata.aisto,sont,sonata-ai
squeezer,sqr,squeezer
tagz,tagz,tagz
thefaustflick,tff,thefaustflick
aquest,aqu,aquest
bcnex,bcnx,bcnex
coinware,cwt,coinware
creditcoin,ccoin,creditcoin
cryptomarketads,cmacoin,crypto-market-ads
geco.one,gec,geco-one
gingr,ggcoin/ggc,gingr
madana,pax,madana
mobusto,mobu,mobu
nodis,nodis,nodis
virtualrehab,vrh,virtual-rehab
bips,bips,bips
conjure,cjr,conjure
curveblocksto,cbuk,curveblock
elocationssto,eloc,elocations
healthbanksto,hbe,healthbank
inzura,iza,inzura
tryvium,tym,tryvium
bither,btr,bither
connecty.io,cty,connecty-io
cwex,cwex,cwex
digitalbits,xdb,digitalbits
eqwitysto,eqys,eqwity
erecoin,ere,erecoin
fidelitysuitesto,stk,fidelitysuite
hcxpay,hcxc,hcx-pay
hyghsto,hygh,hygh
kardiachain,kai,kardiachain
kryptoin,krp,kryptoin
lynchpintoken,lyn,lyntoken
oathprotocol,oath,oath-protocol
orbissto,orbs,orbis
osmiuminvestmentcoin,oicoin,osmium-investment-coin
windhanenergy,whn,windhan-energy
wulet,wu,wulet
artcoin,ars,artcoin
cryptoxygen,oxy2,cryptoxygen
everlife.ai,ever,everlife-ai
geon,geon,geon
iameidentity,iam,iame-identity
miracletele,tele,miracle-tele
momentumprotocol,mmtm,mobilebridge-momentum
aeternumico,alf,aeternum-ico
azfundchain,az,az-fundchain
bineuro,bnr,bineuro
cryptoworkplacefreetokens,cwt-p,cwp
eucx,eucx,eucx
gainfysto,gain,gainfy
icasting.io,tlnt,icasting-io
nynja,nyn,nynja
planport,port,planport
primpysto,ppi,primpy
pvpchain,pvp,pvpchain
socialremitsto,sr-eur,socialremit
tap4.menu,t4m,tap4-menu
thefund.iosto,tfio,thefund-io
tokenroll,tkr,tokenroll
trecentoblockchaincapital,tot,trecento-blockchain-capital
wdx,wdx,wdx
worldtripsingapore,wtxt,world-trip-singapore
zeosx,zeos,zeosx
amark,xrc,amark
bizshakesto,bzs,bizshake
buying.comsto,buy,buying
centaure,cen,centaure
cogmento,cogs,cogmento
demars,dmc,demars
desicosto,desi,desico
eiplatform,emi,eiplatform
evedo,eved,evedo
exclusiveplatform,exclusiveplatform/xpl,exclusive-platform
finafex,fnx,finafex
grabity,gbt,grabity
guarium,guar,guarium
hashbon,hash,hashbon
hydrominersto,h3o,hydrominer
investolandsto,invtoken,investoland
kasko2go,k2g,kasko2go
kimera,kimera,kimera
kimex,kmx,kimex
nextpakk,pakka,nextpakk
nobar,nbr,nobar
pantheonx,xpn,pantheonx
thejoy,joy,the-joy
urbitdata,urb,urbit
verv(vluxtoken),vluxtoken,vlux
alcedosto,alce,alcedo
bitenny,btny,bitenny
bitwin2.0,bwt,bitwin-2-0
breweryconsortium,beer,brewery-consortium
clarity,clrty,clarity-project
cresio,cres,cresio
cycoinsto,ccy,cycoin
dagomining,dago,dago-mining
edexasto,edexa,edexa
izzy,izzy,izzy
lucreglobal,lcrx,lucre-global
make,make,make
mustprotocol,must,must
permiansto,xpr,permian
pharmeum,phrm,pharmeum
sportgift,sportg,sportgift-ico
tanzō,tzo,tanzo
ammutnetwork,xamm,ammut-network
batt,batt,batt
betinreal,betinreal,betinreal
block66,b66,block66
checkcar,ccr,checkcar
comboxsto,cbp,combox
crowdtoken,crtk,crowdtoken
crypstock,ics,crypstock
eminent,emn,eminent
ern,ern,ern
eyeglob.net,eye,eyeglob-net
galion.io,gln,galion-io
highbank,high,highbank
homelend,hmd,homelend
leapwithalicesto,lwa,leap-with-alice
linkchainsto,lnk,linkchain
minerva(owl)pre-sale,owl,minerva
monarchsto,mt,monarch
parq,parq,parq
povr,ppovr,povr
primary,pry,primary
quickxprotocol,qcx,quick
reindeer,rdt,reindeer
terravirtua,tva,terra-virtua
towerbee,tbe,towerbee
universalgamestoken,ugt,universal-games-token
warriortoken,wrt,warrior-token
beyondseenscreen,bssx,beyond-seen-screen
brightnetwork,bright,bright-network
canyudo,cyd,canyudo
cargoconx,tics,cargochain
chimpion,bnana,chimpion
colendi,colendi,colendi
cryptovationx,cxa,cryptovationx
discoveryiot,dis,discoveryiot
etha,era,etha
ezexchangesto,ezx,ez-exchange
"gowithmitechnologypte.ltd[gowithmi],",gmat,gowithmi
graphentechsto,77g,graphentech
ilink,cbc,ilink
insurenetworksto,inr,insure-network
iryo,iryo,iryo
mitoshi,mtsh,mitoshi
pimoncoin,pimon,pimoncoin
po8,po8,po8
rewardstoken,rwrd,rewardstoken
sentigraph.io,emot,sentigraph-io
sessia,kicks,sessia
vosai,vosai,vosai
yondocoin,yon,yondocoin
axt,axt,axt
gifbysocifi,gif,gif-by-socifi
glyff,gly,glyff
jointly,jpt,jointly
noahcoin,noah,noah-coin
nycrecsto,nycrec,nycrec
onenetwork,obt,one-network
originprotocol,origintoken,origin-protocol
quintos.a.sponsorship,qsa,quinto-s-a-sponsorship
socialchains,soct,social-chains
socialpolis,spl,socialpolis
sportcashone,scone,sportcash-one
whenhungry,why,when-hungry
wom,wom,wom
xcrypt,xct,xcrypt
xmaterialssto,xmat,xmaterials
xres,xres,xres
airstayz™,stay,airstayz
ais,ais,ais
allabout.me,me,allabout-me
alprockz,apz,rockz
assetallocationtoken,aat,asset-allocation-token
assistiverealityarx,arx,assistive-reality-arx
bitrus,btrs,bitrus
