coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
theta-token,07 Jan 2018,07 Jan 2018,0.0,319.0,12,blockchain,N/A,20000000.0,20000000.0,1.0,0.12,1752,1,63561,1.1,87.0,Medium,N/A,N/A,0.52697,10023000,0.049,0.064,1.012,0.984,-0.112,-1.105,0.001,0.001
power-ledger,8 Sep 2017,6 Oct 2017,28.0,412.0,9,energy,17,13232290.0,N/A,N/A,0.088,N/A,1,86214,1.7,130.0,High,Medium,N/A,-0.36738,1017460,0.512,0.32,5.074,5.057,0.092,-0.021,0.007,0.007
kyber-network,15 Sep 2017,17 Sep 2017,2.0,431.0,7,other,7,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
genesis-vision,15 Oct 2017,15 Nov 2017,31.0,372.0,2,fintech,10,2836724.0,31519156.0,0.09,1.0,8688,1,20653,2.2,252.0,VeryHigh,Medium,N/A,1.68,683667,0.386,0.27,4.287,4.266,-0.039,-1.1,0.008,0.008
salt,01 Aug 2017,15 Aug 2017,14.0,464.0,12,fintech,10,48500000.0,48500000.0,1.0,0.89,1062,1,N/A,N/A,N/A,High,N/A,0.88,3.8764,4174650,-0.167,0.008,0.129,0.099,-0.053,-1.016,-0.003,-0.004
enjin-coin,3 Oct 2017,31 Oct 2017,28.0,387.0,7,gaming,8,22959609.0,24956097.0,0.92,0.0304,5404,8,34379,1.3,111.0,N/A,N/A,0.84,-0.34102,742008,0.026,0.278,4.415,4.392,-0.115,-1.465,0.006,0.006
iexec-rlc,18 Apr 2017,11 May 2017,23.0,560.0,12,other,7,12000000.0,N/A,N/A,0.178,N/A,1,23748,2.0,154.0,High,N/A,N/A,0.59301,151637,0.29,0.168,2.662,2.631,-0.104,-1.648,0.005,0.003
request-network,13 Oct 2017,17 Oct 2017,4.0,401.0,5,fintech,7,33600000.0,33600000.0,1.0,0.0632,11209,1,42316,1.9,123.0,VeryHigh,Medium,0.92,-0.03824,5914220,0.117,0.262,4.163,4.133,-0.149,-1.13,0.002,0.003
amo-coin,14 Jul 2018,21 Jul 2018,7.0,124.0,7,other,48,N/A,2288000.0,N/A,0.0022,17663,1,1259,2.3,151.0,N/A,N/A,N/A,-0.31318,6564,0.219,0.093,1.476,1.444,0.316,2.678,0.008,0.007
time-new-bank,18 Nov 2017,23 Nov 2017,5.0,364.0,7,other,4,14360000.0,14360000.0,1.0,0.0203,34374,2,15696,1.4,95.0,N/A,N/A,N/A,0.73468,10625600,0.332,0.198,3.14,3.12,-0.093,1.368,-0.0,-0.0
xyo-network,20 Mar 2018,21 May 2018,62.0,185.0,1,blockchain,13,11951000.0,47804000.0,0.25,0.007,1562,3,7410,1.9,161.0,VeryHigh,Medium,N/A,-0.14029,245464,-0.081,-0.086,-1.37,-1.404,0.225,0.62,-0.001,-0.002
poa-network,17 Nov 2017,17 Nov 2017,0.0,370.0,1,other,15,12500000.0,12500000.0,1.0,0.072,N/A,4,318,2.3,311.0,N/A,N/A,0.62,7.81215,79376200,-0.336,0.061,0.971,0.939,-0.144,-1.661,-0.007,-0.007
ttc-protocol,18 Apr 2018,18 May 2018,30.0,188.0,7,saas,13,35000000.0,35000000.0,1.0,0.175,65946,1,18091,3.0,131.0,Medium,Medium,N/A,-0.7028,700206,-0.03,0.09,1.43,1.373,0.418,2.242,-0.001,-0.002
litecoin-cash,2 Apr 2018,1 Jul 2018,90.0,144.0,4,other,3,N/A,N/A,N/A,1.6,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,1.94375,1828460,-0.119,-0.065,-1.033,-1.046,-0.572,-5.421,-0.012,-0.012
jibrel-network,27 Nov 2017,1 Jan 2018,35.0,325.0,6,fintech,9,30000000.0,30000000.0,1.0,0.25,5714,4,6455,1.4,63.0,High,Medium,N/A,0.68912,10089800,0.06,-0.099,-1.565,-1.602,-0.284,-2.449,-0.005,-0.005
qlc-chain,27 Dec 2017,27 Jan 2018,31.0,299.0,7,other,7,19000000.0,19000000.0,1.0,0.3497,N/A,2,23499,1.8,136.0,N/A,N/A,N/A,-0.17031,9911000,0.182,0.031,0.485,0.461,-0.291,-2.661,-0.003,-0.003
deepbrain-chain,15 Dec 2017,15 Dec 2017,0.0,342.0,7,other,5,11755200.0,11755200.0,1.0,0.0158,2987,1,N/A,N/A,N/A,High,N/A,N/A,4.8131,18387700,0.288,0.086,1.362,1.34,-0.204,-1.615,-0.004,-0.004
graft,18 Jan 2018,18 Feb 2018,31.0,277.0,1,other,16,3000000.0,25000000.0,0.12,0.28,N/A,1,3283,3.8,291.0,N/A,N/A,N/A,-0.84596,40067,-0.305,-0.006,-0.101,-0.132,0.099,0.76,-0.001,-0.001
zen-protocol,30 Nov 2017,30 Dec 2017,30.0,327.0,12,other,8,46000000.0,46000000.0,1.0,3.8683,4919,0,2718,1.8,97.0,Low,Medium,N/A,-0.8026,14109,-0.017,-0.121,-1.926,-1.966,-0.231,-2.391,-0.006,-0.006
decentbet,22 Sep 2017,20 Oct 2017,28.0,398.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,N/A,N/A,Low,High,N/A,0.81528,26234,-0.027,0.147,2.341,2.322,-0.281,-2.918,0.001,0.002
ice-rock-mining,20 Mar 2018,25 May 2018,66.0,181.0,5,other,14,6061241.0,6061241.0,1.0,1.2,N/A,2,2981,2.5,167.0,N/A,N/A,N/A,-0.75875,6038,-0.012,0.086,1.358,1.323,-0.352,-3.46,0.001,0.001
divi,25 Oct 2017,21 Nov 2017,27.0,366.0,12,other,15,2592064.0,2592064.0,1.0,0.62,1716,0,5411,1.4,131.0,Medium,Low,N/A,-0.98771,11780,0.106,0.84,1.681,1.641,0.218,1.607,-0.003,-0.003
ifoods-chain,25 May 2018,08 Jun 2018,14.0,167.0,12,other,9,10000000.0,N/A,N/A,N/A,1039,3,83,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
winding-tree,1 Feb 2018,15 Feb 2018,14.0,280.0,6,other,4,14418196.0,14418196.0,1.0,0.926,1174,0,5233,1.8,144.0,N/A,N/A,0.78,-0.80303,882,-0.076,-0.036,-0.564,-0.602,0.114,0.384,0.007,0.007
ink-protocol,22 Jan 2018,22 Jan 2018,0.0,304.0,1,blockchain,11,15000000.0,15000000.0,1.0,0.1421,7781,1,4967,1.0,66.0,Medium,N/A,N/A,-0.36239,280064,-0.225,-0.041,-0.655,-0.694,-0.187,-0.645,-0.004,-0.004
skrumble-network,05 May 2018,07 May 2018,2.0,199.0,1,telecommunications,25,16472800.0,16472800.0,1.0,0.0515,35205,1,N/A,2.2,107.0,Medium,Low,N/A,0.8734,32789700,-0.173,-0.268,-4.257,-4.304,-0.088,-0.651,-0.014,-0.013
bezop,20 Dec 2017,10 Jan 2018,21.0,316.0,12,ecommerce,4,N/A,27619400.0,N/A,0.541,16588,0,4636,2.0,122.0,Medium,Medium,N/A,-0.4869,281984,0.086,0.033,0.525,0.505,-0.095,-0.422,0.004,0.004
morpheus-labs,23 Feb 2018,16 Apr 2018,52.0,220.0,12,blockchain,N/A,9600000.0,10105263.0,0.95,0.1,3219,0,N/A,N/A,N/A,Medium,N/A,N/A,-0.1835,488558,-0.236,-0.254,-4.035,-4.089,0.234,1.823,-0.007,-0.007
nebula-ai,31 Mar 2018,20 Apr 2018,20.0,216.0,1,blockchain,11,1233963.0,17628043.0,0.07,0.0058,5634,1,1427,2.6,145.0,N/A,N/A,N/A,1.07379,155134,-0.015,-0.039,-0.612,-0.644,-0.32,-2.581,-0.009,-0.008
silent-notary,15 Mar 2018,12 Apr 2018,28.0,224.0,2,legal services,5,N/A,11969900.0,N/A,0.0001,85089,1,10987,1.2,92.0,High,N/A,N/A,-0.03,339139,0.265,0.073,1.157,1.137,-0.373,-3.737,-0.003,-0.003
the-abyss,18 Apr 2018,16 May 2018,28.0,190.0,5,gaming,12,15362418.0,18073433.0,0.85,0.11,31291,0,18265,1.7,144.0,VeryHigh,Low,N/A,-0.33938,1355170,-0.392,-0.051,-0.806,-0.84,-0.165,-1.765,-0.012,-0.012
travelflex,13 Dec 2017,11 Jan 2018,29.0,315.0,12,fintech,N/A,N/A,28000000.0,N/A,0.28,N/A,1,4415,2.8,390.0,Medium,N/A,N/A,-0.26742,29538,-0.181,-0.036,-0.565,-0.586,-0.076,-1.511,0.002,0.002
zap,21 Oct 2017,20 Nov 2017,30.0,367.0,7,blockchain,23,2827944.0,31421600.0,0.09,0.19,1323,0,N/A,N/A,N/A,N/A,N/A,N/A,4.05947,899137,-0.096,-0.062,-0.989,-1.016,-0.069,0.197,-0.007,-0.007
fox-trading,23 May 2018,8 Jun 2018,16.0,167.0,5,other,6,30000.0,3000000.0,0.01,0.49,143,1,11347,2.5,259.0,N/A,N/A,N/A,-0.89135,86239,0.097,0.121,1.926,1.913,0.808,5.892,0.034,0.033
fintrux-network,07 Feb 2018,28 Feb 2018,21.0,267.0,7,other,6,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
crowd-machine,01 Apr 2018,22 May 2019,416.0,-181.0,7,blockchain,21,23605727.0,98357196.0,0.24,0.09924,5777,0,4807,3.3,209.0,High,Medium,N/A,0.18854,220487,-0.28,-0.134,-2.128,-2.165,-0.052,-1.034,-0.011,-0.012
insights-network,28 Jan 2018,14 Feb 2018,17.0,281.0,7,blockchain,5,17400000.0,17400000.0,1.0,0.15,14841,0,N/A,2.0,97.0,Medium,N/A,N/A,-0.05061,693393,-0.331,-0.042,-0.665,-0.703,-0.286,-2.04,-0.008,-0.008
ip-exchange,28 Feb 2018,05 Mar 2018,5.0,262.0,12,other,N/A,7904319.0,9299199.0,0.85,0.0122,4988,5,N/A,N/A,N/A,Medium,N/A,N/A,-0.48311,539393,0.117,0.07,1.117,1.083,-0.013,0.843,-0.005,-0.005
sentinel-chain,1 Mar 2018,10 Mar 2018,9.0,257.0,7,other,13,14400000.0,14400000.0,1.0,0.08,6611,0,3961,1.0,150.0,Medium,Medium,N/A,-0.18402,1945280,0.53,0.112,1.771,1.73,-0.065,-1.794,-0.008,-0.008
ubcoin-market,2 Apr 2018,27 Aug 2018,147.0,87.0,12,other,6,7477737.0,7477737.0,1.0,0.0343,1996,0,16881,1.7,109.0,N/A,N/A,N/A,-0.64169,19258,-0.154,-0.204,-3.239,-3.282,-0.625,-2.257,-0.023,-0.02
coin-lion,18 Dec 2017,25 Feb 2018,69.0,270.0,12,fintech,N/A,7000000.0,N/A,N/A,0.287,514,0,8304,2.7,127.0,Medium,Low,N/A,-0.86313,3654,-0.952,-1.65,-3.299,-3.322,-0.428,-2.486,-0.042,-0.039
lala-world,5 Jan 2018,5 Feb 2018,31.0,290.0,7,fintech,5,20000000.0,20202020.0,0.99,0.13,628,1,8331,2.0,170.0,Medium,High,N/A,-0.25287,28433,-0.45,-0.002,-0.026,-0.045,0.053,0.245,-0.008,-0.008
fire-lotto,15 Mar 2018,15 Apr 2018,31.0,221.0,12,other,9,3740965.0,14963860.0,0.25,0.5,5777,1,2877,2.1,129.0,N/A,N/A,N/A,-0.79832,2462,-0.04,0.041,0.653,0.63,0.273,6.972,0.003,0.004
bigbom,28 May 2018,10 Jun 2018,13.0,165.0,12,saas,12,6792000.0,6792000.0,1.0,0.0257,13725,4,12015,2.3,144.0,VeryHigh,Medium,N/A,-0.17459,972645,-0.181,-0.116,-1.839,-1.872,0.076,0.701,-0.009,-0.009
signals-network,12 Mar 2018,09 Apr 2018,28.0,227.0,12,other,9,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
pylon-network,4 Oct 2017,24 Oct 2017,20.0,394.0,5,other,11,N/A,N/A,N/A,1.7877,2268,0,2746,2.0,122.0,N/A,N/A,0.72,12.2181,69585,0.102,0.014,0.227,0.207,-0.047,-0.663,-0.002,-0.002
engagement-token,1 Apr 2018,1 Jun 2018,61.0,174.0,1,other,6,19000000.0,26027397.0,0.73,0.113,1904,0,N/A,1.0,62.0,Medium,Medium,N/A,-0.61015,2293870,-0.435,-0.352,-5.59,-5.625,0.004,0.326,-0.029,-0.029
bridge-protocol,22 Feb 2018,28 Feb 2018,6.0,267.0,1,saas,9,N/A,25000000.0,N/A,0.05,5753,1,6411,1.5,130.0,Medium,High,N/A,-0.91444,2,-0.263,-0.004,-0.059,-0.085,-0.668,-3.008,-0.0,0.001
wild-crypto,05 Sep 2017,11 Sep 2017,6.0,438.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,N/A,N/A,Medium,N/A,N/A,0.23335,4468,0.035,0.128,2.03,2.014,0.955,12.747,0.012,0.01
earth-token,15 Dec 2017,15 Mar 2018,90.0,253.0,11,fintech,11,20000000.0,N/A,N/A,0.162,9919,1,12636,N/A,N/A,High,High,N/A,-0.70309,509033,-0.347,-0.381,-6.043,-6.083,-0.529,-5.96,-0.017,-0.018
joint-ventures,7 Apr 2018,30 May 2018,53.0,177.0,12,other,10,2000000.0,10000000.0,0.2,0.071,12729,0,9721,1.0,41.0,Medium,N/A,N/A,-0.92831,41727,0.057,0.085,1.354,1.341,1.07,10.085,0.026,0.023
gold-bits-coin,1 Feb 2018,25 May 2018,113.0,182.0,9,fintech,7,50000000.0,50000000.0,1.0,0.5,1693,1,2978,1.4,100.0,Low,N/A,N/A,0.09355,1527,0.262,0.125,1.979,1.967,1.787,9.727,0.12,0.117
paragon,15 Sep 2017,15 Oct 2017,30.0,404.0,1,other,12,6000000.0,100000000.0,0.06,1.0,3123,1,N/A,N/A,N/A,N/A,N/A,N/A,-0.35042,284896,-0.155,0.01,0.161,0.142,-0.001,1.037,-0.0,-0.0
apx,1 May 2017,21 May 2017,20.0,551.0,12,other,N/A,2749185.0,2749185.0,1.0,0.6,805,0,5000,1.0,146.0,N/A,N/A,0.12,4.26667,714525,0.202,0.074,1.175,1.147,-0.074,-0.415,0.004,0.001
hubii-network,17 Aug 2017,31 Aug 2017,14.0,449.0,7,other,15,7130256.0,50930400.0,0.14,0.3883,1530,5,4263,N/A,N/A,N/A,N/A,0.7,-0.49071,23209,0.18,0.13,2.059,2.045,-0.129,-1.915,0.029,0.029
linker-coin,25 Nov 2017,31 Dec 2017,36.0,327.0,6,blockchain,19,10133235.0,10133235.0,1.0,0.22,2200,1,N/A,N/A,N/A,Medium,N/A,N/A,-0.58846,164191,0.026,0.019,0.303,0.276,0.132,2.137,-0.002,-0.002
target-coin,15 Jul 2017,31 Aug 2017,47.0,449.0,12,fintech,5,20711412.0,69038040.0,0.3,0.0518,N/A,0,1524,2.0,74.0,Low,High,N/A,-0.19349,69996,0.029,0.09,1.428,1.414,0.01,0.755,0.019,0.019
phi-token,8 Mar 2018,21 Mar 2018,13.0,247.0,5,fintech,4,3800000.0,27142857.0,0.14,1.618,N/A,2,2744,1.0,125.0,Low,N/A,N/A,-0.63092,58338,-0.09,0.012,0.187,0.163,0.065,0.449,0.005,0.005
monster-byte,6 Jul 2017,4 Aug 2017,29.0,476.0,10,gaming,4,10000002.0,10000002.0,1.0,0.11,N/A,1,2269,1.0,67.0,Low,High,N/A,-0.27139,16860,0.132,0.131,2.076,2.061,-0.18,-1.571,0.045,0.044
