coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
nametoken,2 Aug 2017,30 Sep 2017,59.0,419.0,7,other,13,11890.0,N/A,N/A,1.0918,N/A,0,887,N/A,N/A,N/A,N/A,0.66,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
litra,30 Aug 2017,30 Sep 2017,31.0,419.0,6,other,5,23500000.0,N/A,N/A,1.0,N/A,0,639,N/A,N/A,N/A,N/A,0.6,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
avalon,25 Aug 2017,30 Sep 2017,36.0,419.0,1,other,10,25315.0,2531500.0,0.01,1.0597,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
wardz,24 Aug 2017,30 Sep 2017,37.0,419.0,1,other,2,N/A,40000000.0,N/A,0.0009,N/A,0,26,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
real,31 Aug 2017,30 Sep 2017,30.0,419.0,7,real estate,6,10604571.0,33139284.0,0.32,1.3762,1529,2,4352,1.0,31.0,Low,Medium,0.68,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
unikoingold,21 Sep 2017,30 Sep 2017,9.0,420.0,12,other,N/A,29436000.0,86576471.0,0.34,0.3,N/A,0,N/A,N/A,N/A,Medium,VeryLow,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
cryptonex,01 Sep 2017,30 Sep 2017,29.0,420.0,12,other,N/A,17828966.0,N/A,N/A,1.59,1521,0,N/A,N/A,N/A,Medium,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
waltonchain,01 Sep 2017,30 Sep 2017,29.0,420.0,12,telecommunications,N/A,N/A,N/A,N/A,N/A,960,2,54996,2.0,133.0,High,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
nimfamoney,29 Aug 2017,30 Sep 2017,32.0,420.0,2,other,4,15251.0,N/A,N/A,2.7525,624,0,1536,3.0,128.0,Medium,Medium,0.56,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
magos,16 Aug 2017,30 Sep 2017,45.0,420.0,12,saas,7,1363027.0,N/A,N/A,0.1518,N/A,0,N/A,N/A,N/A,Low,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
