coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
kyber-network,15 Sep 2017,17 Sep 2017,2.0,431.0,7,other,7,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
salt,01 Aug 2017,15 Aug 2017,14.0,464.0,12,fintech,10,48500000.0,48500000.0,1.0,0.89,1062,1,N/A,N/A,N/A,High,N/A,0.88,3.8764,4174650,-0.167,0.008,0.129,0.099,-0.053,-1.016,-0.003,-0.004
wild-crypto,05 Sep 2017,11 Sep 2017,6.0,438.0,12,other,N/A,N/A,N/A,N/A,0.1,N/A,1,N/A,N/A,N/A,Medium,N/A,N/A,0.23335,4468,0.035,0.128,2.03,2.014,0.955,12.747,0.012,0.01
hubii-network,17 Aug 2017,31 Aug 2017,14.0,449.0,7,other,15,7130256.0,50930400.0,0.14,0.3883,1530,5,4263,N/A,N/A,N/A,N/A,0.7,-0.49071,23209,0.18,0.13,2.059,2.045,-0.129,-1.915,0.029,0.029
target-coin,15 Jul 2017,31 Aug 2017,47.0,449.0,12,fintech,5,20711412.0,69038040.0,0.3,0.0518,N/A,0,1524,2.0,74.0,Low,High,N/A,-0.19349,69996,0.029,0.09,1.428,1.414,0.01,0.755,0.019,0.019
monster-byte,6 Jul 2017,4 Aug 2017,29.0,476.0,10,gaming,4,10000002.0,10000002.0,1.0,0.11,N/A,1,2269,1.0,67.0,Low,High,N/A,-0.27139,16860,0.132,0.131,2.076,2.061,-0.18,-1.571,0.045,0.044
regalcoin,22 Aug 2017,22 Sep 2017,31.0,427.0,3,other,N/A,N/A,N/A,N/A,0.97,N/A,0,9063,3.5,187.0,N/A,N/A,0.32,10.74227,3808740,0.396,0.222,3.528,3.506,-0.348,-4.728,0.019,0.019
300-token,30 Jun 2017,6 Jul 2017,6.0,505.0,3,other,N/A,16724.0,23891.0,0.7,79.764,N/A,0,951,2.0,68.0,N/A,N/A,N/A,7.33371,22581,-0.156,0.032,0.508,0.492,0.061,0.381,0.013,0.013
exchange-union,05 Aug 2017,29 Aug 2017,24.0,451.0,12,fintech,3,1500000.0,1500000.0,1.0,1.0,N/A,0,N/A,N/A,N/A,Low,Medium,N/A,1.29,304953,0.189,0.19,3.009,2.991,-0.071,-0.22,0.004,0.004
solomon-exchange,28 Aug 2017,28 Sep 2017,31.0,421.0,12,other,4,N/A,39000734.0,N/A,1.0,N/A,1,2328,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
smart-investment-fund-token,01 Aug 2017,15 Sep 2017,45.0,434.0,12,other,2,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
enigma-catalyst,11 Sep 2017,11 Sep 2017,0.0,438.0,1,other,5,45000000.0,45000000.0,1.0,0.6,N/A,0,6650,5.9,168.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
atb-coin,12 Jul 2017,1 Sep 2017,51.0,448.0,1,other,7,20400000.0,N/A,N/A,1.0,N/A,1,2800,2.0,120.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
primas,11 Aug 2017,25 Aug 2017,14.0,455.0,7,other,9,12663260.0,N/A,N/A,0.3758,818,0,2815,2.0,116.0,N/A,N/A,N/A,0.08736,923411,0.047,0.049,0.777,0.759,-0.056,-0.584,0.006,0.004
enigmacatalyst,19 Aug 2017,19 Sep 2017,31.0,430.0,12,other,N/A,45000000.0,N/A,N/A,0.6,N/A,0,N/A,N/A,N/A,High,Low,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
katalyse,13 Jun 2017,31 Jul 2017,48.0,480.0,7,other,7,1500000.0,N/A,N/A,2.01,N/A,0,6800,3.0,83.0,N/A,N/A,N/A,-1.0,0.0,-100.0,-100.0,-100.0,-100,-100.0,-100.0,-100.0,-100.0
