coin,N_google_news
eos,0
stellar,0
cardano,0
tron,0
neo,0
vechain,0
0x,0
ontology,0
icon,0
zilliqa,0
bytecoin,0
bytom,0
verge,0
pundi-x,0
electroneum,0
holo,0
populous,0
waltonchain,0
cryptonex,0
wanchain,0
aion,0
aurora,0
maidsafecoin,0
loopring,0
cybermiles,0
dentacoin,0
nexo,0
decentraland,0
nebulas,0
funfair,0
monacoin,0
power-ledger,0
elastos,0
dropil,0
theta-token,0
salt,0
genesis-vision,0
kyber-network,0
odyssey,0
dragonchain,0
quarkchain,0
request-network,0
kin,0
cindicator,0
enjin-coin,0
gifto,0
iexec-rlc,0
storm,0
eidoo,0
bread,0
ethos,0
tokenomy,0
gold-bits-coin,0
odem,0
ignis,0
gochain,0
telcoin,0
ambrosus,0
centrality,0
singularitynet,0
thekey,0
neblio,0
crypterium,0
fusion,0
bluzelle,0
crypto20,0
quantstamp,0
time-new-bank,0
smartmesh,0
zipper,0
storiqa,0
poa-network,0
bnktothefuture,0
modum,0
cryptaur,0
credits,0
ethlend,0
zeepin,0
tokenpay,0
arcblock,0
jibrel-network,0
bottos,0
proximax,0
blockv,0
cube,0
particl,0
ttc-protocol,0
quant,0
aston,0
utrust,0
bezant,0
district0x,0
covesting,0
vite,0
selfkey,0
ins-ecosystem,0
wepower,0
airswap,0
litecoin-cash,0
babb,0
lympo,0
naga,0
metronome,0
apis,0
sophiatx,0
wabi,0
rotharium,0
refereum,0
xyo-network,0
seele,0
apex,0
smartlands,0
tatatu,0
qlc-chain,0
loyalcoin,0
loki,0
bittwatt,0
deepbrain-chain,0
etherparty,0
appcoins,0
0chain,0
cobinhood,0
aeron,0
paypie,0
b2bx,0
presearch,0
havven,0
docademic,0
atn,0
origintrail,0
yoyow,0
everex,0
spindle,0
moneytoken,0
adtoken,0
graft,0
minexcoin,0
universa,0
monetha,0
carvertical,0
eden,0
fortuna,0
bloom,0
brickblock,0
firstblood,0
daex,0
contentbox,0
ifoods-chain,0
latoken,0
lamden,0
zebi,0
winding-tree,0
eximchain,0
