coin,start,end,duration,age,region,industry,team,raised,hardcap,success,price,telegram,N_google_news,N_twitter,N_daily_views,N_daily_time,hype,risk,bazaar-rate,ret_ico_to_day_one,vol_day1,sharpe_1,sharpe_3,sharpe_yr,sharpe_yr2,beta_btc,beta_top10,alpha_btc,alpha_top10
electroneum, 14 Sep 2017, 20 Oct 2017,36.0,366.0,4, other,12,39934610.0,39934610.0,1.0,0.01,13178,0,129995,5,367, Medium, Low,0.84,6.7363,2464330,-0.137,0.079,1.255,1.23,0.063,-0.571,0.002,0.003
holo, 29 Mar 2018, 28 Apr 2018,30.0,176.0,7, saas,10,19389382.0,19389382.0,1.0,0.0001,11074,0,11802,1,126, High, N/A,0.56,6.68,5764530,0.254,-0.036,-0.573,-0.618,-0.079,-0.346,0.007,0.007
loopring, 1 Aug 2017, 16 Aug 2017,15.0,431.0,3, fintech,3,45000000.0,45000000.0,1.0,0.06,4911,0,28949,2,114, Stable+, High,0.58,0.74683,200829,-0.054,0.123,1.952,1.924,-0.133,-1.264,0.007,0.004
cybermiles, 21 Nov 2017, 21 Dec 2017,30.0,304.0,1, blockchain,9,30881582.0,30881582.0,1.0,0.103,48770,0,297552,1,130, VeryHigh, Medium,0.76,0.75348,12580000,-0.099,0.014,0.228,0.2,-0.031,-0.024,0.002,0.002
nexo, 1 Apr 2018, 1 Apr 2018,0.0,203.0,6, fintech,14,52500000.0,52500000.0,1.0,0.1,51070,0,39099,2,209, Medium, N/A,0.8,0.85004,3226150,0.044,-0.037,-0.591,-0.639,-0.457,-3.09,-0.0,-0.0
nebulas, 8 Dec 2017, 16 Dec 2017,8.0,309.0,1, blockchain,14,60000000.0,60000000.0,1.0,2.0,11150,0,24211,2,192, N/A, N/A,0.94,1.17,995797,-0.168,0.167,2.648,2.624,-0.132,-1.055,0.003,0.004
funfair, 22 Jun 2017, 23 Jun 2017,1.0,485.0,4, gaming,21,20000000.0,20000000.0,1.0,0.007,3478,0,36998,1,146, High, N/A,0.78,0.99643,8783,0.169,0.128,2.027,2.017,-0.223,-0.409,0.011,0.002
dropil, 7 Feb 2018, 7 Mar 2018,28.0,228.0,10, fintech,8,60000000.0,60000000.0,1.0,0.0029,845,0,7836,3,314, N/A, N/A,0.86,1.16966,78904,-0.043,0.063,0.994,0.943,-0.054,-0.322,0.0,0.0
quarkchain, 2 Jun 2018, 3 Jun 2018,1.0,140.0,1, blockchain,9,20000000.0,20000000.0,1.0,0.0187,66582,0,27476,1,129, Medium, High,0.96,14.87668,19042300,-0.264,-0.172,-2.736,-2.782,-0.287,-2.255,-0.005,-0.005
request-network, 13 Oct 2017, 17 Oct 2017,4.0,369.0,5, fintech,7,33600000.0,33600000.0,1.0,0.0632,11869,0,42485,2,126, High, Medium,0.92,-0.03824,5914220,0.117,0.262,4.163,4.125,-0.159,-1.212,0.005,0.005
enjin-coin, 3 Oct 2017, 31 Oct 2017,28.0,355.0,7, gaming,8,22959609.0,24956097.0,0.92,0.0304,5340,0,34875,1,123, N/A, N/A,0.84,-0.34102,742008,0.026,0.278,4.415,4.385,-0.118,-1.563,0.008,0.008
gifto, 14 Dec 2017, 14 Dec 2017,0.0,311.0,3, other,5,10000000.0,10000000.0,1.0,0.1,43422,0,17113,1,105, High, Medium,0.92,2.48851,44959800,0.325,0.124,1.967,1.941,-0.075,-0.885,0.001,0.001
bread, 16 Dec 2017, 24 Dec 2017,8.0,301.0,6, fintech,6,20021300.0,20021300.0,1.0,0.8055,36447,0,102,1,108, Low, Low,0.7,1.34637,56455400,0.228,-0.03,-0.48,-0.52,-0.12,-1.174,-0.002,-0.002
tokenomy, 15 Jan 2018, 5 Feb 2018,21.0,258.0,12, other,6,26000000.0,28571429.0,0.91,0.2037,4280,0,69,4,889, Medium, Medium,0.82,1.03262,2372070,-0.569,-0.13,-2.07,-2.167,0.039,0.647,-0.003,-0.003
singularitynet, 19 Dec 2017, 19 Dec 2017,0.0,306.0,6, other,9,32847814.0,32847814.0,1.0,0.1,13617,0,19053,2,218, N/A, N/A,0.86,14.2,17465100,0.093,0.004,0.071,0.052,-0.164,-0.645,-0.002,-0.002
thekey, 15 Jan 2018, 15 Jan 2018,0.0,279.0,3, saas,14,22000000.0,22000000.0,1.0,0.0426,55347,0,32140,1,120, Medium, N/A,0.82,-0.32772,9008350,0.0,-0.072,-1.148,-1.203,-0.233,-1.888,-0.003,-0.003
crypterium, 31 Oct 2017, 14 Jan 2018,75.0,280.0,5, fintech,15,51656963.0,51656963.0,1.0,1.5,28977,0,17934,1,94, High, Medium,0.94,0.54,183715,-0.374,-0.045,-0.708,-0.744,-0.153,-1.057,-0.002,-0.002
fusion, 1 Feb 2018, 10 Feb 2018,9.0,253.0,7, blockchain,10,108394802.0,108394802.0,1.0,2.0775,2853,0,8853,1,100, Medium, Medium,0.8,0.57882,1440790,-0.034,0.126,1.994,1.943,-0.161,-0.815,-0.002,-0.002
smartmesh, 29 Nov 2017, 28 Dec 2017,29.0,297.0,7, blockchain,6,15000000.0,16853933.0,0.89,0.017,1173,0,3668,2,125, Low, N/A,0.5,0.83541,1131310,0.39,0.148,2.343,2.32,0.041,1.91,0.005,0.005
storiqa, 28 Nov 2017, 29 Jan 2018,62.0,265.0,3, other,11,25000000.0,25000000.0,1.0,0.003,91615,0,15111,1,120, High, Low,0.64,-0.05967,271889,-0.097,0.108,1.718,1.671,-0.1,-0.543,0.002,0.002
ethlend, 25 Nov 2017, 30 Nov 2017,5.0,325.0,5, fintech,25,17860000.0,17860000.0,1.0,0.0176,16547,0,12199,2,323, High, Medium,0.86,0.0583,728686,0.427,0.258,4.09,4.067,-0.248,-2.161,0.007,0.007
utrust, 2 Nov 2017, 20 Nov 2017,18.0,335.0,6, fintech,26,21000000.0,21000000.0,1.0,0.065,4615,0,53,2,162, High, Medium,0.8,2.22325,3956620,0.338,0.077,1.227,1.199,-0.474,-3.641,-0.002,-0.002
covesting, 24 Nov 2017, 15 Jan 2018,52.0,279.0,7, fintech,12,33241750.0,33241750.0,1.0,2.56,7776,0,9687,1,154, High, Low,0.92,0.20703,328108,-0.206,-0.123,-1.948,-1.99,-0.33,-2.671,-0.0,-0.0
wepower, 1 Feb 2018, 2 Feb 2018,1.0,261.0,7, energy,20,40000000.0,40000000.0,1.0,0.125,37499,0,36928,1,129, High, VeryLow,0.86,0.40437,782690,-0.003,-0.05,-0.787,-0.831,0.004,-0.11,-0.004,-0.004
babb, 6 Feb 2018, 6 Mar 2018,28.0,229.0,4, fintech,13,20000000.0,20000000.0,1.0,0.0012,2862,0,11659,1,117, High, N/A,0.74,-0.3925,286765,-0.014,0.229,3.632,3.599,-0.357,-3.115,0.005,0.005
lympo, 17 Feb 2018, 28 Feb 2018,11.0,235.0,5, insurance services,11,16857899.0,16857899.0,1.0,0.021,11812,0,9399,1,161, N/A, N/A,0.88,-0.23362,176692,0.264,0.217,3.437,3.401,0.027,0.087,0.006,0.006
refereum, 12 Feb 2018, 12 Mar 2018,28.0,223.0,1, gaming,13,40000000.0,40000000.0,1.0,0.01,66663,0,56709,3,291, High, Low,0.82,1.0433,1161020,-0.257,-0.034,-0.54,-0.587,0.265,1.924,0.0,0.0
smartlands, 2 Nov 2017, 20 Nov 2017,18.0,335.0,12, other,12,1753698.0,25052829.0,0.07,0.5,1937,0,9174,1,84, Medium, High,0.88,-0.60588,102013,0.243,0.159,2.518,2.508,0.152,1.769,0.024,0.024
appcoins, 13 Dec 2017, 20 Dec 2017,7.0,305.0,7, other,18,15300000.0,15300000.0,1.0,0.1,2530,0,26494,1,89, High, Low,0.86,34.3,124119000,-0.078,-0.122,-1.939,-1.974,-0.067,0.142,-0.007,-0.006
0chain, 16 Feb 2018, 18 Feb 2018,2.0,245.0,1, blockchain,7,39000000.0,39000000.0,1.0,1.65,41885,0,33932,1,107, High, N/A,0.64,-0.70959,296945,-0.121,-0.079,-1.25,-1.289,0.4,3.905,0.001,0.001
cobinhood, 13 Sep 2017, 22 Oct 2017,39.0,364.0,12, fintech,5,13078406.0,25150781.0,0.52,0.0735,12367,0,54590,2,247, Medium, Medium,0.88,-0.29718,41446,0.213,0.243,3.854,3.822,0.153,1.576,0.007,0.006
